ativo;data;hora;timestamp;timezone;sessao;fractal_minutos;status_candle;qtd_candles_origem;abertura;maximo;minimo;ultimo;volume;volume_quantidade;delta;saldo;agressao_compra;agressao_saldo;agressao_venda;vwap
WINFUT;21/01/2026;11:46:00;2026-01-21 11:46:00;America/Sao_Paulo;2026-01-21;5;COMPLETO;5;178616.85;178653.31;178444.96;178559.55;9721538818.0;272218.0;0.0;0.0;0.0;0.0;0.0;178567.16254061836
WINFUT;21/01/2026;11:51:00;2026-01-21 11:51:00;America/Sao_Paulo;2026-01-21;5;COMPLETO;5;178559.55;178616.85;178247.02;178366.82;8959529210.0;251078.0;0.0;0.0;0.0;0.0;0.0;178410.25657195906
WINFUT;21/01/2026;11:56:00;2026-01-21 11:56:00;America/Sao_Paulo;2026-01-21;5;COMPLETO;5;178361.61;178476.21;178267.85;178471.0;6520904958.4;182798.0;0.0;0.0;0.0;0.0;0.0;178393.63260662122
WINFUT;21/01/2026;12:01:00;2026-01-21 12:01:00;America/Sao_Paulo;2026-01-21;5;COMPLETO;5;178471.0;178491.83;178299.11;178377.24;6947010006.9;194688.0;0.0;0.0;0.0;0.0;0.0;178411.64701776957
WINFUT;21/01/2026;12:06:00;2026-01-21 12:06:00;America/Sao_Paulo;2026-01-21;5;COMPLETO;5;178377.24;178507.46;178319.94;178366.82;5867603248.0;164434.0;0.0;0.0;0.0;0.0;0.0;178406.11966498554
WINFUT;21/01/2026;12:11:00;2026-01-21 12:11:00;America/Sao_Paulo;2026-01-21;5;COMPLETO;5;178366.82;178502.25;178335.57;178413.7;5141288798.7;144076.0;0.0;0.0;0.0;0.0;0.0;178404.38440872662
WINFUT;21/01/2026;12:16:00;2026-01-21 12:16:00;America/Sao_Paulo;2026-01-21;5;COMPLETO;5;178413.7;178569.97;178372.03;178398.08;6538951769.0;183174.0;0.0;0.0;0.0;0.0;0.0;178490.64874964865
WINFUT;21/01/2026;12:21:00;2026-01-21 12:21:00;America/Sao_Paulo;2026-01-21;5;COMPLETO;5;178403.28;178424.12;178153.26;178179.3;8123093800.2;227781.0;0.0;0.0;0.0;0.0;0.0;178293.4040495464
WINFUT;21/01/2026;12:26:00;2026-01-21 12:26:00;America/Sao_Paulo;2026-01-21;5;COMPLETO;5;178174.09;178293.9;178106.38;178189.72;7448264249.4;209002.0;0.0;0.0;0.0;0.0;0.0;178204.68690613768
WINFUT;21/01/2026;12:31:00;2026-01-21 12:31:00;America/Sao_Paulo;2026-01-21;5;COMPLETO;5;178189.72;178267.85;178090.75;178215.77;5751389530.5;161389.0;0.0;0.0;0.0;0.0;0.0;178189.07206721423
WINFUT;21/01/2026;12:36:00;2026-01-21 12:36:00;America/Sao_Paulo;2026-01-21;5;COMPLETO;5;178220.97;178226.18;178095.96;178158.47;3775608814.2999997;105965.0;0.0;0.0;0.0;0.0;0.0;178157.0013078663
WINFUT;21/01/2026;12:41:00;2026-01-21 12:41:00;America/Sao_Paulo;2026-01-21;5;COMPLETO;5;178158.47;178205.35;178080.34;178132.42;4597902203.3;129050.0;0.0;0.0;0.0;0.0;0.0;178142.89425720435
WINFUT;21/01/2026;12:46:00;2026-01-21 12:46:00;America/Sao_Paulo;2026-01-21;5;COMPLETO;5;178132.42;178288.69;178116.8;178278.27;5199227758.5;145861.0;0.0;0.0;0.0;0.0;0.0;178236.46140183773
WINFUT;21/01/2026;12:51:00;2026-01-21 12:51:00;America/Sao_Paulo;2026-01-21;5;COMPLETO;5;178273.06;178460.58;178262.65;178424.12;7266632211.1;203690.0;0.0;0.0;0.0;0.0;0.0;178391.9509726712
WINFUT;21/01/2026;12:56:00;2026-01-21 12:56:00;America/Sao_Paulo;2026-01-21;5;COMPLETO;5;178424.12;178622.06;178382.45;178606.43;6038861599.1;169150.0;0.0;0.0;0.0;0.0;0.0;178514.25192278327
WINFUT;21/01/2026;13:01:00;2026-01-21 13:01:00;America/Sao_Paulo;2026-01-21;5;COMPLETO;5;178611.64;178788.74;178549.13;178767.9;9049626820.5;253258.0;0.0;0.0;0.0;0.0;0.0;178673.92883559183
WINFUT;21/01/2026;13:06:00;2026-01-21 13:06:00;America/Sao_Paulo;2026-01-21;5;COMPLETO;5;178773.11;178866.87;178679.35;178819.99;5686449700.0;159062.0;0.0;0.0;0.0;0.0;0.0;178755.92544367915
WINFUT;21/01/2026;13:11:00;2026-01-21 13:11:00;America/Sao_Paulo;2026-01-21;5;COMPLETO;5;178825.2;178840.83;178632.47;178648.1;5620354197.2;157218.0;0.0;0.0;0.0;0.0;0.0;178719.51106644704
WINFUT;21/01/2026;13:16:00;2026-01-21 13:16:00;America/Sao_Paulo;2026-01-21;5;COMPLETO;5;178648.1;178689.77;178575.18;178648.1;4554285764.8;127471.0;0.0;0.0;0.0;0.0;0.0;178639.79678145327
WINFUT;21/01/2026;13:21:00;2026-01-21 13:21:00;America/Sao_Paulo;2026-01-21;5;COMPLETO;5;178642.89;178767.9;178590.8;178705.4;4540924511.7;127070.0;0.0;0.0;0.0;0.0;0.0;178677.42186051447
WINFUT;21/01/2026;13:26:00;2026-01-21 13:26:00;America/Sao_Paulo;2026-01-21;5;COMPLETO;5;178705.4;178976.26;178694.98;178939.8;8334070816.4;232991.0;0.0;0.0;0.0;0.0;0.0;178864.84865190502
WINFUT;21/01/2026;13:31:00;2026-01-21 13:31:00;America/Sao_Paulo;2026-01-21;5;COMPLETO;5;178945.01;178991.88;178819.99;178929.38;6273982512.2;175338.0;0.0;0.0;0.0;0.0;0.0;178924.63140976668
WINFUT;21/01/2026;13:36:00;2026-01-21 13:36:00;America/Sao_Paulo;2026-01-21;5;COMPLETO;5;178934.59;178965.84;178710.61;178747.07;5767472363.0;161263.0;0.0;0.0;0.0;0.0;0.0;178806.9383396983
WINFUT;21/01/2026;13:41:00;2026-01-21 13:41:00;America/Sao_Paulo;2026-01-21;5;COMPLETO;5;178747.07;178898.13;178715.82;178872.08;4682323861.5;130946.0;0.0;0.0;0.0;0.0;0.0;178801.82506197438
WINFUT;21/01/2026;13:46:00;2026-01-21 13:46:00;America/Sao_Paulo;2026-01-21;5;COMPLETO;5;178877.29;178892.92;178752.28;178793.95;4971544447.0;139006.0;0.0;0.0;0.0;0.0;0.0;178816.46076859967
WINFUT;21/01/2026;13:51:00;2026-01-21 13:51:00;America/Sao_Paulo;2026-01-21;5;COMPLETO;5;178788.74;178887.71;178741.86;178747.07;3692727205.3;103249.0;0.0;0.0;0.0;0.0;0.0;178817.2328795311
WINFUT;21/01/2026;13:56:00;2026-01-21 13:56:00;America/Sao_Paulo;2026-01-21;5;COMPLETO;5;178747.07;178872.08;178721.02;178804.37;4083839776.8999996;114210.0;0.0;0.0;0.0;0.0;0.0;178784.85944242068
WINFUT;21/01/2026;14:01:00;2026-01-21 14:01:00;America/Sao_Paulo;2026-01-21;5;COMPLETO;5;178804.37;178908.54;178788.74;178825.2;3205730594.9;89616.0;0.0;0.0;0.0;0.0;0.0;178854.72508303102
WINFUT;21/01/2026;14:06:00;2026-01-21 14:06:00;America/Sao_Paulo;2026-01-21;5;COMPLETO;5;178830.41;178934.59;178799.16;178830.41;3784229869.9;105782.0;0.0;0.0;0.0;0.0;0.0;178863.17641685746
WINFUT;21/01/2026;14:11:00;2026-01-21 14:11:00;America/Sao_Paulo;2026-01-21;5;COMPLETO;5;178830.41;178856.45;178689.77;178705.4;4100858406.9;114696.0;0.0;0.0;0.0;0.0;0.0;178756.58089731185
WINFUT;21/01/2026;14:16:00;2026-01-21 14:16:00;America/Sao_Paulo;2026-01-21;5;COMPLETO;5;178710.61;178783.53;178648.1;178694.98;3509433978.1;98184.0;0.0;0.0;0.0;0.0;0.0;178723.78625753763
WINFUT;21/01/2026;14:21:00;2026-01-21 14:21:00;America/Sao_Paulo;2026-01-21;5;COMPLETO;5;178689.77;178747.07;178648.1;178653.31;2703151928.2;75635.0;0.0;0.0;0.0;0.0;0.0;178690.86323823128
WINFUT;21/01/2026;14:26:00;2026-01-21 14:26:00;America/Sao_Paulo;2026-01-21;5;COMPLETO;5;178658.52;178684.56;178507.46;178580.39;4863570556.700001;136160.0;0.0;0.0;0.0;0.0;0.0;178606.15870451322
WINFUT;21/01/2026;14:31:00;2026-01-21 14:31:00;America/Sao_Paulo;2026-01-21;5;COMPLETO;5;178575.18;178611.64;178429.33;178528.3;5551192217.8;155485.0;0.0;0.0;0.0;0.0;0.0;178517.95236710797
WINFUT;21/01/2026;14:36:00;2026-01-21 14:36:00;America/Sao_Paulo;2026-01-21;5;COMPLETO;5;178528.3;178694.98;178507.46;178658.52;4752089366.9;133022.0;0.0;0.0;0.0;0.0;0.0;178633.07881244726
WINFUT;21/01/2026;14:41:00;2026-01-21 14:41:00;America/Sao_Paulo;2026-01-21;5;COMPLETO;5;178658.52;178736.65;178622.06;178668.94;3556652668.6;99526.0;0.0;0.0;0.0;0.0;0.0;178675.9886261641
WINFUT;21/01/2026;14:46:00;2026-01-21 14:46:00;America/Sao_Paulo;2026-01-21;5;COMPLETO;5;178668.94;178799.16;178653.31;178747.07;3953043409.9;110581.0;0.0;0.0;0.0;0.0;0.0;178747.09546618196
WINFUT;21/01/2026;14:51:00;2026-01-21 14:51:00;America/Sao_Paulo;2026-01-21;5;COMPLETO;5;178747.07;178892.92;178726.23;178804.37;5151512691.5;144038.0;0.0;0.0;0.0;0.0;0.0;178830.6713610811
WINFUT;21/01/2026;14:56:00;2026-01-21 14:56:00;America/Sao_Paulo;2026-01-21;5;COMPLETO;5;178799.16;178840.83;178710.61;178825.2;4069607256.6;113820.0;0.0;0.0;0.0;0.0;0.0;178778.93268465486
WINFUT;21/01/2026;15:01:00;2026-01-21 15:01:00;America/Sao_Paulo;2026-01-21;5;COMPLETO;5;178825.2;178840.83;178674.14;178747.07;4833514536.8;135212.0;0.0;0.0;0.0;0.0;0.0;178726.81649896211
WINFUT;21/01/2026;15:06:00;2026-01-21 15:06:00;America/Sao_Paulo;2026-01-21;5;COMPLETO;5;178747.07;178861.66;178705.4;178851.25;3946028071.0;110359.0;0.0;0.0;0.0;0.0;0.0;178788.85212086313
WINFUT;21/01/2026;15:11:00;2026-01-21 15:11:00;America/Sao_Paulo;2026-01-21;5;COMPLETO;5;178846.04;178981.47;178804.37;178945.01;5929691479.0;165711.0;0.0;0.0;0.0;0.0;0.0;178929.4869936798
WINFUT;21/01/2026;15:16:00;2026-01-21 15:16:00;America/Sao_Paulo;2026-01-21;5;COMPLETO;5;178945.01;179111.69;178939.8;178991.88;6897071896.099999;192635.0;0.0;0.0;0.0;0.0;0.0;179028.02902681817
WINFUT;21/01/2026;15:21:00;2026-01-21 15:21:00;America/Sao_Paulo;2026-01-21;5;COMPLETO;5;178991.88;179142.94;178965.84;179111.69;4333682345.3;121014.0;0.0;0.0;0.0;0.0;0.0;179061.9639195765
WINFUT;21/01/2026;15:26:00;2026-01-21 15:26:00;America/Sao_Paulo;2026-01-21;5;COMPLETO;5;179116.9;179267.95;179059.6;179205.45;7619106347.4;212624.0;0.0;0.0;0.0;0.0;0.0;179161.92363188238
WINFUT;21/01/2026;15:31:00;2026-01-21 15:31:00;America/Sao_Paulo;2026-01-21;5;COMPLETO;5;179200.24;179309.62;179189.82;179273.16;5569704714.299999;155350.0;0.0;0.0;0.0;0.0;0.0;179257.55667144046
WINFUT;21/01/2026;15:36:00;2026-01-21 15:36:00;America/Sao_Paulo;2026-01-21;5;COMPLETO;5;179273.16;179320.04;179179.4;179283.58;4939762520.9;137787.0;0.0;0.0;0.0;0.0;0.0;179255.62086362083
WINFUT;21/01/2026;15:41:00;2026-01-21 15:41:00;America/Sao_Paulo;2026-01-21;5;COMPLETO;5;179278.37;179616.95;179278.37;179476.31;10140903825.5;282571.0;0.0;0.0;0.0;0.0;0.0;179450.65341668445
