sessao;fractal_minutos;total_candles_origem;blocos_gerados;candles_completos;candles_parciais;motivo_parcial
2026-01-21;120;399;4;3;1;SOBRARAM_39_CANDLES
2026-01-22;120;564;5;4;1;SOBRARAM_84_CANDLES
2026-01-23;120;565;5;4;1;SOBRARAM_85_CANDLES
2026-01-26;120;562;5;4;1;SOBRARAM_82_CANDLES
2026-01-27;120;565;5;4;1;SOBRARAM_85_CANDLES
2026-01-28;120;565;5;4;1;SOBRARAM_85_CANDLES
2026-01-29;120;565;5;4;1;SOBRARAM_85_CANDLES
2026-01-30;120;565;5;4;1;SOBRARAM_85_CANDLES
2026-02-02;120;565;5;4;1;SOBRARAM_85_CANDLES
2026-02-03;120;565;5;4;1;SOBRARAM_85_CANDLES
2026-02-04;120;565;5;4;1;SOBRARAM_85_CANDLES
2026-02-05;120;565;5;4;1;SOBRARAM_85_CANDLES
2026-02-06;120;565;5;4;1;SOBRARAM_85_CANDLES
2026-02-09;120;565;5;4;1;SOBRARAM_85_CANDLES
2026-02-10;120;565;5;4;1;SOBRARAM_85_CANDLES
2026-02-11;120;565;5;4;1;SOBRARAM_85_CANDLES
2026-02-12;120;565;5;4;1;SOBRARAM_85_CANDLES
2026-02-13;120;565;5;4;1;SOBRARAM_85_CANDLES
2026-02-18;120;325;3;2;1;SOBRARAM_85_CANDLES
2026-02-19;120;565;5;4;1;SOBRARAM_85_CANDLES
2026-02-20;120;565;5;4;1;SOBRARAM_85_CANDLES
2026-02-23;120;565;5;4;1;SOBRARAM_85_CANDLES
2026-02-24;120;565;5;4;1;SOBRARAM_85_CANDLES
2026-02-25;120;565;5;4;1;SOBRARAM_85_CANDLES
2026-02-26;120;565;5;4;1;SOBRARAM_85_CANDLES
2026-02-27;120;565;5;4;1;SOBRARAM_85_CANDLES
2026-03-02;120;565;5;4;1;SOBRARAM_85_CANDLES
2026-03-03;120;563;5;4;1;SOBRARAM_83_CANDLES
2026-03-04;120;565;5;4;1;SOBRARAM_85_CANDLES
2026-03-05;120;562;5;4;1;SOBRARAM_82_CANDLES
2026-03-06;120;562;5;4;1;SOBRARAM_82_CANDLES
2026-03-09;120;565;5;4;1;SOBRARAM_85_CANDLES
2026-03-10;120;565;5;4;1;SOBRARAM_85_CANDLES
2026-03-11;120;565;5;4;1;SOBRARAM_85_CANDLES
2026-03-12;120;565;5;4;1;SOBRARAM_85_CANDLES
2026-03-13;120;565;5;4;1;SOBRARAM_85_CANDLES
2026-03-16;120;565;5;4;1;SOBRARAM_85_CANDLES
