fractal_minutos;pasta_encontrada;pasta_oficial;acao;destino
1;001_1_MIN;001_1_MIN;OFICIAL_MANTIDA;
2;002_2_MIN;002_2_MIN;OFICIAL_MANTIDA;
3;003_3_MIN;003_3_MIN;OFICIAL_MANTIDA;
4;004_4_MIN;004_4_MIN;OFICIAL_MANTIDA;
5;005_5_MIN;005_5_MIN;OFICIAL_MANTIDA;
6;006_6_MIN;006_6_MIN;OFICIAL_MANTIDA;
7;007_7_MIN;007_7_MIN;OFICIAL_MANTIDA;
8;008_8_MIN;008_8_MIN;OFICIAL_MANTIDA;
9;009_9_MIN;009_9_MIN;OFICIAL_MANTIDA;
10;010_10_MIN;010_10_MIN;OFICIAL_MANTIDA;
12;012_12_MIN;012_12_MIN;OFICIAL_MANTIDA;
15;015_15_MIN;015_15_MIN;OFICIAL_MANTIDA;
20;020_20_MIN;020_20_MIN;OFICIAL_MANTIDA;
30;030_30_MIN;030_30_MIN;OFICIAL_MANTIDA;
45;045_45_MIN;045_45_MIN;OFICIAL_MANTIDA;
60;060_60_MIN;060_60_MIN;OFICIAL_MANTIDA;
90;090_90_MIN;090_90_MIN;OFICIAL_MANTIDA;
120;120_120_MIN;120_120_MIN;OFICIAL_MANTIDA;
180;180_180_MIN;180_180_MIN;OFICIAL_MANTIDA;
240;240_240_MIN;240_240_MIN;OFICIAL_MANTIDA;
