ativo;data;hora;timestamp;timezone;sessao;fractal_minutos;status_candle;qtd_candles_origem;abertura;maximo;minimo;ultimo;volume;volume_quantidade;delta;saldo;agressao_compra;agressao_saldo;agressao_venda;vwap
WINFUT;21/01/2026;11:46:00;2026-01-21 11:46:00;America/Sao_Paulo;2026-01-21;180;COMPLETO;180;178616.85;178991.88;178080.34;178668.94;201182318539.90002;5633542.0;0.0;0.0;0.0;0.0;0.0;178559.6803180238
WINFUT;21/01/2026;14:46:00;2026-01-21 14:46:00;America/Sao_Paulo;2026-01-21;180;COMPLETO;180;178668.94;180804.57;178653.31;180757.69;201249069039.7;5599185.0;0.0;0.0;0.0;0.0;0.0;179718.6106116742
WINFUT;21/01/2026;17:46:00;2026-01-21 17:46:00;America/Sao_Paulo;2026-01-21;180;PARCIAL;39;180757.69;181226.48;180653.51;180856.65;23921506177.149994;661216.0;0.0;0.0;0.0;0.0;0.0;180896.5119022832
WINFUT;22/01/2026;09:00:00;2026-01-22 09:00:00;America/Sao_Paulo;2026-01-22;180;COMPLETO;180;181038.96;184205.95;180591.0;183862.16;382012331402.5;10479551.0;0.0;0.0;0.0;0.0;0.0;182278.99588476325
WINFUT;22/01/2026;12:00:00;2026-01-22 12:00:00;America/Sao_Paulo;2026-01-22;180;COMPLETO;180;183862.16;187216.67;183632.97;185424.82;264700828291.19998;7135807.0;0.0;0.0;0.0;0.0;0.0;185474.17195912998
WINFUT;22/01/2026;15:01:00;2026-01-22 15:01:00;America/Sao_Paulo;2026-01-22;180;COMPLETO;180;185424.82;186164.48;184200.74;184726.83;147713467527.3;3992577.0;0.0;0.0;0.0;0.0;0.0;184980.62941514957
WINFUT;22/01/2026;18:01:00;2026-01-22 18:01:00;America/Sao_Paulo;2026-01-22;180;PARCIAL;24;184721.63;184997.69;184445.56;184768.51;7766474439.5;210168.0;0.0;0.0;0.0;0.0;0.0;184768.091031638
WINFUT;23/01/2026;09:00:00;2026-01-23 09:00:00;America/Sao_Paulo;2026-01-23;180;COMPLETO;180;185966.54;186466.59;184580.99;185138.33;318959394731.4;8604495.0;0.0;0.0;0.0;0.0;0.0;185338.91666099968
WINFUT;23/01/2026;12:00:00;2026-01-23 12:00:00;America/Sao_Paulo;2026-01-23;180;COMPLETO;180;185133.12;186862.46;185028.95;185867.57;219021788902.4;5885129.0;0.0;0.0;0.0;0.0;0.0;186088.8968148132
WINFUT;23/01/2026;15:00:00;2026-01-23 15:00:00;America/Sao_Paulo;2026-01-23;180;COMPLETO;180;185867.57;189862.77;185617.55;188055.29;201581831135.0;5377485.0;0.0;0.0;0.0;0.0;0.0;187448.3689227324
WINFUT;23/01/2026;18:00:00;2026-01-23 18:00:00;America/Sao_Paulo;2026-01-23;180;PARCIAL;25;188055.29;188315.74;187622.96;188164.68;11754703187.15;312558.0;0.0;0.0;0.0;0.0;0.0;188042.7294191069
WINFUT;26/01/2026;09:00:00;2026-01-26 09:00:00;America/Sao_Paulo;2026-01-26;180;COMPLETO;180;188664.73;191045.18;186617.65;187956.32;392304935044.8;10423518.0;0.0;0.0;0.0;0.0;0.0;188216.59783539054
