arquivo;ativo;fractal;linhas;colunas;status;observacao;confiabilidade;tags
WDO_1min_2025_2026.csv;WDO;1_MIN;37436;9;OK;;100;WDO,1_MIN,PROFIT,MICRO_FRACTAL
WDO_1min_2026_2026.csv;WDO;1_MIN;59604;9;OK;;100;WDO,1_MIN,PROFIT,MICRO_FRACTAL
WIN_1min_2026_2026.csv;WIN;1_MIN;51486;9;OK;;100;WIN,1_MIN,PROFIT,MICRO_FRACTAL
WIN_2min_2026_2026.csv;WIN;2_MIN;25801;15;OK;;98;WIN,2_MIN,ZE_DO_EUCRAZIO,MICRO_FRACTAL
WIN_3min_2026_2026.csv;WIN;3_MIN;17232;15;OK;;98;WIN,3_MIN,ZE_DO_EUCRAZIO,MICRO_FRACTAL
WDO_5min_2023_2024.csv;WDO;5_MIN;9151;9;OK;;100;WDO,5_MIN,PROFIT
WDO_5min_2024_2025.csv;WDO;5_MIN;28554;9;OK;;100;WDO,5_MIN,PROFIT
WDO_5min_2025_2026.csv;WDO;5_MIN;28451;9;OK;;100;WDO,5_MIN,PROFIT
WDO_5min_2026_2026.csv;WDO;5_MIN;11922;9;OK;;100;WDO,5_MIN,PROFIT
WIN_5min_2023_2024.csv;WIN;5_MIN;9612;9;OK;;100;WIN,5_MIN,PROFIT
WIN_5min_2024_2025.csv;WIN;5_MIN;28314;9;OK;;100;WIN,5_MIN,PROFIT
WIN_5min_2025_2026.csv;WIN;5_MIN;28176;9;OK;;100;WIN,5_MIN,PROFIT
WIN_5min_2026_2026.csv;WIN;5_MIN;11817;9;OK;;100;WIN,5_MIN,PROFIT
WDO_10min2022_2023.csv;WDO;10_MIN;1913;9;OK;;100;WDO,10_MIN,PROFIT
WDO_10min_2023_2024.csv;WDO;10_MIN;13622;9;OK;;100;WDO,10_MIN,PROFIT
WDO_10min_2024_2025.csv;WDO;10_MIN;14278;9;OK;;100;WDO,10_MIN,PROFIT
WDO_10min_2025_2026.csv;WDO;10_MIN;14226;9;OK;;100;WDO,10_MIN,PROFIT
WDO_10min_2026_2026.csv;WDO;10_MIN;5961;9;OK;;100;WDO,10_MIN,PROFIT
WIN_10min_2022_2023.csv;WIN;10_MIN;1919;9;OK;;100;WIN,10_MIN,PROFIT
WIN_10min_2023_2024.csv;WIN;10_MIN;13622;9;OK;;100;WIN,10_MIN,PROFIT
WIN_10min_2024_2025.csv;WIN;10_MIN;14283;9;OK;;100;WIN,10_MIN,PROFIT
WIN_10min_2025_2026.csv;WIN;10_MIN;14215;9;OK;;100;WIN,10_MIN,PROFIT
WIN_10min_2026_2026.csv;WIN;10_MIN;5961;9;OK;;100;WIN,10_MIN,PROFIT
WDO_15min_2020_2022.csv;WDO;5_MIN;11481;9;OK;;100;WDO,5_MIN,PROFIT
WDO_15min_2022_2024.csv;WDO;5_MIN;18238;9;OK;;100;WDO,5_MIN,PROFIT
WDO_15min_2024_2026.csv;WDO;5_MIN;19003;9;OK;;100;WDO,5_MIN,PROFIT
WDO_15min_2026_2026.csv;WDO;5_MIN;3974;9;OK;;100;WDO,5_MIN,PROFIT
WIN_15min_2020_2022.csv;WIN;5_MIN;14808;9;OK;;100;WIN,5_MIN,PROFIT
WIN_15min_2022_2024.csv;WIN;5_MIN;18238;9;OK;;100;WIN,5_MIN,PROFIT
WIN_15min_2024_2026.csv;WIN;5_MIN;19001;9;OK;;100;WIN,5_MIN,PROFIT
WIN_15min_2026_2026.csv;WIN;5_MIN;3974;9;OK;;100;WIN,5_MIN,PROFIT
