fractal;existe_na_biblioteca;acao_recomendada;base_recomendada
1_MIN;SIM;MANTER_INDEXADO;1_MIN
2_MIN;SIM;MANTER_INDEXADO;1_MIN
3_MIN;SIM;MANTER_INDEXADO;1_MIN
4_MIN;NAO;GERAR_COM_ZE_DO_EUCRAZIO;1_MIN
5_MIN;SIM;MANTER_INDEXADO;1_MIN
6_MIN;NAO;GERAR_COM_ZE_DO_EUCRAZIO;1_MIN
7_MIN;NAO;GERAR_COM_ZE_DO_EUCRAZIO;1_MIN
8_MIN;NAO;GERAR_COM_ZE_DO_EUCRAZIO;1_MIN
9_MIN;NAO;GERAR_COM_ZE_DO_EUCRAZIO;1_MIN
10_MIN;SIM;MANTER_INDEXADO;1_MIN
12_MIN;NAO;GERAR_COM_ZE_DO_EUCRAZIO;1_MIN
15_MIN;NAO;GERAR_COM_ZE_DO_EUCRAZIO;1_MIN
20_MIN;NAO;GERAR_COM_ZE_DO_EUCRAZIO;1_MIN
30_MIN;SIM;MANTER_INDEXADO;1_MIN
45_MIN;NAO;GERAR_COM_ZE_DO_EUCRAZIO;1_MIN
60_MIN;SIM;MANTER_INDEXADO;1_MIN
90_MIN;NAO;GERAR_COM_ZE_DO_EUCRAZIO;1_MIN
120_MIN;NAO;GERAR_COM_ZE_DO_EUCRAZIO;1_MIN
180_MIN;NAO;GERAR_COM_ZE_DO_EUCRAZIO;1_MIN
240_MIN;NAO;GERAR_COM_ZE_DO_EUCRAZIO;1_MIN
DIARIO;SIM;MANTER_INDEXADO;1_MIN
SEMANAL;SIM;MANTER_INDEXADO;1_MIN
MENSAL;NAO;GERAR_COM_ZE_DO_EUCRAZIO;1_MIN
