fractal_pasta;fractal_detectado;ativo;arquivo;caminho;linhas;data_inicio;data_fim;colunas;status;observacao
01_1_MIN;1_MIN;WDO;WDO_1min_2025_2026.csv;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\01_1_MIN\wdo\WDO_1min_2025_2026.csv;37436;25/09/2025;30/12/2025;9;OK;
01_1_MIN;1_MIN;WDO;WDO_1min_2026_2026.csv;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\01_1_MIN\wdo\WDO_1min_2026_2026.csv;59604;02/01/2026;05/06/2026;9;OK;
01_1_MIN;1_MIN;WIN;WIN_1min_2026_2026.csv;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\01_1_MIN\win\WIN_1min_2026_2026.csv;51486;21/01/2026;05/06/2026;9;OK;
02_2_MIN;2_MIN;WIN;WIN_2min_2026_2026.csv;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\02_2_MIN\win\WIN_2min_2026_2026.csv;25801;21/01/2026;05/06/2026;15;OK;
03_3_MIN;3_MIN;WIN;WIN_3min_2026_2026.csv;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\03_3_MIN\win\WIN_3min_2026_2026.csv;17232;21/01/2026;05/06/2026;15;OK;
04_5_MIN;5_MIN;WDO;WDO_5min_2023_2024.csv;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\04_5_MIN\wdo\WDO_5min_2023_2024.csv;9151;29/08/2023;28/12/2023;9;OK;
04_5_MIN;5_MIN;WDO;WDO_5min_2024_2025.csv;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\04_5_MIN\wdo\WDO_5min_2024_2025.csv;28554;02/01/2024;30/12/2024;9;OK;
04_5_MIN;5_MIN;WDO;WDO_5min_2025_2026.csv;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\04_5_MIN\wdo\WDO_5min_2025_2026.csv;28451;02/01/2025;30/12/2025;9;OK;
04_5_MIN;5_MIN;WDO;WDO_5min_2026_2026.csv;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\04_5_MIN\wdo\WDO_5min_2026_2026.csv;11922;02/01/2026;05/06/2026;9;OK;
04_5_MIN;5_MIN;WIN;WIN_5min_2023_2024.csv;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\04_5_MIN\win\WIN_5min_2023_2024.csv;9612;22/08/2023;28/12/2023;9;OK;
04_5_MIN;5_MIN;WIN;WIN_5min_2024_2025.csv;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\04_5_MIN\win\WIN_5min_2024_2025.csv;28314;02/01/2024;30/12/2024;9;OK;
04_5_MIN;5_MIN;WIN;WIN_5min_2025_2026.csv;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\04_5_MIN\win\WIN_5min_2025_2026.csv;28176;02/01/2025;30/12/2025;9;OK;
04_5_MIN;5_MIN;WIN;WIN_5min_2026_2026.csv;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\04_5_MIN\win\WIN_5min_2026_2026.csv;11817;02/01/2026;05/06/2026;9;OK;
05_10_MIN;10_MIN;WDO;WDO_10min2022_2023.csv;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\05_10_MIN\wdo\WDO_10min2022_2023.csv;1913;11/11/2022;29/12/2022;9;OK;
05_10_MIN;10_MIN;WDO;WDO_10min_2023_2024.csv;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\05_10_MIN\wdo\WDO_10min_2023_2024.csv;13622;02/01/2023;28/12/2023;9;OK;
05_10_MIN;10_MIN;WDO;WDO_10min_2024_2025.csv;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\05_10_MIN\wdo\WDO_10min_2024_2025.csv;14278;02/01/2024;30/12/2024;9;OK;
05_10_MIN;10_MIN;WDO;WDO_10min_2025_2026.csv;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\05_10_MIN\wdo\WDO_10min_2025_2026.csv;14226;02/01/2025;30/12/2025;9;OK;
05_10_MIN;10_MIN;WDO;WDO_10min_2026_2026.csv;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\05_10_MIN\wdo\WDO_10min_2026_2026.csv;5961;02/01/2026;05/06/2026;9;OK;
