ativo;fractal;arquivo;linhas;tamanho_mb
WDO;10_MIN;5;50000;3.763
WDO;15_MIN;4;52696;3.989
WDO;1_MIN;2;97040;7.095000000000001
WDO;30_MIN;7;50000;3.788
WDO;5_MIN;4;78078;5.831
WDO;60_MIN;8;32648;2.471
WDO;DIARIO;13;4970;0.333
WDO;SEMANAL;10;890;0.061
WIN;10_MIN;5;50000;4.2059999999999995
WIN;15_MIN;4;56021;4.732
WIN;1_MIN;1;51486;4.244
WIN;2_MIN;1;25801;2.878
WIN;30_MIN;7;53483;4.461
WIN;3_MIN;1;17232;1.927
WIN;5_MIN;4;77919;6.511
WIN;60_MIN;8;32545;2.736
WIN;DIARIO;14;5463;0.41
WIN;SEMANAL;13;1184;0.088
