tipo_pacote;ativo;fractal;arquivo;prioridade;uso
REVERSAO;WDO;1_MIN;WDO_1min_2025_2026.csv;ALTA;Historiador deve estudar reversoes recorrentes
REVERSAO;WDO;1_MIN;WDO_1min_2026_2026.csv;ALTA;Historiador deve estudar reversoes recorrentes
REVERSAO;WIN;1_MIN;WIN_1min_2026_2026.csv;ALTA;Historiador deve estudar reversoes recorrentes
REVERSAO;WIN;2_MIN;WIN_2min_2026_2026.csv;ALTA;Historiador deve estudar reversoes recorrentes
REVERSAO;WIN;3_MIN;WIN_3min_2026_2026.csv;ALTA;Historiador deve estudar reversoes recorrentes
REVERSAO;WDO;5_MIN;WDO_5min_2023_2024.csv;ALTA;Historiador deve estudar reversoes recorrentes
REVERSAO;WDO;5_MIN;WDO_5min_2024_2025.csv;ALTA;Historiador deve estudar reversoes recorrentes
REVERSAO;WDO;5_MIN;WDO_5min_2025_2026.csv;ALTA;Historiador deve estudar reversoes recorrentes
REVERSAO;WDO;5_MIN;WDO_5min_2026_2026.csv;ALTA;Historiador deve estudar reversoes recorrentes
REVERSAO;WIN;5_MIN;WIN_5min_2023_2024.csv;ALTA;Historiador deve estudar reversoes recorrentes
REVERSAO;WIN;5_MIN;WIN_5min_2024_2025.csv;ALTA;Historiador deve estudar reversoes recorrentes
REVERSAO;WIN;5_MIN;WIN_5min_2025_2026.csv;ALTA;Historiador deve estudar reversoes recorrentes
REVERSAO;WIN;5_MIN;WIN_5min_2026_2026.csv;ALTA;Historiador deve estudar reversoes recorrentes
REVERSAO;WDO;10_MIN;WDO_10min2022_2023.csv;ALTA;Historiador deve estudar reversoes recorrentes
REVERSAO;WDO;10_MIN;WDO_10min_2023_2024.csv;ALTA;Historiador deve estudar reversoes recorrentes
REVERSAO;WDO;10_MIN;WDO_10min_2024_2025.csv;ALTA;Historiador deve estudar reversoes recorrentes
REVERSAO;WDO;10_MIN;WDO_10min_2025_2026.csv;ALTA;Historiador deve estudar reversoes recorrentes
REVERSAO;WDO;10_MIN;WDO_10min_2026_2026.csv;ALTA;Historiador deve estudar reversoes recorrentes
REVERSAO;WIN;10_MIN;WIN_10min_2022_2023.csv;ALTA;Historiador deve estudar reversoes recorrentes
REVERSAO;WIN;10_MIN;WIN_10min_2023_2024.csv;ALTA;Historiador deve estudar reversoes recorrentes
REVERSAO;WIN;10_MIN;WIN_10min_2024_2025.csv;ALTA;Historiador deve estudar reversoes recorrentes
REVERSAO;WIN;10_MIN;WIN_10min_2025_2026.csv;ALTA;Historiador deve estudar reversoes recorrentes
REVERSAO;WIN;10_MIN;WIN_10min_2026_2026.csv;ALTA;Historiador deve estudar reversoes recorrentes
REVERSAO;WDO;15_MIN;WDO_15min_2020_2022.csv;ALTA;Historiador deve estudar reversoes recorrentes
REVERSAO;WDO;15_MIN;WDO_15min_2022_2024.csv;ALTA;Historiador deve estudar reversoes recorrentes
REVERSAO;WDO;15_MIN;WDO_15min_2024_2026.csv;ALTA;Historiador deve estudar reversoes recorrentes
REVERSAO;WDO;15_MIN;WDO_15min_2026_2026.csv;ALTA;Historiador deve estudar reversoes recorrentes
REVERSAO;WIN;15_MIN;WIN_15min_2020_2022.csv;ALTA;Historiador deve estudar reversoes recorrentes
REVERSAO;WIN;15_MIN;WIN_15min_2022_2024.csv;ALTA;Historiador deve estudar reversoes recorrentes
REVERSAO;WIN;15_MIN;WIN_15min_2024_2026.csv;ALTA;Historiador deve estudar reversoes recorrentes
REVERSAO;WIN;15_MIN;WIN_15min_2026_2026.csv;ALTA;Historiador deve estudar reversoes recorrentes
REVERSAO;WDO;30_MIN;WDO_30min_2014_2016.csv;ALTA;Historiador deve estudar reversoes recorrentes
REVERSAO;WDO;30_MIN;WDO_30min_2016_2018.csv;ALTA;Historiador deve estudar reversoes recorrentes
REVERSAO;WDO;30_MIN;WDO_30min_2018_2020.csv;ALTA;Historiador deve estudar reversoes recorrentes
REVERSAO;WDO;30_MIN;WDO_30min_2020_2022.csv;ALTA;Historiador deve estudar reversoes recorrentes
REVERSAO;WDO;30_MIN;WDO_30min_2022_2024.csv;ALTA;Historiador deve estudar reversoes recorrentes
REVERSAO;WDO;30_MIN;WDO_30min_2024_2026.csv;ALTA;Historiador deve estudar reversoes recorrentes
REVERSAO;WDO;30_MIN;WDO_30min_2026_2026.csv;ALTA;Historiador deve estudar reversoes recorrentes
REVERSAO;WIN;30_MIN;WIN_30min_2012_2014.csv;ALTA;Historiador deve estudar reversoes recorrentes
REVERSAO;WIN;30_MIN;WIN_30min_2014_2016.csv;ALTA;Historiador deve estudar reversoes recorrentes
REVERSAO;WIN;30_MIN;WIN_30min_2016_2018.csv;ALTA;Historiador deve estudar reversoes recorrentes
REVERSAO;WIN;30_MIN;WIN_30min_2018_2020.csv;ALTA;Historiador deve estudar reversoes recorrentes
REVERSAO;WIN;30_MIN;WIN_30min_2020_2022.csv;ALTA;Historiador deve estudar reversoes recorrentes
REVERSAO;WIN;30_MIN;WIN_30min_2022_2024.csv;ALTA;Historiador deve estudar reversoes recorrentes
REVERSAO;WIN;30_MIN;WIN_30min_2026_2026.csv;ALTA;Historiador deve estudar reversoes recorrentes
REVERSAO;WDO;60_MIN;WDO_60MIN_2012_2014.csv;ALTA;Historiador deve estudar reversoes recorrentes
REVERSAO;WDO;60_MIN;WDO_60min_2014_2016.csv;ALTA;Historiador deve estudar reversoes recorrentes
REVERSAO;WDO;60_MIN;WDO_60min_2016_2018.csv;ALTA;Historiador deve estudar reversoes recorrentes
REVERSAO;WDO;60_MIN;WDO_60min_2018_2020.csv;ALTA;Historiador deve estudar reversoes recorrentes
REVERSAO;WDO;60_MIN;WDO_60min_2020_2022.csv;ALTA;Historiador deve estudar reversoes recorrentes
REVERSAO;WDO;60_MIN;WDO_60min_2022_2024.csv;ALTA;Historiador deve estudar reversoes recorrentes
