tipo;nome;categoria;maturidade;peso_inicial_sugerido;uso
ASSUNTO;VWAP;PRECO_VALOR;ALTA;3;Motor de Confluencia pode usar como eixo de evidencia
ASSUNTO;DELTA;FLUXO;BAIXA;2;Motor de Confluencia pode usar como eixo de evidencia
ASSUNTO;SALDO;FLUXO;BAIXA;2;Motor de Confluencia pode usar como eixo de evidencia
ASSUNTO;REVERSAO;PADRAO;MEDIA;2;Motor de Confluencia pode usar como eixo de evidencia
ASSUNTO;ROMPIMENTO;PADRAO;BAIXA;2;Motor de Confluencia pode usar como eixo de evidencia
ASSUNTO;ABSORCAO;PADRAO;BAIXA;2;Motor de Confluencia pode usar como eixo de evidencia
ASSUNTO;SCALPING;PERFIL_OPERACIONAL;BAIXA;2;Motor de Confluencia pode usar como eixo de evidencia
ASSUNTO;CONTEXTO;AMBIENTE;BAIXA;2;Motor de Confluencia pode usar como eixo de evidencia
PADRAO;REVERSAO_VWAP;REVERSAO;CATALOGADO;2;Historiador, Motor de Confluencia, Score de Qualidade
PADRAO;REVERSAO_EXTREMO;REVERSAO;CATALOGADO;2;Historiador, Motor de Confluencia, Score de Qualidade
PADRAO;FALSO_ROMPIMENTO;REVERSAO;CATALOGADO;2;Historiador, Motor de Confluencia, Score de Qualidade
PADRAO;ABSORCAO_COMPRADORA;REVERSAO;CATALOGADO;2;Historiador, Motor de Confluencia, Score de Qualidade
PADRAO;ABSORCAO_VENDEDORA;REVERSAO;CATALOGADO;2;Historiador, Motor de Confluencia, Score de Qualidade
PADRAO;EXAUSTAO_COMPRA;REVERSAO;CATALOGADO;2;Historiador, Motor de Confluencia, Score de Qualidade
PADRAO;EXAUSTAO_VENDA;REVERSAO;CATALOGADO;2;Historiador, Motor de Confluencia, Score de Qualidade
PADRAO;ROMPIMENTO_COM_FLUXO;REVERSAO;CATALOGADO;2;Historiador, Motor de Confluencia, Score de Qualidade
PADRAO;COMPRESSAO_PRE_EXPLOSAO;REVERSAO;CATALOGADO;2;Historiador, Motor de Confluencia, Score de Qualidade
PADRAO;PULLBACK_INSTITUCIONAL;REVERSAO;CATALOGADO;2;Historiador, Motor de Confluencia, Score de Qualidade
PADRAO;SCALPING_EXPLOSAO;SCALPING;CATALOGADO;2;Historiador, Motor de Confluencia, Score de Qualidade
PADRAO;SCALPING_REJEICAO;SCALPING;CATALOGADO;2;Historiador, Motor de Confluencia, Score de Qualidade
PADRAO;CONTEXTO_ABERTURA;CONTEXTO;CATALOGADO;2;Historiador, Motor de Confluencia, Score de Qualidade
PADRAO;CONTEXTO_FECHAMENTO;CONTEXTO;CATALOGADO;2;Historiador, Motor de Confluencia, Score de Qualidade
ASSUNTO;VWAP;PRECO_VALOR;ALTA;2;Busca semantica, IA, Pacote de contexto
ASSUNTO;DELTA;FLUXO;BAIXA;2;Busca semantica, IA, Pacote de contexto
ASSUNTO;SALDO;FLUXO;BAIXA;2;Busca semantica, IA, Pacote de contexto
ASSUNTO;REVERSAO;PADRAO;MEDIA;2;Busca semantica, IA, Pacote de contexto
ASSUNTO;ROMPIMENTO;PADRAO;BAIXA;2;Busca semantica, IA, Pacote de contexto
ASSUNTO;ABSORCAO;PADRAO;BAIXA;2;Busca semantica, IA, Pacote de contexto
ASSUNTO;SCALPING;PERFIL_OPERACIONAL;BAIXA;2;Busca semantica, IA, Pacote de contexto
ASSUNTO;CONTEXTO;AMBIENTE;BAIXA;2;Busca semantica, IA, Pacote de contexto
