data_hora;fractal;arquivo;ativo_detectado;pasta_atual;pasta_correta;acao;resultado;caminho_atual;destino_sugerido
07/06/2026 18:29:59;01_1_MIN;WDO_1min_2025_2026.csv;WDO;wdo;wdo;OK;PASTA_CORRETA;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\01_1_MIN\wdo\WDO_1min_2025_2026.csv;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\01_1_MIN\wdo\WDO_1min_2025_2026.csv
07/06/2026 18:30:00;01_1_MIN;WDO_1min_2026_2026.csv;WDO;wdo;wdo;OK;PASTA_CORRETA;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\01_1_MIN\wdo\WDO_1min_2026_2026.csv;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\01_1_MIN\wdo\WDO_1min_2026_2026.csv
07/06/2026 18:30:00;01_1_MIN;WIN_1min_2026_2026.csv;WIN;win;win;OK;PASTA_CORRETA;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\01_1_MIN\win\WIN_1min_2026_2026.csv;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\01_1_MIN\win\WIN_1min_2026_2026.csv
07/06/2026 18:30:00;04_5_MIN;WDO_5min_2023_2024.csv;WDO;wdo;wdo;OK;PASTA_CORRETA;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\04_5_MIN\wdo\WDO_5min_2023_2024.csv;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\04_5_MIN\wdo\WDO_5min_2023_2024.csv
07/06/2026 18:30:00;04_5_MIN;WDO_5min_2024_2025.csv;WDO;wdo;wdo;OK;PASTA_CORRETA;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\04_5_MIN\wdo\WDO_5min_2024_2025.csv;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\04_5_MIN\wdo\WDO_5min_2024_2025.csv
07/06/2026 18:30:00;04_5_MIN;WDO_5min_2025_2026.csv;WDO;wdo;wdo;OK;PASTA_CORRETA;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\04_5_MIN\wdo\WDO_5min_2025_2026.csv;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\04_5_MIN\wdo\WDO_5min_2025_2026.csv
07/06/2026 18:30:00;04_5_MIN;WDO_5min_2026_2026.csv;WDO;wdo;wdo;OK;PASTA_CORRETA;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\04_5_MIN\wdo\WDO_5min_2026_2026.csv;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\04_5_MIN\wdo\WDO_5min_2026_2026.csv
07/06/2026 18:30:00;04_5_MIN;WIN_5min_2023_2024.csv;WIN;win;win;OK;PASTA_CORRETA;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\04_5_MIN\win\WIN_5min_2023_2024.csv;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\04_5_MIN\win\WIN_5min_2023_2024.csv
07/06/2026 18:30:01;04_5_MIN;WIN_5min_2024_2025.csv;WIN;win;win;OK;PASTA_CORRETA;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\04_5_MIN\win\WIN_5min_2024_2025.csv;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\04_5_MIN\win\WIN_5min_2024_2025.csv
07/06/2026 18:30:01;04_5_MIN;WIN_5min_2025_2026.csv;WIN;win;win;OK;PASTA_CORRETA;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\04_5_MIN\win\WIN_5min_2025_2026.csv;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\04_5_MIN\win\WIN_5min_2025_2026.csv
