================================================================================
ZÉ DO EUCRÁZIO 4.0 — LOG OPERACIONAL
================================================================================
Regra oficial: Zé gera. Fiscal Temporal certifica.
Base: C:\Users\User\projeto_fluxo\TRIN_HISTORICO
Origem: C:\Users\User\projeto_fluxo\TRIN_HISTORICO\01_1_MIN\win
Manifesto: C:\Users\User\projeto_fluxo\TRIN_HISTORICO\00_MANIFESTOS\ze_do_eucrazio\manifesto_ze_eucrazio_4_0_20260611_231935.json

--------------------------------------------------------------------------------
Origem: C:\Users\User\projeto_fluxo\TRIN_HISTORICO\01_1_MIN\win\WIN_1min_2026_2026.csv
Tipo: HISTORICO_PROFIT
Linhas origem: 51486
Status: CONCLUIDO
Fractais:
    2 min | PULADO_ARQUIVO_EXISTENTE | linhas=0        completos=0        parciais=0       
    3 min | PULADO_ARQUIVO_EXISTENTE | linhas=0        completos=0        parciais=0       
    4 min | GERADO                   | linhas=12929    completos=12838    parciais=91      
    5 min | GERADO                   | linhas=10315    completos=10281    parciais=34      
    6 min | GERADO                   | linhas=8639     completos=8548     parciais=91      
    7 min | GERADO                   | linhas=7394     completos=7303     parciais=91      
    8 min | GERADO                   | linhas=6481     completos=6389     parciais=92      
    9 min | GERADO                   | linhas=5752     completos=5660     parciais=92      
   10 min | GERADO                   | linhas=5203     completos=5111     parciais=92      
   12 min | GERADO                   | linhas=4349     completos=4258     parciais=91      
   15 min | GERADO                   | linhas=3469     completos=3377     parciais=92      
   20 min | GERADO                   | linhas=2647     completos=2555     parciais=92      
   30 min | GERADO                   | linhas=1735     completos=1643     parciais=92      
   45 min | GERADO                   | linhas=1187     completos=1095     parciais=92      
   60 min | GERADO                   | linhas=913      completos=821      parciais=92      
   90 min | GERADO                   | linhas=639      completos=547      parciais=92      
  120 min | GERADO                   | linhas=457      completos=365      parciais=92      
  180 min | GERADO                   | linhas=365      completos=273      parciais=92      
  240 min | GERADO                   | linhas=274      completos=182      parciais=92      
