ativo;data;hora;timestamp;timezone;sessao;fractal_minutos;status_candle;qtd_candles_origem;abertura;maximo;minimo;ultimo;volume;volume_quantidade;delta;saldo;agressao_compra;agressao_saldo;agressao_venda;vwap
WINFUT;21/01/2026;11:46:00;2026-01-21 11:46:00;America/Sao_Paulo;2026-01-21;10;COMPLETO;10;178616.85;178653.31;178247.02;178366.82;18681068028.0;523296.0;0.0;0.0;0.0;0.0;0.0;178491.90969065716
WINFUT;21/01/2026;11:56:00;2026-01-21 11:56:00;America/Sao_Paulo;2026-01-21;10;COMPLETO;10;178361.61;178491.83;178267.85;178377.24;13467914965.3;377486.0;0.0;0.0;0.0;0.0;0.0;178402.92478695043
WINFUT;21/01/2026;12:06:00;2026-01-21 12:06:00;America/Sao_Paulo;2026-01-21;10;COMPLETO;10;178377.24;178507.46;178319.94;178413.7;11008892046.699999;308510.0;0.0;0.0;0.0;0.0;0.0;178405.30927884232
WINFUT;21/01/2026;12:16:00;2026-01-21 12:16:00;America/Sao_Paulo;2026-01-21;10;COMPLETO;10;178413.7;178569.97;178153.26;178179.3;14662045569.2;410955.0;0.0;0.0;0.0;0.0;0.0;178381.37087345048
WINFUT;21/01/2026;12:26:00;2026-01-21 12:26:00;America/Sao_Paulo;2026-01-21;10;COMPLETO;10;178174.09;178293.9;178090.75;178215.77;13199653779.9;370391.0;0.0;0.0;0.0;0.0;0.0;178197.88316547888
WINFUT;21/01/2026;12:36:00;2026-01-21 12:36:00;America/Sao_Paulo;2026-01-21;10;COMPLETO;10;178220.97;178226.18;178080.34;178132.42;8373511017.599999;235015.0;0.0;0.0;0.0;0.0;0.0;178149.2551140434
WINFUT;21/01/2026;12:46:00;2026-01-21 12:46:00;America/Sao_Paulo;2026-01-21;10;COMPLETO;10;178132.42;178460.58;178116.8;178424.12;12465859969.6;349551.0;0.0;0.0;0.0;0.0;0.0;178327.0997955518
WINFUT;21/01/2026;12:56:00;2026-01-21 12:56:00;America/Sao_Paulo;2026-01-21;10;COMPLETO;10;178424.12;178788.74;178382.45;178767.9;15088488419.6;422408.0;0.0;0.0;0.0;0.0;0.0;178610.02138839054
WINFUT;21/01/2026;13:06:00;2026-01-21 13:06:00;America/Sao_Paulo;2026-01-21;10;COMPLETO;10;178773.11;178866.87;178632.47;178648.1;11306803897.199999;316280.0;0.0;0.0;0.0;0.0;0.0;178737.82468772942
WINFUT;21/01/2026;13:16:00;2026-01-21 13:16:00;America/Sao_Paulo;2026-01-21;10;COMPLETO;10;178648.1;178767.9;178575.18;178705.4;9095210276.5;254541.0;0.0;0.0;0.0;0.0;0.0;178658.58168455824
WINFUT;21/01/2026;13:26:00;2026-01-21 13:26:00;America/Sao_Paulo;2026-01-21;10;COMPLETO;10;178705.4;178991.88;178694.98;178929.38;14608053328.6;408329.0;0.0;0.0;0.0;0.0;0.0;178890.52462452906
WINFUT;21/01/2026;13:36:00;2026-01-21 13:36:00;America/Sao_Paulo;2026-01-21;10;COMPLETO;10;178934.59;178965.84;178710.61;178872.08;10449796224.5;292209.0;0.0;0.0;0.0;0.0;0.0;178804.64719240865
WINFUT;21/01/2026;13:46:00;2026-01-21 13:46:00;America/Sao_Paulo;2026-01-21;10;COMPLETO;10;178877.29;178892.92;178741.86;178747.07;8664271652.3;242255.0;0.0;0.0;0.0;0.0;0.0;178816.78984358214
WINFUT;21/01/2026;13:56:00;2026-01-21 13:56:00;America/Sao_Paulo;2026-01-21;10;COMPLETO;10;178747.07;178908.54;178721.02;178825.2;7289570371.8;203826.0;0.0;0.0;0.0;0.0;0.0;178815.58421908287
WINFUT;21/01/2026;14:06:00;2026-01-21 14:06:00;America/Sao_Paulo;2026-01-21;10;COMPLETO;10;178830.41;178934.59;178689.77;178705.4;7885088276.8;220478.0;0.0;0.0;0.0;0.0;0.0;178807.73846649833
WINFUT;21/01/2026;14:16:00;2026-01-21 14:16:00;America/Sao_Paulo;2026-01-21;10;COMPLETO;10;178710.61;178783.53;178648.1;178653.31;6212585906.300001;173819.0;0.0;0.0;0.0;0.0;0.0;178709.46115612853
WINFUT;21/01/2026;14:26:00;2026-01-21 14:26:00;America/Sao_Paulo;2026-01-21;10;COMPLETO;10;178658.52;178684.56;178429.33;178528.3;10414762774.5;291645.0;0.0;0.0;0.0;0.0;0.0;178559.14367936415
WINFUT;21/01/2026;14:36:00;2026-01-21 14:36:00;America/Sao_Paulo;2026-01-21;10;COMPLETO;10;178528.3;178736.65;178507.46;178668.94;8308742035.5;232548.0;0.0;0.0;0.0;0.0;0.0;178651.4468521352
WINFUT;21/01/2026;14:46:00;2026-01-21 14:46:00;America/Sao_Paulo;2026-01-21;10;COMPLETO;10;178668.94;178892.92;178653.31;178804.37;9104556101.4;254619.0;0.0;0.0;0.0;0.0;0.0;178794.38412896593
