ativo;data;hora;timestamp;timezone;sessao;fractal_minutos;status_candle;qtd_candles_origem;abertura;maximo;minimo;ultimo;volume;volume_quantidade;delta;saldo;agressao_compra;agressao_saldo;agressao_venda;vwap
WINFUT;21/01/2026;11:46:00;2026-01-21 11:46:00;America/Sao_Paulo;2026-01-21;6;COMPLETO;6;178616.85;178653.31;178444.96;178549.13;10890342720.0;304942.0;0.0;0.0;0.0;0.0;0.0;178565.22720172413
WINFUT;21/01/2026;11:52:00;2026-01-21 11:52:00;America/Sao_Paulo;2026-01-21;6;COMPLETO;6;178549.13;178590.8;178247.02;178304.32;10185096501.4;285491.0;0.0;0.0;0.0;0.0;0.0;178376.07994580435
WINFUT;21/01/2026;11:58:00;2026-01-21 11:58:00;America/Sao_Paulo;2026-01-21;6;COMPLETO;6;178304.32;178491.83;178304.32;178439.75;8312980642.4;232967.0;0.0;0.0;0.0;0.0;0.0;178427.443168362
WINFUT;21/01/2026;12:04:00;2026-01-21 12:04:00;America/Sao_Paulo;2026-01-21;6;COMPLETO;6;178439.75;178507.46;178299.11;178434.54;7175751306.5;201103.0;0.0;0.0;0.0;0.0;0.0;178407.883988843
WINFUT;21/01/2026;12:10:00;2026-01-21 12:10:00;America/Sao_Paulo;2026-01-21;6;COMPLETO;6;178434.54;178502.25;178319.94;178413.7;6593703869.7;184789.0;0.0;0.0;0.0;0.0;0.0;178396.10998293408
WINFUT;21/01/2026;12:16:00;2026-01-21 12:16:00;America/Sao_Paulo;2026-01-21;6;COMPLETO;6;178413.7;178569.97;178309.52;178330.36;8064707703.0;225948.0;0.0;0.0;0.0;0.0;0.0;178460.32384266675
WINFUT;21/01/2026;12:22:00;2026-01-21 12:22:00;America/Sao_Paulo;2026-01-21;6;COMPLETO;6;178325.15;178424.12;178106.38;178163.68;10183036218.2;285640.0;0.0;0.0;0.0;0.0;0.0;178245.87777604655
WINFUT;21/01/2026;12:28:00;2026-01-21 12:28:00;America/Sao_Paulo;2026-01-21;6;COMPLETO;6;178168.89;178293.9;178090.75;178095.96;7403205795.799999;207719.0;0.0;0.0;0.0;0.0;0.0;178205.04799505582
WINFUT;21/01/2026;12:34:00;2026-01-21 12:34:00;America/Sao_Paulo;2026-01-21;6;COMPLETO;6;178101.17;178231.39;178095.96;178122.01;5356252314.8;150318.0;0.0;0.0;0.0;0.0;0.0;178179.6810346322
WINFUT;21/01/2026;12:40:00;2026-01-21 12:40:00;America/Sao_Paulo;2026-01-21;6;COMPLETO;6;178122.01;178205.35;178080.34;178132.42;5228008334.900001;146736.0;0.0;0.0;0.0;0.0;0.0;178144.77152487703
WINFUT;21/01/2026;12:46:00;2026-01-21 12:46:00;America/Sao_Paulo;2026-01-21;6;COMPLETO;6;178132.42;178377.24;178116.8;178361.61;7590689046.5;212910.0;0.0;0.0;0.0;0.0;0.0;178275.88971011373
WINFUT;21/01/2026;12:52:00;2026-01-21 12:52:00;America/Sao_Paulo;2026-01-21;6;COMPLETO;6;178356.4;178460.58;178314.73;178418.91;6325484170.200001;177286.0;0.0;0.0;0.0;0.0;0.0;178410.27649963205
WINFUT;21/01/2026;12:58:00;2026-01-21 12:58:00;America/Sao_Paulo;2026-01-21;6;COMPLETO;6;178418.91;178741.86;178392.87;178637.68;10761109312.0;301261.0;0.0;0.0;0.0;0.0;0.0;178602.94239778494
WINFUT;21/01/2026;13:04:00;2026-01-21 13:04:00;America/Sao_Paulo;2026-01-21;6;COMPLETO;6;178637.68;178788.74;178601.22;178721.02;6496447181.500001;181757.0;0.0;0.0;0.0;0.0;0.0;178724.66039157225
WINFUT;21/01/2026;13:10:00;2026-01-21 13:10:00;America/Sao_Paulo;2026-01-21;6;COMPLETO;6;178726.23;178866.87;178632.47;178648.1;7687422576.2;215025.0;0.0;0.0;0.0;0.0;0.0;178746.52881189345
WINFUT;21/01/2026;13:16:00;2026-01-21 13:16:00;America/Sao_Paulo;2026-01-21;6;COMPLETO;6;178648.1;178689.77;178575.18;178668.94;5162888609.5;144504.0;0.0;0.0;0.0;0.0;0.0;178643.2321927226
WINFUT;21/01/2026;13:22:00;2026-01-21 13:22:00;America/Sao_Paulo;2026-01-21;6;COMPLETO;6;178668.94;178825.2;178590.8;178809.57;6228167027.4;174247.0;0.0;0.0;0.0;0.0;0.0;178723.47146323716
WINFUT;21/01/2026;13:28:00;2026-01-21 13:28:00;America/Sao_Paulo;2026-01-21;6;COMPLETO;6;178814.78;178991.88;178773.11;178908.54;10900252420.0;304661.0;0.0;0.0;0.0;0.0;0.0;178905.8494460555
