sessao;fractal_minutos;total_candles_origem;blocos_gerados;candles_completos;candles_parciais;motivo_parcial
2026-01-21;180;399;3;2;1;SOBRARAM_39_CANDLES
2026-01-22;180;564;4;3;1;SOBRARAM_24_CANDLES
2026-01-23;180;565;4;3;1;SOBRARAM_25_CANDLES
2026-01-26;180;562;4;3;1;SOBRARAM_22_CANDLES
2026-01-27;180;565;4;3;1;SOBRARAM_25_CANDLES
2026-01-28;180;565;4;3;1;SOBRARAM_25_CANDLES
2026-01-29;180;565;4;3;1;SOBRARAM_25_CANDLES
2026-01-30;180;565;4;3;1;SOBRARAM_25_CANDLES
2026-02-02;180;565;4;3;1;SOBRARAM_25_CANDLES
2026-02-03;180;565;4;3;1;SOBRARAM_25_CANDLES
2026-02-04;180;565;4;3;1;SOBRARAM_25_CANDLES
2026-02-05;180;565;4;3;1;SOBRARAM_25_CANDLES
2026-02-06;180;565;4;3;1;SOBRARAM_25_CANDLES
2026-02-09;180;565;4;3;1;SOBRARAM_25_CANDLES
2026-02-10;180;565;4;3;1;SOBRARAM_25_CANDLES
2026-02-11;180;565;4;3;1;SOBRARAM_25_CANDLES
2026-02-12;180;565;4;3;1;SOBRARAM_25_CANDLES
2026-02-13;180;565;4;3;1;SOBRARAM_25_CANDLES
2026-02-18;180;325;2;1;1;SOBRARAM_145_CANDLES
2026-02-19;180;565;4;3;1;SOBRARAM_25_CANDLES
2026-02-20;180;565;4;3;1;SOBRARAM_25_CANDLES
2026-02-23;180;565;4;3;1;SOBRARAM_25_CANDLES
2026-02-24;180;565;4;3;1;SOBRARAM_25_CANDLES
2026-02-25;180;565;4;3;1;SOBRARAM_25_CANDLES
2026-02-26;180;565;4;3;1;SOBRARAM_25_CANDLES
2026-02-27;180;565;4;3;1;SOBRARAM_25_CANDLES
2026-03-02;180;565;4;3;1;SOBRARAM_25_CANDLES
2026-03-03;180;563;4;3;1;SOBRARAM_23_CANDLES
2026-03-04;180;565;4;3;1;SOBRARAM_25_CANDLES
2026-03-05;180;562;4;3;1;SOBRARAM_22_CANDLES
2026-03-06;180;562;4;3;1;SOBRARAM_22_CANDLES
2026-03-09;180;565;4;3;1;SOBRARAM_25_CANDLES
2026-03-10;180;565;4;3;1;SOBRARAM_25_CANDLES
2026-03-11;180;565;4;3;1;SOBRARAM_25_CANDLES
2026-03-12;180;565;4;3;1;SOBRARAM_25_CANDLES
2026-03-13;180;565;4;3;1;SOBRARAM_25_CANDLES
2026-03-16;180;565;4;3;1;SOBRARAM_25_CANDLES
2026-03-17;180;565;4;3;1;SOBRARAM_25_CANDLES
2026-03-18;180;563;4;3;1;SOBRARAM_23_CANDLES
2026-03-19;180;565;4;3;1;SOBRARAM_25_CANDLES
2026-03-20;180;565;4;3;1;SOBRARAM_25_CANDLES
2026-03-23;180;562;4;3;1;SOBRARAM_22_CANDLES
2026-03-24;180;565;4;3;1;SOBRARAM_25_CANDLES
2026-03-25;180;562;4;3;1;SOBRARAM_22_CANDLES
2026-03-26;180;565;4;3;1;SOBRARAM_25_CANDLES
2026-03-27;180;565;4;3;1;SOBRARAM_25_CANDLES
2026-03-30;180;562;4;3;1;SOBRARAM_22_CANDLES
2026-03-31;180;565;4;3;1;SOBRARAM_25_CANDLES
2026-04-01;180;563;4;3;1;SOBRARAM_23_CANDLES
2026-04-02;180;561;4;3;1;SOBRARAM_21_CANDLES
2026-04-06;180;562;4;3;1;SOBRARAM_22_CANDLES
2026-04-07;180;565;4;3;1;SOBRARAM_25_CANDLES
2026-04-08;180;562;4;3;1;SOBRARAM_22_CANDLES
2026-04-09;180;565;4;3;1;SOBRARAM_25_CANDLES
2026-04-10;180;565;4;3;1;SOBRARAM_25_CANDLES
2026-04-13;180;562;4;3;1;SOBRARAM_22_CANDLES
2026-04-14;180;565;4;3;1;SOBRARAM_25_CANDLES
2026-04-15;180;562;4;3;1;SOBRARAM_22_CANDLES
2026-04-16;180;562;4;3;1;SOBRARAM_22_CANDLES
2026-04-17;180;562;4;3;1;SOBRARAM_22_CANDLES
2026-04-20;180;565;4;3;1;SOBRARAM_25_CANDLES
2026-04-22;180;562;4;3;1;SOBRARAM_22_CANDLES
2026-04-23;180;562;4;3;1;SOBRARAM_22_CANDLES
2026-04-24;180;562;4;3;1;SOBRARAM_22_CANDLES
2026-04-27;180;565;4;3;1;SOBRARAM_25_CANDLES
2026-04-28;180;562;4;3;1;SOBRARAM_22_CANDLES
2026-04-29;180;563;4;3;1;SOBRARAM_23_CANDLES
2026-04-30;180;563;4;3;1;SOBRARAM_23_CANDLES
