fractal_minutos;pasta_encontrada;pasta_oficial;acao;destino
1;001_1_MIN;001_1_MIN;OFICIAL_MANTIDA;
2;002_2_MIN;002_2_MIN;OFICIAL_MANTIDA;
3;003_3_MIN;003_3_MIN;OFICIAL_MANTIDA;
4;004_4_MIN;004_4_MIN;OFICIAL_MANTIDA;
5;005_5_MIN;005_5_MIN;OFICIAL_MANTIDA;
6;006_6_MIN;006_6_MIN;OFICIAL_MANTIDA;
7;007_7_MIN;007_7_MIN;OFICIAL_MANTIDA;
8;008_8_MIN;008_8_MIN;OFICIAL_MANTIDA;
9;009_9_MIN;009_9_MIN;OFICIAL_MANTIDA;
10;010_10_MIN;010_10_MIN;OFICIAL_MANTIDA;
120;0120_120_MIN;120_120_MIN;MOVIDA_PARA_DUPLICIDADES;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\00_DUPLICIDADES_FRACTAIS\0120_120_MIN
12;012_12_MIN;012_12_MIN;OFICIAL_MANTIDA;
15;015_15_MIN;015_15_MIN;OFICIAL_MANTIDA;
180;0180_180_MIN;180_180_MIN;MOVIDA_PARA_DUPLICIDADES;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\00_DUPLICIDADES_FRACTAIS\0180_180_MIN
20;020_20_MIN;020_20_MIN;OFICIAL_MANTIDA;
240;0240_240_MIN;240_240_MIN;MOVIDA_PARA_DUPLICIDADES;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\00_DUPLICIDADES_FRACTAIS\0240_240_MIN
2;02_2_MIN;002_2_MIN;MOVIDA_PARA_DUPLICIDADES;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\00_DUPLICIDADES_FRACTAIS\02_2_MIN
30;030_30_MIN;030_30_MIN;OFICIAL_MANTIDA;
3;03_3_MIN;003_3_MIN;MOVIDA_PARA_DUPLICIDADES;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\00_DUPLICIDADES_FRACTAIS\03_3_MIN
45;045_45_MIN;045_45_MIN;OFICIAL_MANTIDA;
4;04_4_MIN;004_4_MIN;MOVIDA_PARA_DUPLICIDADES;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\00_DUPLICIDADES_FRACTAIS\04_4_MIN
5;05_5_MIN;005_5_MIN;MOVIDA_PARA_DUPLICIDADES;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\00_DUPLICIDADES_FRACTAIS\05_5_MIN
60;060_60_MIN;060_60_MIN;OFICIAL_MANTIDA;
6;06_6_MIN;006_6_MIN;MOVIDA_PARA_DUPLICIDADES;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\00_DUPLICIDADES_FRACTAIS\06_6_MIN
7;07_7_MIN;007_7_MIN;MOVIDA_PARA_DUPLICIDADES;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\00_DUPLICIDADES_FRACTAIS\07_7_MIN
8;08_8_MIN;008_8_MIN;MOVIDA_PARA_DUPLICIDADES;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\00_DUPLICIDADES_FRACTAIS\08_8_MIN
90;090_90_MIN;090_90_MIN;OFICIAL_MANTIDA;
9;09_9_MIN;009_9_MIN;MOVIDA_PARA_DUPLICIDADES;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\00_DUPLICIDADES_FRACTAIS\09_9_MIN
10;10_10_MIN;010_10_MIN;MOVIDA_PARA_DUPLICIDADES;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\00_DUPLICIDADES_FRACTAIS\10_10_MIN
120;120_120_MIN;120_120_MIN;OFICIAL_MANTIDA;
12;12_12_MIN;012_12_MIN;MOVIDA_PARA_DUPLICIDADES;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\00_DUPLICIDADES_FRACTAIS\12_12_MIN
15;15_15_MIN;015_15_MIN;MOVIDA_PARA_DUPLICIDADES;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\00_DUPLICIDADES_FRACTAIS\15_15_MIN
180;180_180_MIN;180_180_MIN;OFICIAL_MANTIDA;
20;20_20_MIN;020_20_MIN;MOVIDA_PARA_DUPLICIDADES;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\00_DUPLICIDADES_FRACTAIS\20_20_MIN
240;240_240_MIN;240_240_MIN;OFICIAL_MANTIDA;
30;30_30_MIN;030_30_MIN;MOVIDA_PARA_DUPLICIDADES;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\00_DUPLICIDADES_FRACTAIS\30_30_MIN
45;45_45_MIN;045_45_MIN;MOVIDA_PARA_DUPLICIDADES;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\00_DUPLICIDADES_FRACTAIS\45_45_MIN
60;60_60_MIN;060_60_MIN;MOVIDA_PARA_DUPLICIDADES;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\00_DUPLICIDADES_FRACTAIS\60_60_MIN
90;90_90_MIN;090_90_MIN;MOVIDA_PARA_DUPLICIDADES;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\00_DUPLICIDADES_FRACTAIS\90_90_MIN
