arquivo;pasta;caminho;tipo_fractal;fractal_minutos;sha256;linhas;colunas;data_inicio;data_fim;ordem_temporal;timestamps_invalidos;duplicados;lacunas;ohlc_status;ohlc_problemas;volume_status;volume_negativo;status;maior_criticidade;motivos;responsavel;acao_recomendada;certificacao
WDO_1min_2025_2026.csv;001_1_MIN;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\001_1_MIN\wdo\WDO_1min_2025_2026.csv;INTRADAY;1;6dd76350f3eb0d3b4d1f81250561a556686b7eb359e297e61c047e7beb653d6f;37435;9;25/09/2025 11:55:00;30/12/2025 18:28:00;DECRESCENTE;0;0;0;NAO_VERIFICADO;0;NAO_VERIFICADO;0;CERTIFICADO;NENHUMA;NENHUM;NENHUM;NENHUMA;CONCEDIDA
WDO_1min_2026_2026.csv;001_1_MIN;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\001_1_MIN\wdo\WDO_1min_2026_2026.csv;INTRADAY;1;e4141a5ccc55b5070b857bf00191ee523a536ac263c893cea8ae9749141cff56;59603;9;02/01/2026 09:03:00;05/06/2026 18:28:00;DECRESCENTE;0;0;0;NAO_VERIFICADO;0;NAO_VERIFICADO;0;CERTIFICADO;NENHUMA;NENHUM;NENHUM;NENHUMA;CONCEDIDA
WIN_1min_2026_2026.csv;001_1_MIN;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\001_1_MIN\win\WIN_1min_2026_2026.csv;INTRADAY;1;7a6e8c5bf8f74dc33c8d9452543b1ea7899f731a62da1dec704b5f17ef4d1b3f;51485;9;21/01/2026 11:46:00;05/06/2026 18:23:00;DECRESCENTE;0;0;3;NAO_VERIFICADO;0;NAO_VERIFICADO;0;REPROVADO;ALTA;LACUNA_CANDLE_AUSENTE;ZE_DO_EUCRAZIO;REGENERAR_FRACTAL_A_PARTIR_DO_1_MIN;NEGADA
WIN_2min_2026_2026.csv;002_2_MIN;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\002_2_MIN\win\WIN_2min_2026_2026.csv;INTRADAY;2;c57e3009b0fa0e407e02e2c0bb6c987b7bfdad4ea13ad627c4c96070cd7cf196;25800;15;21/01/2026 11:48:00;05/06/2026 18:24:00;CRESCENTE;0;0;1;NAO_VERIFICADO;0;NAO_VERIFICADO;0;REPROVADO;ALTA;LACUNA_CANDLE_AUSENTE;ZE_DO_EUCRAZIO;REGENERAR_FRACTAL_A_PARTIR_DO_1_MIN;NEGADA
WIN_3min_2026_2026.csv;003_3_MIN;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\003_3_MIN\win\WIN_3min_2026_2026.csv;INTRADAY;3;1fa1eacaad8791f8fd0a7c215fb697cc642930507f105fffc29aa607b2ea832e;17231;15;21/01/2026 11:48:00;05/06/2026 18:24:00;CRESCENTE;0;0;0;NAO_VERIFICADO;0;NAO_VERIFICADO;0;CERTIFICADO;NENHUMA;NENHUM;NENHUM;NENHUMA;CONCEDIDA
WIN_4min_2026_2026.csv;004_4_MIN;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\004_4_MIN\win\WIN_4min_2026_2026.csv;INTRADAY;4;45c2c52759f09cdee72484e8c064eb4ac0ee36a0ed7e36bd6fd0543b9b5b1e10;12929;21;21/01/2026 11:46:00;05/06/2026 18:24:00;CRESCENTE;0;0;2;OK;0;OK;0;REPROVADO;ALTA;LACUNA_CANDLE_AUSENTE;ZE_DO_EUCRAZIO;REGENERAR_FRACTAL_A_PARTIR_DO_1_MIN;NEGADA
WDO_5min_2023_2024.csv;005_5_MIN;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\005_5_MIN\wdo\WDO_5min_2023_2024.csv;INTRADAY;5;2ed3ad69eb77010e5afab87c1bc482f32752626ecc520b402eb7733fd823eb14;9150;9;29/08/2023 11:50:00;28/12/2023 18:20:00;DECRESCENTE;0;0;0;NAO_VERIFICADO;0;NAO_VERIFICADO;0;CERTIFICADO;NENHUMA;NENHUM;NENHUM;NENHUMA;CONCEDIDA
WDO_5min_2024_2025.csv;005_5_MIN;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\005_5_MIN\wdo\WDO_5min_2024_2025.csv;INTRADAY;5;fb4da3345d5b04435e0a53c0008243e64299029b05b48ad23bca591bc5b4fd3e;28553;9;02/01/2024 09:00:00;30/12/2024 18:20:00;DECRESCENTE;0;0;0;NAO_VERIFICADO;0;NAO_VERIFICADO;0;CERTIFICADO;NENHUMA;NENHUM;NENHUM;NENHUMA;CONCEDIDA
WDO_5min_2025_2026.csv;005_5_MIN;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\005_5_MIN\wdo\WDO_5min_2025_2026.csv;INTRADAY;5;d2b474b92be5ca9c1e08aae9ace55abf80eeeac2e61da598e1d946d494053df0;28450;9;02/01/2025 09:00:00;30/12/2025 18:20:00;DECRESCENTE;0;0;0;NAO_VERIFICADO;0;NAO_VERIFICADO;0;CERTIFICADO;NENHUMA;NENHUM;NENHUM;NENHUMA;CONCEDIDA
WDO_5min_2026_2026.csv;005_5_MIN;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\005_5_MIN\wdo\WDO_5min_2026_2026.csv;INTRADAY;5;fca9317634bdb9ad19d2c8c9c76bafd2fc4758ee510cc50fbad4b32d951cf671;11921;9;02/01/2026 09:00:00;05/06/2026 18:20:00;DECRESCENTE;0;0;0;NAO_VERIFICADO;0;NAO_VERIFICADO;0;CERTIFICADO;NENHUMA;NENHUM;NENHUM;NENHUMA;CONCEDIDA
WIN_5min_2023_2024.csv;005_5_MIN;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\005_5_MIN\win\WIN_5min_2023_2024.csv;INTRADAY;5;9f993bc0e663fef649d85ed5ac9a2a443723af8cf29360f2cbd229ab92e8c922;9611;9;22/08/2023 11:10:00;28/12/2023 18:15:00;DECRESCENTE;0;0;0;NAO_VERIFICADO;0;NAO_VERIFICADO;0;CERTIFICADO;NENHUMA;NENHUM;NENHUM;NENHUMA;CONCEDIDA
WIN_5min_2024_2025.csv;005_5_MIN;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\005_5_MIN\win\WIN_5min_2024_2025.csv;INTRADAY;5;8119bce8d9342c7c74952ba21e9f1a3aca11e924af49cce8ec1646dcb11c1ab2;28313;9;02/01/2024 09:00:00;30/12/2024 18:15:00;DECRESCENTE;0;0;0;NAO_VERIFICADO;0;NAO_VERIFICADO;0;CERTIFICADO;NENHUMA;NENHUM;NENHUM;NENHUMA;CONCEDIDA
WIN_5min_2025_2026.csv;005_5_MIN;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\005_5_MIN\win\WIN_5min_2025_2026.csv;INTRADAY;5;ea097f0de925193b25a50971abfa6c72ac22a702820d062b94c753861028df38;28175;9;02/01/2025 09:00:00;30/12/2025 18:15:00;DECRESCENTE;0;0;2;NAO_VERIFICADO;0;NAO_VERIFICADO;0;REPROVADO;ALTA;LACUNA_CANDLE_AUSENTE;ZE_DO_EUCRAZIO;REGENERAR_FRACTAL_A_PARTIR_DO_1_MIN;NEGADA
