id_ocorrencia;arquivo;caminho;status_certificacao;status_ordem;criticidade;motivo;descricao;responsavel;acao_recomendada;dependencia;certificacao;data_emissao;fiscal_temporal
FT-20260618-000001;WIN_1min_2026_2026.csv;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\001_1_MIN\win\WIN_1min_2026_2026.csv;REPROVADO;PENDENTE;ALTA;LACUNA_CANDLE_AUSENTE;Lacuna de 0.03 horas entre 22/01/2026 12:40:00 e 22/01/2026 12:42:00. Possível candle ausente dentro da sequência temporal.;ZE_DO_EUCRAZIO;REGENERAR_FRACTAL_A_PARTIR_DO_1_MIN;BERNARDO_LOCALIZAR_ORIGEM -> ZE_REGENERAR_FRACTAL -> FISCAL_RECERTIFICAR;NEGADA;18/06/2026 19:06:42;v4.2
FT-20260618-000002;WIN_1min_2026_2026.csv;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\001_1_MIN\win\WIN_1min_2026_2026.csv;REPROVADO;PENDENTE;ALTA;LACUNA_CANDLE_AUSENTE;Lacuna de 0.05 horas entre 26/01/2026 11:30:00 e 26/01/2026 11:33:00. Possível candle ausente dentro da sequência temporal.;ZE_DO_EUCRAZIO;REGENERAR_FRACTAL_A_PARTIR_DO_1_MIN;BERNARDO_LOCALIZAR_ORIGEM -> ZE_REGENERAR_FRACTAL -> FISCAL_RECERTIFICAR;NEGADA;18/06/2026 19:06:42;v4.2
FT-20260618-000003;WIN_1min_2026_2026.csv;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\001_1_MIN\win\WIN_1min_2026_2026.csv;REPROVADO;PENDENTE;ALTA;LACUNA_CANDLE_AUSENTE;Lacuna de 0.03 horas entre 26/01/2026 11:33:00 e 26/01/2026 11:35:00. Possível candle ausente dentro da sequência temporal.;ZE_DO_EUCRAZIO;REGENERAR_FRACTAL_A_PARTIR_DO_1_MIN;BERNARDO_LOCALIZAR_ORIGEM -> ZE_REGENERAR_FRACTAL -> FISCAL_RECERTIFICAR;NEGADA;18/06/2026 19:06:42;v4.2
FT-20260618-000004;WIN_2min_2026_2026.csv;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\002_2_MIN\win\WIN_2min_2026_2026.csv;REPROVADO;PENDENTE;ALTA;LACUNA_CANDLE_AUSENTE;Lacuna de 0.05 horas entre 26/01/2026 11:30:00 e 26/01/2026 11:33:00. Possível candle ausente dentro da sequência temporal.;ZE_DO_EUCRAZIO;REGENERAR_FRACTAL_A_PARTIR_DO_1_MIN;BERNARDO_LOCALIZAR_ORIGEM -> ZE_REGENERAR_FRACTAL -> FISCAL_RECERTIFICAR;NEGADA;18/06/2026 19:06:42;v4.2
FT-20260618-000005;WIN_4min_2026_2026.csv;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\004_4_MIN\win\WIN_4min_2026_2026.csv;REPROVADO;PENDENTE;ALTA;LACUNA_CANDLE_AUSENTE;Lacuna de 0.08 horas entre 22/01/2026 12:40:00 e 22/01/2026 12:45:00. Possível candle ausente dentro da sequência temporal.;ZE_DO_EUCRAZIO;REGENERAR_FRACTAL_A_PARTIR_DO_1_MIN;BERNARDO_LOCALIZAR_ORIGEM -> ZE_REGENERAR_FRACTAL -> FISCAL_RECERTIFICAR;NEGADA;18/06/2026 19:06:43;v4.2
FT-20260618-000006;WIN_4min_2026_2026.csv;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\004_4_MIN\win\WIN_4min_2026_2026.csv;REPROVADO;PENDENTE;ALTA;LACUNA_CANDLE_AUSENTE;Lacuna de 0.12 horas entre 26/01/2026 11:28:00 e 26/01/2026 11:35:00. Possível candle ausente dentro da sequência temporal.;ZE_DO_EUCRAZIO;REGENERAR_FRACTAL_A_PARTIR_DO_1_MIN;BERNARDO_LOCALIZAR_ORIGEM -> ZE_REGENERAR_FRACTAL -> FISCAL_RECERTIFICAR;NEGADA;18/06/2026 19:06:43;v4.2
FT-20260618-000007;WIN_5min_2025_2026.csv;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\005_5_MIN\win\WIN_5min_2025_2026.csv;REPROVADO;PENDENTE;ALTA;LACUNA_CANDLE_AUSENTE;Lacuna de 0.92 horas entre 03/06/2025 09:00:00 e 03/06/2025 09:55:00. Possível candle ausente dentro da sequência temporal.;ZE_DO_EUCRAZIO;REGENERAR_FRACTAL_A_PARTIR_DO_1_MIN;BERNARDO_LOCALIZAR_ORIGEM -> ZE_REGENERAR_FRACTAL -> FISCAL_RECERTIFICAR;NEGADA;18/06/2026 19:06:45;v4.2
FT-20260618-000008;WIN_5min_2025_2026.csv;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\005_5_MIN\win\WIN_5min_2025_2026.csv;REPROVADO;PENDENTE;ALTA;LACUNA_CANDLE_AUSENTE;Lacuna de 1.17 horas entre 21/08/2025 09:15:00 e 21/08/2025 10:25:00. Possível candle ausente dentro da sequência temporal.;ZE_DO_EUCRAZIO;REGENERAR_FRACTAL_A_PARTIR_DO_1_MIN;BERNARDO_LOCALIZAR_ORIGEM -> ZE_REGENERAR_FRACTAL -> FISCAL_RECERTIFICAR;NEGADA;18/06/2026 19:06:45;v4.2
FT-20260618-000009;WIN_5min_2026_2026.csv;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\005_5_MIN\win\WIN_5min_2026_2026.csv;REPROVADO;PENDENTE;ALTA;LACUNA_CANDLE_AUSENTE;Lacuna de 0.10 horas entre 22/01/2026 12:40:00 e 22/01/2026 12:46:00. Possível candle ausente dentro da sequência temporal.;ZE_DO_EUCRAZIO;REGENERAR_FRACTAL_A_PARTIR_DO_1_MIN;BERNARDO_LOCALIZAR_ORIGEM -> ZE_REGENERAR_FRACTAL -> FISCAL_RECERTIFICAR;NEGADA;18/06/2026 19:06:45;v4.2
FT-20260618-000010;WIN_5min_2026_2026.csv;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\005_5_MIN\win\WIN_5min_2026_2026.csv;REPROVADO;PENDENTE;ALTA;LACUNA_CANDLE_AUSENTE;Lacuna de 0.13 horas entre 26/01/2026 11:30:00 e 26/01/2026 11:38:00. Possível candle ausente dentro da sequência temporal.;ZE_DO_EUCRAZIO;REGENERAR_FRACTAL_A_PARTIR_DO_1_MIN;BERNARDO_LOCALIZAR_ORIGEM -> ZE_REGENERAR_FRACTAL -> FISCAL_RECERTIFICAR;NEGADA;18/06/2026 19:06:45;v4.2
