arquivo;pasta;tipo_fractal;fractal_minutos;status;maior_criticidade;motivos;responsavel;acao_recomendada;linhas;colunas;data_inicio;data_fim;ordem_temporal;timestamps_invalidos;duplicados;lacunas;ohlc_status;ohlc_problemas;volume_status;volume_negativo
WDO_1min_2025_2026.csv;001_1_MIN;INTRADAY;1;CERTIFICADO;NENHUMA;NENHUM;NENHUM;NENHUMA;37435;9;25/09/2025 11:55:00;30/12/2025 18:28:00;DECRESCENTE;0;0;0;NAO_VERIFICADO;0;NAO_VERIFICADO;0
WDO_1min_2026_2026.csv;001_1_MIN;INTRADAY;1;CERTIFICADO;NENHUMA;NENHUM;NENHUM;NENHUMA;59603;9;02/01/2026 09:03:00;05/06/2026 18:28:00;DECRESCENTE;0;0;0;NAO_VERIFICADO;0;NAO_VERIFICADO;0
WIN_1min_2026_2026.csv;001_1_MIN;INTRADAY;1;REPROVADO;ALTA;LACUNA_CANDLE_AUSENTE;ZE_DO_EUCRAZIO;REGENERAR_FRACTAL_A_PARTIR_DO_1_MIN;51485;9;21/01/2026 11:46:00;05/06/2026 18:23:00;DECRESCENTE;0;0;3;NAO_VERIFICADO;0;NAO_VERIFICADO;0
WIN_2min_2026_2026.csv;002_2_MIN;INTRADAY;2;REPROVADO;ALTA;LACUNA_CANDLE_AUSENTE;ZE_DO_EUCRAZIO;REGENERAR_FRACTAL_A_PARTIR_DO_1_MIN;25800;15;21/01/2026 11:48:00;05/06/2026 18:24:00;CRESCENTE;0;0;1;NAO_VERIFICADO;0;NAO_VERIFICADO;0
WIN_3min_2026_2026.csv;003_3_MIN;INTRADAY;3;CERTIFICADO;NENHUMA;NENHUM;NENHUM;NENHUMA;17231;15;21/01/2026 11:48:00;05/06/2026 18:24:00;CRESCENTE;0;0;0;NAO_VERIFICADO;0;NAO_VERIFICADO;0
WIN_4min_2026_2026.csv;004_4_MIN;INTRADAY;4;REPROVADO;ALTA;LACUNA_CANDLE_AUSENTE;ZE_DO_EUCRAZIO;REGENERAR_FRACTAL_A_PARTIR_DO_1_MIN;12929;21;21/01/2026 11:46:00;05/06/2026 18:24:00;CRESCENTE;0;0;2;OK;0;OK;0
WDO_5min_2023_2024.csv;005_5_MIN;INTRADAY;5;CERTIFICADO;NENHUMA;NENHUM;NENHUM;NENHUMA;9150;9;29/08/2023 11:50:00;28/12/2023 18:20:00;DECRESCENTE;0;0;0;NAO_VERIFICADO;0;NAO_VERIFICADO;0
WDO_5min_2024_2025.csv;005_5_MIN;INTRADAY;5;CERTIFICADO;NENHUMA;NENHUM;NENHUM;NENHUMA;28553;9;02/01/2024 09:00:00;30/12/2024 18:20:00;DECRESCENTE;0;0;0;NAO_VERIFICADO;0;NAO_VERIFICADO;0
WDO_5min_2025_2026.csv;005_5_MIN;INTRADAY;5;CERTIFICADO;NENHUMA;NENHUM;NENHUM;NENHUMA;28450;9;02/01/2025 09:00:00;30/12/2025 18:20:00;DECRESCENTE;0;0;0;NAO_VERIFICADO;0;NAO_VERIFICADO;0
WDO_5min_2026_2026.csv;005_5_MIN;INTRADAY;5;CERTIFICADO;NENHUMA;NENHUM;NENHUM;NENHUMA;11921;9;02/01/2026 09:00:00;05/06/2026 18:20:00;DECRESCENTE;0;0;0;NAO_VERIFICADO;0;NAO_VERIFICADO;0
