id_ocorrencia;evento;arquivo;responsavel;status_ordem;criticidade;motivo;data_evento;fiscal_temporal
FT-20260626-017823;CONTEXTO_REGISTRADO;WDO_1min_2025_2026.csv;CALENDARIO_B3;PENDENTE;INFORMATIVA;LACUNA_LONGA_ENTRE_SESSOES;26/06/2026 11:35:58;v4.2.2
FT-20260626-017824;CONTEXTO_REGISTRADO;WDO_1min_2026_2026.csv;CALENDARIO_B3;PENDENTE;INFORMATIVA;LACUNA_LONGA_ENTRE_SESSOES;26/06/2026 11:35:58;v4.2.2
FT-20260626-017825;CONTEXTO_REGISTRADO;WINFUT_F_0_1min.csv;EVENTO_MERCADO;PENDENTE;INFORMATIVA;CANDLE_INEXISTENTE_POR_LEILAO;26/06/2026 11:35:58;v4.2.2
FT-20260626-017826;CONTEXTO_REGISTRADO;WINFUT_F_0_1min.csv;EVENTO_MERCADO;PENDENTE;INFORMATIVA;CANDLE_INEXISTENTE_POR_LEILAO;26/06/2026 11:35:58;v4.2.2
FT-20260626-017827;CONTEXTO_REGISTRADO;WINFUT_F_0_1min.csv;EVENTO_MERCADO;PENDENTE;INFORMATIVA;CANDLE_INEXISTENTE_POR_LEILAO;26/06/2026 11:35:58;v4.2.2
FT-20260626-017828;CONTEXTO_REGISTRADO;WINFUT_F_0_1min.csv;CALENDARIO_B3;PENDENTE;INFORMATIVA;LACUNA_LONGA_ENTRE_SESSOES;26/06/2026 11:35:58;v4.2.2
FT-20260626-017829;CONTEXTO_REGISTRADO;WIN_1min_2026_2026.csv;EVENTO_MERCADO;PENDENTE;INFORMATIVA;CANDLE_INEXISTENTE_POR_LEILAO;26/06/2026 11:35:58;v4.2.2
FT-20260626-017830;CONTEXTO_REGISTRADO;WIN_1min_2026_2026.csv;EVENTO_MERCADO;PENDENTE;INFORMATIVA;CANDLE_INEXISTENTE_POR_LEILAO;26/06/2026 11:35:58;v4.2.2
FT-20260626-017831;CONTEXTO_REGISTRADO;WIN_1min_2026_2026.csv;EVENTO_MERCADO;PENDENTE;INFORMATIVA;CANDLE_INEXISTENTE_POR_LEILAO;26/06/2026 11:35:58;v4.2.2
FT-20260626-017832;CONTEXTO_REGISTRADO;WIN_1min_2026_2026.csv;CALENDARIO_B3;PENDENTE;INFORMATIVA;LACUNA_LONGA_ENTRE_SESSOES;26/06/2026 11:35:58;v4.2.2
FT-20260626-017833;CONTEXTO_REGISTRADO;WIN_2min_2026_2026.csv;EVENTO_MERCADO;PENDENTE;INFORMATIVA;LACUNA_HERDADA_JUSTIFICADA_POR_LEILAO;26/06/2026 11:35:58;v4.2.2
FT-20260626-017834;CONTEXTO_REGISTRADO;WIN_2min_2026_2026.csv;CALENDARIO_B3;PENDENTE;INFORMATIVA;LACUNA_LONGA_ENTRE_SESSOES;26/06/2026 11:35:58;v4.2.2
FT-20260626-017835;CONTEXTO_REGISTRADO;WIN_3min_2026_2026.csv;CALENDARIO_B3;PENDENTE;INFORMATIVA;LACUNA_LONGA_ENTRE_SESSOES;26/06/2026 11:35:58;v4.2.2
FT-20260626-017836;CONTEXTO_REGISTRADO;WIN_4min_2026_2026.csv;EVENTO_MERCADO;PENDENTE;INFORMATIVA;LACUNA_HERDADA_JUSTIFICADA_POR_LEILAO;26/06/2026 11:35:58;v4.2.2
FT-20260626-017837;CONTEXTO_REGISTRADO;WIN_4min_2026_2026.csv;EVENTO_MERCADO;PENDENTE;INFORMATIVA;LACUNA_HERDADA_JUSTIFICADA_POR_LEILAO;26/06/2026 11:35:58;v4.2.2
FT-20260626-017838;CONTEXTO_REGISTRADO;WIN_4min_2026_2026.csv;CALENDARIO_B3;PENDENTE;INFORMATIVA;LACUNA_LONGA_ENTRE_SESSOES;26/06/2026 11:35:58;v4.2.2
FT-20260626-017839;CONTEXTO_REGISTRADO;WDO_5min_2023_2024.csv;CALENDARIO_B3;PENDENTE;INFORMATIVA;LACUNA_LONGA_ENTRE_SESSOES;26/06/2026 11:35:58;v4.2.2
FT-20260626-017840;CONTEXTO_REGISTRADO;WDO_5min_2024_2025.csv;CALENDARIO_B3;PENDENTE;INFORMATIVA;LACUNA_LONGA_ENTRE_SESSOES;26/06/2026 11:35:58;v4.2.2
FT-20260626-017841;CONTEXTO_REGISTRADO;WDO_5min_2025_2026.csv;CALENDARIO_B3;PENDENTE;INFORMATIVA;LACUNA_LONGA_ENTRE_SESSOES;26/06/2026 11:35:58;v4.2.2
FT-20260626-017842;CONTEXTO_REGISTRADO;WDO_5min_2026_2026.csv;CALENDARIO_B3;PENDENTE;INFORMATIVA;LACUNA_LONGA_ENTRE_SESSOES;26/06/2026 11:35:58;v4.2.2
FT-20260626-017843;CONTEXTO_REGISTRADO;WIN_5min_2023_2024.csv;CALENDARIO_B3;PENDENTE;INFORMATIVA;LACUNA_LONGA_ENTRE_SESSOES;26/06/2026 11:35:58;v4.2.2
FT-20260626-017844;CONTEXTO_REGISTRADO;WIN_5min_2024_2025.csv;CALENDARIO_B3;PENDENTE;INFORMATIVA;LACUNA_LONGA_ENTRE_SESSOES;26/06/2026 11:35:58;v4.2.2
FT-20260626-017845;ORDEM_EMITIDA;WIN_5min_2025_2026.csv;ZE_DO_EUCRAZIO;PENDENTE;ALTA;LACUNA_CANDLE_AUSENTE;26/06/2026 11:35:58;v4.2.2
FT-20260626-017846;ORDEM_EMITIDA;WIN_5min_2025_2026.csv;ZE_DO_EUCRAZIO;PENDENTE;ALTA;LACUNA_CANDLE_AUSENTE;26/06/2026 11:35:58;v4.2.2
FT-20260626-017847;CONTEXTO_REGISTRADO;WIN_5min_2025_2026.csv;CALENDARIO_B3;PENDENTE;INFORMATIVA;LACUNA_LONGA_ENTRE_SESSOES;26/06/2026 11:35:58;v4.2.2
FT-20260626-017848;CONTEXTO_REGISTRADO;WIN_5min_2026_2026 (2).csv;CALENDARIO_B3;PENDENTE;INFORMATIVA;LACUNA_LONGA_ENTRE_SESSOES;26/06/2026 11:35:58;v4.2.2
FT-20260626-017849;CONTEXTO_REGISTRADO;WIN_5min_2026_2026.csv;EVENTO_MERCADO;PENDENTE;INFORMATIVA;LACUNA_HERDADA_JUSTIFICADA_POR_LEILAO;26/06/2026 11:35:58;v4.2.2
FT-20260626-017850;CONTEXTO_REGISTRADO;WIN_5min_2026_2026.csv;EVENTO_MERCADO;PENDENTE;INFORMATIVA;LACUNA_HERDADA_JUSTIFICADA_POR_LEILAO;26/06/2026 11:35:58;v4.2.2
FT-20260626-017851;CONTEXTO_REGISTRADO;WIN_5min_2026_2026.csv;CALENDARIO_B3;PENDENTE;INFORMATIVA;LACUNA_LONGA_ENTRE_SESSOES;26/06/2026 11:35:58;v4.2.2
FT-20260626-017852;CONTEXTO_REGISTRADO;WIN_6min_2026_2026.csv;EVENTO_MERCADO;PENDENTE;INFORMATIVA;LACUNA_HERDADA_JUSTIFICADA_POR_LEILAO;26/06/2026 11:35:58;v4.2.2
FT-20260626-017853;CONTEXTO_REGISTRADO;WIN_6min_2026_2026.csv;EVENTO_MERCADO;PENDENTE;INFORMATIVA;LACUNA_HERDADA_JUSTIFICADA_POR_LEILAO;26/06/2026 11:35:58;v4.2.2
FT-20260626-017854;CONTEXTO_REGISTRADO;WIN_6min_2026_2026.csv;CALENDARIO_B3;PENDENTE;INFORMATIVA;LACUNA_LONGA_ENTRE_SESSOES;26/06/2026 11:35:58;v4.2.2
FT-20260626-017855;CONTEXTO_REGISTRADO;WIN_7min_2026_2026.csv;EVENTO_MERCADO;PENDENTE;INFORMATIVA;LACUNA_HERDADA_JUSTIFICADA_POR_LEILAO;26/06/2026 11:35:58;v4.2.2
FT-20260626-017856;CONTEXTO_REGISTRADO;WIN_7min_2026_2026.csv;EVENTO_MERCADO;PENDENTE;INFORMATIVA;LACUNA_HERDADA_JUSTIFICADA_POR_LEILAO;26/06/2026 11:35:58;v4.2.2
FT-20260626-017857;CONTEXTO_REGISTRADO;WIN_7min_2026_2026.csv;CALENDARIO_B3;PENDENTE;INFORMATIVA;LACUNA_LONGA_ENTRE_SESSOES;26/06/2026 11:35:58;v4.2.2
FT-20260626-017858;CONTEXTO_REGISTRADO;WIN_8min_2026_2026.csv;EVENTO_MERCADO;PENDENTE;INFORMATIVA;LACUNA_HERDADA_JUSTIFICADA_POR_LEILAO;26/06/2026 11:35:58;v4.2.2
FT-20260626-017859;CONTEXTO_REGISTRADO;WIN_8min_2026_2026.csv;EVENTO_MERCADO;PENDENTE;INFORMATIVA;LACUNA_HERDADA_JUSTIFICADA_POR_LEILAO;26/06/2026 11:35:58;v4.2.2
FT-20260626-017860;CONTEXTO_REGISTRADO;WIN_8min_2026_2026.csv;CALENDARIO_B3;PENDENTE;INFORMATIVA;LACUNA_LONGA_ENTRE_SESSOES;26/06/2026 11:35:58;v4.2.2
FT-20260626-017861;CONTEXTO_REGISTRADO;WIN_9min_2026_2026.csv;EVENTO_MERCADO;PENDENTE;INFORMATIVA;LACUNA_HERDADA_JUSTIFICADA_POR_LEILAO;26/06/2026 11:35:58;v4.2.2
FT-20260626-017862;CONTEXTO_REGISTRADO;WIN_9min_2026_2026.csv;EVENTO_MERCADO;PENDENTE;INFORMATIVA;LACUNA_HERDADA_JUSTIFICADA_POR_LEILAO;26/06/2026 11:35:58;v4.2.2
FT-20260626-017863;CONTEXTO_REGISTRADO;WIN_9min_2026_2026.csv;CALENDARIO_B3;PENDENTE;INFORMATIVA;LACUNA_LONGA_ENTRE_SESSOES;26/06/2026 11:35:58;v4.2.2
FT-20260626-017864;CONTEXTO_REGISTRADO;WDO_10min2022_2023.csv;CALENDARIO_B3;PENDENTE;INFORMATIVA;LACUNA_LONGA_ENTRE_SESSOES;26/06/2026 11:35:58;v4.2.2
FT-20260626-017865;CONTEXTO_REGISTRADO;WDO_10min_2023_2024.csv;CALENDARIO_B3;PENDENTE;INFORMATIVA;LACUNA_LONGA_ENTRE_SESSOES;26/06/2026 11:35:58;v4.2.2
FT-20260626-017866;CONTEXTO_REGISTRADO;WDO_10min_2024_2025.csv;CALENDARIO_B3;PENDENTE;INFORMATIVA;LACUNA_LONGA_ENTRE_SESSOES;26/06/2026 11:35:58;v4.2.2
FT-20260626-017867;CONTEXTO_REGISTRADO;WDO_10min_2025_2026.csv;CALENDARIO_B3;PENDENTE;INFORMATIVA;LACUNA_LONGA_ENTRE_SESSOES;26/06/2026 11:35:58;v4.2.2
FT-20260626-017868;CONTEXTO_REGISTRADO;WDO_10min_2026_2026.csv;CALENDARIO_B3;PENDENTE;INFORMATIVA;LACUNA_LONGA_ENTRE_SESSOES;26/06/2026 11:35:58;v4.2.2
FT-20260626-017869;CONTEXTO_REGISTRADO;WIN_10min_2022_2023.csv;CALENDARIO_B3;PENDENTE;INFORMATIVA;LACUNA_LONGA_ENTRE_SESSOES;26/06/2026 11:35:58;v4.2.2
FT-20260626-017870;CONTEXTO_REGISTRADO;WIN_10min_2023_2024.csv;CALENDARIO_B3;PENDENTE;INFORMATIVA;LACUNA_LONGA_ENTRE_SESSOES;26/06/2026 11:35:58;v4.2.2
FT-20260626-017871;CONTEXTO_REGISTRADO;WIN_10min_2024_2025.csv;CALENDARIO_B3;PENDENTE;INFORMATIVA;LACUNA_LONGA_ENTRE_SESSOES;26/06/2026 11:35:58;v4.2.2
FT-20260626-017872;ORDEM_EMITIDA;WIN_10min_2025_2026.csv;ZE_DO_EUCRAZIO;PENDENTE;ALTA;LACUNA_CANDLE_AUSENTE;26/06/2026 11:35:58;v4.2.2
FT-20260626-017873;ORDEM_EMITIDA;WIN_10min_2025_2026.csv;ZE_DO_EUCRAZIO;PENDENTE;ALTA;LACUNA_CANDLE_AUSENTE;26/06/2026 11:35:58;v4.2.2
FT-20260626-017874;CONTEXTO_REGISTRADO;WIN_10min_2025_2026.csv;CALENDARIO_B3;PENDENTE;INFORMATIVA;LACUNA_LONGA_ENTRE_SESSOES;26/06/2026 11:35:58;v4.2.2
FT-20260626-017875;CONTEXTO_REGISTRADO;WIN_10min_2026_2026 (2).csv;EVENTO_MERCADO;PENDENTE;INFORMATIVA;LACUNA_HERDADA_JUSTIFICADA_POR_LEILAO;26/06/2026 11:35:58;v4.2.2
FT-20260626-017876;CONTEXTO_REGISTRADO;WIN_10min_2026_2026 (2).csv;EVENTO_MERCADO;PENDENTE;INFORMATIVA;LACUNA_HERDADA_JUSTIFICADA_POR_LEILAO;26/06/2026 11:35:58;v4.2.2
FT-20260626-017877;CONTEXTO_REGISTRADO;WIN_10min_2026_2026 (2).csv;CALENDARIO_B3;PENDENTE;INFORMATIVA;LACUNA_LONGA_ENTRE_SESSOES;26/06/2026 11:35:58;v4.2.2
FT-20260626-017878;CONTEXTO_REGISTRADO;WIN_10min_2026_2026.csv;CALENDARIO_B3;PENDENTE;INFORMATIVA;LACUNA_LONGA_ENTRE_SESSOES;26/06/2026 11:35:58;v4.2.2
FT-20260626-017879;CONTEXTO_REGISTRADO;WIN_12min_2026_2026.csv;EVENTO_MERCADO;PENDENTE;INFORMATIVA;LACUNA_HERDADA_JUSTIFICADA_POR_LEILAO;26/06/2026 11:35:58;v4.2.2
FT-20260626-017880;CONTEXTO_REGISTRADO;WIN_12min_2026_2026.csv;EVENTO_MERCADO;PENDENTE;INFORMATIVA;LACUNA_HERDADA_JUSTIFICADA_POR_LEILAO;26/06/2026 11:35:58;v4.2.2
FT-20260626-017881;CONTEXTO_REGISTRADO;WIN_12min_2026_2026.csv;CALENDARIO_B3;PENDENTE;INFORMATIVA;LACUNA_LONGA_ENTRE_SESSOES;26/06/2026 11:35:58;v4.2.2
