ativo;fractal;arquivo;data_inicio;data_fim;anos_cobertos;linhas;status
DESCONHECIDO;DESCONHECIDO;contexto_historiador.csv;18/06/2026;18/06/2026;2026;6;ALERTA
DESCONHECIDO;DESCONHECIDO;auditoria_pastas_temporais_20260612_215249.csv;N/D;N/D;N/D;25;ALERTA
DESCONHECIDO;DESCONHECIDO;auditoria_pastas_temporais_20260612_215919.csv;N/D;N/D;N/D;24;ALERTA
DESCONHECIDO;DESCONHECIDO;auditoria_pastas_temporais_20260613_211018.csv;N/D;N/D;N/D;24;ALERTA
DESCONHECIDO;DESCONHECIDO;duplicidades_fractais_20260612_200451.csv;N/D;N/D;N/D;40;ALERTA
DESCONHECIDO;DESCONHECIDO;duplicidades_fractais_20260612_200734.csv;N/D;N/D;N/D;21;ALERTA
DESCONHECIDO;DESCONHECIDO;duplicidades_fractais_20260612_203011.csv;N/D;N/D;N/D;21;ALERTA
DESCONHECIDO;DESCONHECIDO;duplicidades_fractais_20260612_204049.csv;N/D;N/D;N/D;21;ALERTA
DESCONHECIDO;DESCONHECIDO;duplicidades_fractais_20260612_204345.csv;N/D;N/D;N/D;21;ALERTA
DESCONHECIDO;DESCONHECIDO;duplicidades_fractais_20260612_210109.csv;N/D;N/D;N/D;21;ALERTA
DESCONHECIDO;DESCONHECIDO;duplicidades_fractais_20260612_210609.csv;N/D;N/D;N/D;21;ALERTA
DESCONHECIDO;DESCONHECIDO;alertas_temporais.csv;N/D;N/D;N/D;45;ALERTA
DESCONHECIDO;DESCONHECIDO;certificado_sha256.csv;N/D;N/D;N/D;121;ALERTA
DESCONHECIDO;DESCONHECIDO;certificado_temporal.csv;N/D;N/D;N/D;121;ALERTA
DESCONHECIDO;DESCONHECIDO;ordens_operador.csv;N/D;N/D;N/D;0;ALERTA
DESCONHECIDO;DESCONHECIDO;ordens_para_bernardo.csv;N/D;N/D;N/D;7;ALERTA
DESCONHECIDO;DESCONHECIDO;ordens_para_ze.csv;N/D;N/D;N/D;39;ALERTA
DESCONHECIDO;DESCONHECIDO;registro_protocolos_fiscal.csv;N/D;N/D;N/D;45;ALERTA
DESCONHECIDO;DESCONHECIDO;resumo_por_arquivo.csv;N/D;N/D;N/D;121;ALERTA
DESCONHECIDO;DESCONHECIDO;resumo_por_motivo.csv;N/D;N/D;N/D;3;ALERTA
DESCONHECIDO;DESCONHECIDO;trilha_auditoria_temporal.csv;N/D;N/D;N/D;45;ALERTA
DESCONHECIDO;DESCONHECIDO;catalogo_padroes_historiador.csv;N/D;N/D;N/D;7;ALERTA
DESCONHECIDO;DESCONHECIDO;cobertura_temporal.csv;N/D;N/D;N/D;163;ALERTA
DESCONHECIDO;DESCONHECIDO;distribuicao_fractais.csv;N/D;N/D;N/D;24;ALERTA
DESCONHECIDO;DESCONHECIDO;estatistica_biblioteca.csv;N/D;N/D;N/D;32;ALERTA
DESCONHECIDO;DESCONHECIDO;estatistica_delta.csv;N/D;N/D;N/D;32;ALERTA
DESCONHECIDO;DESCONHECIDO;estatistica_volume.csv;N/D;N/D;N/D;32;ALERTA
WDO;10_MIN;WDO_10min_2023_2024.csv;02/01/2023;28/12/2023;2023;13622;OK
WDO;10_MIN;WDO_10min_2024_2025.csv;02/01/2024;30/12/2024;2024;14278;OK
WDO;10_MIN;WDO_10min_2025_2026.csv;02/01/2025;30/12/2025;2025;14226;OK
WDO;10_MIN;WDO_10min_2026_2026.csv;02/01/2026;05/06/2026;2026;5961;OK
WDO;10_MIN;WDO_10min2022_2023.csv;11/11/2022;29/12/2022;2022;1913;OK
WDO;15_MIN;WDO_15min_2024_2026.csv;02/01/2024;30/12/2025;2024,2025;19003;OK
WDO;15_MIN;WDO_15min_2026_2026.csv;02/01/2026;05/06/2026;2026;3974;OK
WDO;15_MIN;WDO_15min_2022_2024.csv;03/01/2022;28/12/2023;2022,2023;18238;OK
WDO;15_MIN;WDO_15min_2020_2022.csv;24/09/2020;30/12/2021;2020,2021;11481;OK
WDO;1_MIN;WDO_1min_2026_2026.csv;02/01/2026;05/06/2026;2026;59604;OK
WDO;1_MIN;WDO_1min_2025_2026.csv;25/09/2025;30/12/2025;2025;37436;OK
WDO;30_MIN;WDO_30min_2018_2020.csv;02/01/2018;30/12/2019;2018,2019;9022;OK
WDO;30_MIN;WDO_30min_2020_2022.csv;02/01/2020;30/12/2021;2020,2021;9080;OK
WDO;30_MIN;WDO_30min_2024_2026.csv;02/01/2024;30/12/2025;2024,2025;9502;OK
WDO;30_MIN;WDO_30min_2026_2026.csv;02/01/2026;05/06/2026;2026;1987;OK
WDO;30_MIN;WDO_30min_2022_2024.csv;03/01/2022;28/12/2023;2022,2023;9119;OK
WDO;30_MIN;WDO_30min_2016_2018.csv;04/01/2016;28/12/2017;2016,2017;7624;OK
WDO;30_MIN;WDO_30min_2014_2016.csv;05/03/2015;30/12/2015;2015;3666;OK
WDO;5_MIN;WDO_5min_2024_2025.csv;02/01/2024;30/12/2024;2024;28554;OK
WDO;5_MIN;WDO_5min_2025_2026.csv;02/01/2025;30/12/2025;2025;28451;OK
