fractal;ativos;arquivos;linhas_total;status_ok;status_alerta
10_MIN;WDO,WIN;12;105297;12;0
120_MIN;WIN;4;1102;3;1
12_MIN;WIN;2;4442;2;0
15_MIN;WDO,WIN;10;112280;10;0
180_MIN;WIN;4;918;3;1
1_MIN;WDO,WIN;3;148526;3;0
20_MIN;WIN;2;2741;2;0
240_MIN;WIN;4;736;3;1
2_MIN;WIN;1;25801;1;0
30_MIN;WDO,WIN;16;105312;16;0
3_MIN;WIN;1;17232;1;0
45_MIN;WIN;2;1281;2;0
4_MIN;WIN;2;13022;2;0
5_MIN;WDO,WIN;10;166348;10;0
60_MIN;WDO,WIN;18;66200;18;0
6_MIN;WIN;2;8732;2;0
7_MIN;WIN;3;7580;2;1
8_MIN;WIN;2;6575;2;0
90_MIN;WIN;2;733;2;0
9_MIN;WIN;2;5846;2;0
DESCONHECIDO;DESCONHECIDO;27;1082;0;27
DIARIO;WDO,WIN;27;10433;27;0
SEMANAL;WDO,WIN;23;2074;23;0
