ativo;fractal;arquivos;linhas_total;tamanho_total_mb;data_inicio;data_fim;alertas;erros;confiabilidade_media
DESCONHECIDO;DESCONHECIDO;10;239;0.015;N/D;N/D;10;0;70.0
WDO;10_MIN;5;50000;3.763;11/11/2022;05/06/2026;0;0;100.0
WDO;15_MIN;4;52696;3.989;24/09/2020;05/06/2026;0;0;100.0
WDO;1_MIN;2;97040;7.095;25/09/2025;05/06/2026;0;0;100.0
WDO;30_MIN;7;50000;3.788;05/03/2015;05/06/2026;0;0;100.0
WDO;5_MIN;4;78078;5.831;29/08/2023;05/06/2026;0;0;100.0
WDO;60_MIN;8;32648;2.471;02/01/2014;05/06/2026;0;0;100.0
WDO;DIARIO;13;4970;0.333;17/05/2005;05/06/2026;0;0;98.0
WDO;SEMANAL;10;890;0.061;17/05/2005;01/06/2026;0;0;100.0
WIN;10_MIN;7;55297;5.171;11/11/2022;05/06/2026;0;0;99.71
WIN;120_MIN;4;1102;0.191;21/01/2026;05/06/2026;1;0;91.0
WIN;12_MIN;2;4442;0.809;21/01/2026;05/06/2026;0;0;98.0
WIN;15_MIN;6;59584;5.383;15/05/2020;05/06/2026;0;0;99.67
WIN;180_MIN;4;918;0.157;21/01/2026;05/06/2026;1;0;91.0
WIN;1_MIN;1;51486;4.244;21/01/2026;05/06/2026;0;0;100.0
WIN;20_MIN;2;2741;0.501;21/01/2026;05/06/2026;0;0;98.0
WIN;240_MIN;4;736;0.123;21/01/2026;05/06/2026;1;0;91.0
WIN;2_MIN;1;25801;2.878;21/01/2026;05/06/2026;0;0;98.0
WIN;30_MIN;9;55312;4.796;14/06/2012;05/06/2026;0;0;99.78
WIN;3_MIN;1;17232;1.927;21/01/2026;05/06/2026;0;0;98.0
WIN;45_MIN;2;1281;0.235;21/01/2026;05/06/2026;0;0;98.0
WIN;4_MIN;2;13022;2.332;21/01/2026;05/06/2026;0;0;98.0
WIN;5_MIN;6;88270;8.368;22/08/2023;05/06/2026;0;0;99.67
WIN;60_MIN;10;33552;2.921;18/04/2012;05/06/2026;0;0;99.8
WIN;6_MIN;2;8732;1.568;21/01/2026;05/06/2026;0;0;98.0
WIN;7_MIN;3;7580;1.35;21/01/2026;05/06/2026;1;0;88.67
WIN;8_MIN;2;6575;1.183;21/01/2026;05/06/2026;0;0;98.0
WIN;90_MIN;2;733;0.135;21/01/2026;05/06/2026;0;0;98.0
WIN;9_MIN;2;5846;1.053;21/01/2026;05/06/2026;0;0;98.0
WIN;DIARIO;14;5463;0.41;17/05/2005;05/06/2026;0;0;98.0
WIN;SEMANAL;13;1184;0.088;17/05/2005;01/06/2026;0;0;100.0
