ativo;fractal;arquivos;linhas_total;delta_medio_disponivel;observacao
DESCONHECIDO;DESCONHECIDO;10;239;N/D;Delta detalhado exige leitura dos CSV historicos na v1.1
WDO;10_MIN;5;50000;N/D;Delta detalhado exige leitura dos CSV historicos na v1.1
WDO;15_MIN;4;52696;N/D;Delta detalhado exige leitura dos CSV historicos na v1.1
WDO;1_MIN;2;97040;N/D;Delta detalhado exige leitura dos CSV historicos na v1.1
WDO;30_MIN;7;50000;N/D;Delta detalhado exige leitura dos CSV historicos na v1.1
WDO;5_MIN;4;78078;N/D;Delta detalhado exige leitura dos CSV historicos na v1.1
WDO;60_MIN;8;32648;N/D;Delta detalhado exige leitura dos CSV historicos na v1.1
WDO;DIARIO;13;4970;N/D;Delta detalhado exige leitura dos CSV historicos na v1.1
WDO;SEMANAL;10;890;N/D;Delta detalhado exige leitura dos CSV historicos na v1.1
WIN;10_MIN;7;55297;N/D;Delta detalhado exige leitura dos CSV historicos na v1.1
WIN;120_MIN;4;1102;N/D;Delta detalhado exige leitura dos CSV historicos na v1.1
WIN;12_MIN;2;4442;N/D;Delta detalhado exige leitura dos CSV historicos na v1.1
WIN;15_MIN;6;59584;N/D;Delta detalhado exige leitura dos CSV historicos na v1.1
WIN;180_MIN;4;918;N/D;Delta detalhado exige leitura dos CSV historicos na v1.1
WIN;1_MIN;1;51486;N/D;Delta detalhado exige leitura dos CSV historicos na v1.1
WIN;20_MIN;2;2741;N/D;Delta detalhado exige leitura dos CSV historicos na v1.1
WIN;240_MIN;4;736;N/D;Delta detalhado exige leitura dos CSV historicos na v1.1
WIN;2_MIN;1;25801;N/D;Delta detalhado exige leitura dos CSV historicos na v1.1
WIN;30_MIN;9;55312;N/D;Delta detalhado exige leitura dos CSV historicos na v1.1
WIN;3_MIN;1;17232;N/D;Delta detalhado exige leitura dos CSV historicos na v1.1
WIN;45_MIN;2;1281;N/D;Delta detalhado exige leitura dos CSV historicos na v1.1
WIN;4_MIN;2;13022;N/D;Delta detalhado exige leitura dos CSV historicos na v1.1
WIN;5_MIN;6;88270;N/D;Delta detalhado exige leitura dos CSV historicos na v1.1
WIN;60_MIN;10;33552;N/D;Delta detalhado exige leitura dos CSV historicos na v1.1
WIN;6_MIN;2;8732;N/D;Delta detalhado exige leitura dos CSV historicos na v1.1
WIN;7_MIN;3;7580;N/D;Delta detalhado exige leitura dos CSV historicos na v1.1
WIN;8_MIN;2;6575;N/D;Delta detalhado exige leitura dos CSV historicos na v1.1
WIN;90_MIN;2;733;N/D;Delta detalhado exige leitura dos CSV historicos na v1.1
WIN;9_MIN;2;5846;N/D;Delta detalhado exige leitura dos CSV historicos na v1.1
WIN;DIARIO;14;5463;N/D;Delta detalhado exige leitura dos CSV historicos na v1.1
WIN;SEMANAL;13;1184;N/D;Delta detalhado exige leitura dos CSV historicos na v1.1
