ativo;fractal;arquivos;linhas_total;volume_medio_geral;observacao
DESCONHECIDO;DESCONHECIDO;10;239;N/D;Volume medio lido do indice Bernardo
WDO;10_MIN;5;50000;3065661058.63;Volume medio lido do indice Bernardo
WDO;15_MIN;4;52696;5174592215.12;Volume medio lido do indice Bernardo
WDO;1_MIN;2;97040;251048889.45;Volume medio lido do indice Bernardo
WDO;30_MIN;7;50000;6534840577.03;Volume medio lido do indice Bernardo
WDO;5_MIN;4;78078;1451851025.59;Volume medio lido do indice Bernardo
WDO;60_MIN;8;32648;11095444071.71;Volume medio lido do indice Bernardo
WDO;DIARIO;13;4970;1031584.67;Volume medio lido do indice Bernardo
WDO;SEMANAL;10;890;5254867.01;Volume medio lido do indice Bernardo
WIN;10_MIN;7;55297;9328870195.41;Volume medio lido do indice Bernardo
WIN;120_MIN;4;1102;N/D;Volume medio lido do indice Bernardo
WIN;12_MIN;2;4442;N/D;Volume medio lido do indice Bernardo
WIN;15_MIN;6;59584;15435019053.2;Volume medio lido do indice Bernardo
WIN;180_MIN;4;918;N/D;Volume medio lido do indice Bernardo
WIN;1_MIN;1;51486;1260530854.0;Volume medio lido do indice Bernardo
WIN;20_MIN;2;2741;N/D;Volume medio lido do indice Bernardo
WIN;240_MIN;4;736;N/D;Volume medio lido do indice Bernardo
WIN;2_MIN;1;25801;275083098203766.53;Volume medio lido do indice Bernardo
WIN;30_MIN;9;55312;15194831845.24;Volume medio lido do indice Bernardo
WIN;3_MIN;1;17232;112737897011573.3;Volume medio lido do indice Bernardo
WIN;45_MIN;2;1281;N/D;Volume medio lido do indice Bernardo
WIN;4_MIN;2;13022;N/D;Volume medio lido do indice Bernardo
WIN;5_MIN;6;88270;4799652360.02;Volume medio lido do indice Bernardo
WIN;60_MIN;10;33552;31785185106.42;Volume medio lido do indice Bernardo
WIN;6_MIN;2;8732;N/D;Volume medio lido do indice Bernardo
WIN;7_MIN;3;7580;N/D;Volume medio lido do indice Bernardo
WIN;8_MIN;2;6575;N/D;Volume medio lido do indice Bernardo
WIN;90_MIN;2;733;N/D;Volume medio lido do indice Bernardo
WIN;9_MIN;2;5846;N/D;Volume medio lido do indice Bernardo
WIN;DIARIO;14;5463;4311126.18;Volume medio lido do indice Bernardo
WIN;SEMANAL;13;1184;27117179.99;Volume medio lido do indice Bernardo
