ativo;data;hora;timestamp;timezone;sessao;fractal_minutos;status_candle;qtd_candles_origem;abertura;maximo;minimo;ultimo;volume;volume_quantidade;delta;saldo;agressao_compra;agressao_saldo;agressao_venda;vwap
WINFUT;21/01/2026;11:46:00;2026-01-21 11:46:00;America/Sao_Paulo;2026-01-21;240;COMPLETO;240;178616.85;179616.95;178080.34;179476.31;268565947634.2;7515244.0;0.0;0.0;0.0;0.0;0.0;178683.63387670502
WINFUT;21/01/2026;15:46:00;2026-01-21 15:46:00;America/Sao_Paulo;2026-01-21;240;PARCIAL;159;179471.1;181226.48;179439.85;180856.65;157786946122.55;4378699.0;0.0;0.0;0.0;0.0;0.0;180181.13554733238
WINFUT;22/01/2026;09:00:00;2026-01-22 09:00:00;America/Sao_Paulo;2026-01-22;240;COMPLETO;240;181038.96;187216.67;180591.0;186029.05;501169135226.5;13695729.0;0.0;0.0;0.0;0.0;0.0;182986.05813826423
WINFUT;22/01/2026;13:01:00;2026-01-22 13:01:00;America/Sao_Paulo;2026-01-22;240;COMPLETO;240;186029.05;186362.41;184403.89;184445.56;252904920579.7;6819080.0;0.0;0.0;0.0;0.0;0.0;185434.12122392844
WINFUT;22/01/2026;17:01:00;2026-01-22 17:01:00;America/Sao_Paulo;2026-01-22;240;PARCIAL;84;184450.76;185101.87;184200.74;184768.51;48119045854.29999;1303294.0;0.0;0.0;0.0;0.0;0.0;184603.6554987108
WINFUT;23/01/2026;09:00:00;2026-01-23 09:00:00;America/Sao_Paulo;2026-01-23;240;COMPLETO;240;185966.54;186862.46;184580.99;186435.34;425001361447.4;11455585.0;0.0;0.0;0.0;0.0;0.0;185500.74802016385
WINFUT;23/01/2026;13:00:00;2026-01-23 13:00:00;America/Sao_Paulo;2026-01-23;240;COMPLETO;240;186430.13;187451.07;185617.55;187164.58;225971768597.60004;6062078.0;0.0;0.0;0.0;0.0;0.0;186382.15040351514
WINFUT;23/01/2026;17:00:00;2026-01-23 17:00:00;America/Sao_Paulo;2026-01-23;240;PARCIAL;85;187164.58;189862.77;187055.19;188164.68;100344587910.95;2662004.0;0.0;0.0;0.0;0.0;0.0;188495.5576493627
WINFUT;26/01/2026;09:00:00;2026-01-26 09:00:00;America/Sao_Paulo;2026-01-26;240;COMPLETO;240;188664.73;191045.18;186617.65;187461.48;456669657055.89996;12140230.0;0.0;0.0;0.0;0.0;0.0;188110.60860978466
WINFUT;26/01/2026;13:03:00;2026-01-26 13:03:00;America/Sao_Paulo;2026-01-26;240;COMPLETO;240;187461.48;188326.15;186747.87;187336.47;205545289475.40002;5485139.0;0.0;0.0;0.0;0.0;0.0;187362.0376487982
WINFUT;26/01/2026;17:03:00;2026-01-26 17:03:00;America/Sao_Paulo;2026-01-26;240;PARCIAL;82;187336.47;188060.5;187253.13;187258.34;52137491112.6;1389063.0;0.0;0.0;0.0;0.0;0.0;187667.7750034638
WINFUT;27/01/2026;09:00:00;2026-01-27 09:00:00;America/Sao_Paulo;2026-01-27;240;COMPLETO;240;188935.59;192201.54;188841.83;191623.36;458049572050.8;12012561.0;0.0;0.0;0.0;0.0;0.0;190660.38820335505
WINFUT;27/01/2026;13:00:00;2026-01-27 13:00:00;America/Sao_Paulo;2026-01-27;240;COMPLETO;240;191623.36;192503.65;190685.76;191076.43;227458719970.6;5935978.0;0.0;0.0;0.0;0.0;0.0;191592.1730602067
WINFUT;27/01/2026;17:00:00;2026-01-27 17:00:00;America/Sao_Paulo;2026-01-27;240;PARCIAL;85;191076.43;191915.05;190368.02;190743.06;66577862159.49999;1740440.0;0.0;0.0;0.0;0.0;0.0;191265.80065281404
WINFUT;28/01/2026;09:00:00;2026-01-28 09:00:00;America/Sao_Paulo;2026-01-28;240;COMPLETO;240;192086.95;194248.62;191138.93;192675.55;458341901129.5;11893368.0;0.0;0.0;0.0;0.0;0.0;192691.03222282234
WINFUT;28/01/2026;13:00:00;2026-01-28 13:00:00;America/Sao_Paulo;2026-01-28;240;COMPLETO;240;192670.34;193165.18;191373.33;192357.81;247763963580.7;6436001.0;0.0;0.0;0.0;0.0;0.0;192485.18596377294
WINFUT;28/01/2026;17:00:00;2026-01-28 17:00:00;America/Sao_Paulo;2026-01-28;240;PARCIAL;85;192352.6;194081.94;192347.39;194081.94;69274789292.9;1792075.0;0.0;0.0;0.0;0.0;0.0;193299.4475689497
WINFUT;29/01/2026;09:00:00;2026-01-29 09:00:00;America/Sao_Paulo;2026-01-29;240;COMPLETO;240;195540.42;196665.53;190274.26;190586.8;494801350363.5;12730122.0;0.0;0.0;0.0;0.0;0.0;194326.319068858
WINFUT;29/01/2026;13:00:00;2026-01-29 13:00:00;America/Sao_Paulo;2026-01-29;240;COMPLETO;240;190586.8;192805.77;190524.29;191889.01;240203247509.90002;6260759.0;0.0;0.0;0.0;0.0;0.0;191826.64850314878
WINFUT;29/01/2026;17:00:00;2026-01-29 17:00:00;America/Sao_Paulo;2026-01-29;240;PARCIAL;85;191883.8;192623.46;191810.88;191935.89;49657366751.490005;1291606.0;0.0;0.0;0.0;0.0;0.0;192229.26742876146
WINFUT;30/01/2026;09:00:00;2026-01-30 09:00:00;America/Sao_Paulo;2026-01-30;240;COMPLETO;240;190852.45;192482.82;190425.32;191800.46;421248107845.4;10994974.0;0.0;0.0;0.0;0.0;0.0;191568.34462850195
WINFUT;30/01/2026;13:00:00;2026-01-30 13:00:00;America/Sao_Paulo;2026-01-30;240;COMPLETO;240;191800.46;191800.46;188628.27;190086.75;348465219475.4;9157265.0;0.0;0.0;0.0;0.0;0.0;190267.12348727902
WINFUT;30/01/2026;17:00:00;2026-01-30 17:00:00;America/Sao_Paulo;2026-01-30;240;PARCIAL;85;190086.75;190383.65;189159.57;190326.35;63679909059.50001;1678116.0;0.0;0.0;0.0;0.0;0.0;189738.6927418002
WINFUT;02/02/2026;09:00:00;2026-02-02 09:00:00;America/Sao_Paulo;2026-02-02;240;COMPLETO;240;188373.03;191612.94;188373.03;190430.53;399808272785.89996;10488253.0;0.0;0.0;0.0;0.0;0.0;190606.93189054582
WINFUT;02/02/2026;13:00:00;2026-02-02 13:00:00;America/Sao_Paulo;2026-02-02;240;COMPLETO;240;190430.53;191326.45;190097.16;190461.78;201354923009.0;5277888.0;0.0;0.0;0.0;0.0;0.0;190752.95700185996
WINFUT;02/02/2026;17:00:00;2026-02-02 17:00:00;America/Sao_Paulo;2026-02-02;240;PARCIAL;85;190466.99;191748.37;190347.19;191326.45;55943844460.97;1463899.0;0.0;0.0;0.0;0.0;0.0;191090.06279737447
WINFUT;03/02/2026;09:00:00;2026-02-03 09:00:00;America/Sao_Paulo;2026-02-03;240;COMPLETO;240;192206.75;196181.11;192196.33;195170.59;483606116429.7;12438110.0;0.0;0.0;0.0;0.0;0.0;194418.2225715842
WINFUT;03/02/2026;13:00:00;2026-02-03 13:00:00;America/Sao_Paulo;2026-02-03;240;COMPLETO;240;195175.8;195248.72;193321.44;193811.08;279923356818.3;7208804.0;0.0;0.0;0.0;0.0;0.0;194148.40122410186
WINFUT;03/02/2026;17:00:00;2026-02-03 17:00:00;America/Sao_Paulo;2026-02-03;240;PARCIAL;85;193811.08;194639.29;193644.39;194253.83;48952080948.229996;1260719.0;0.0;0.0;0.0;0.0;0.0;194158.12510916745
WINFUT;04/02/2026;09:00:00;2026-02-04 09:00:00;America/Sao_Paulo;2026-02-04;240;COMPLETO;240;194998.7;195264.35;190935.79;190967.04;444539259270.0;11544436.0;0.0;0.0;0.0;0.0;0.0;192525.2535154399
WINFUT;04/02/2026;13:00:00;2026-02-04 13:00:00;America/Sao_Paulo;2026-02-04;240;COMPLETO;240;190967.04;191029.55;188492.84;189326.25;283872815611.4;7489572.0;0.0;0.0;0.0;0.0;0.0;189513.93080951663
WINFUT;04/02/2026;17:00:00;2026-02-04 17:00:00;America/Sao_Paulo;2026-02-04;240;PARCIAL;85;189331.46;190154.46;189295.0;190003.4;66222976621.6;1745427.0;0.0;0.0;0.0;0.0;0.0;189709.82581168326
WINFUT;05/02/2026;09:00:00;2026-02-05 09:00:00;America/Sao_Paulo;2026-02-05;240;COMPLETO;240;189987.78;192592.21;189628.37;191159.77;484475345549.7;12688342.0;0.0;0.0;0.0;0.0;0.0;190915.9953296175
WINFUT;05/02/2026;13:00:00;2026-02-05 13:00:00;America/Sao_Paulo;2026-02-05;240;COMPLETO;240;191154.56;191920.26;190810.78;191310.83;246289593782.5;6434462.0;0.0;0.0;0.0;0.0;0.0;191382.47695862636
