fractal;ativo;arquivo;linhas;data_inicio;data_fim;status
00_INDICES;id;central_alertas.csv;1;ativo;ativo;OK
00_INDICES;ativo;estatisticas_biblioteca.csv;17;fractal;SEMANAL;OK
00_INDICES;id;hash_duplicados.csv;5;ativo;WIN;OK
00_INDICES;id;indice_geral.csv;112;ativo;WIN;OK
00_INDICES;fractal;indice_geral_backup.csv;111;ativo;WIN;OK
00_INDICES;id;indice_wdo.csv;54;ativo;WDO;OK
00_INDICES;id;indice_win.csv;59;ativo;WIN;OK
00_INDICES;;log_bernardo.csv;0;;;ERRO: Expected 3 fields in line 3, saw 6
00_INDICES;arquivo;memoria_uso.csv;112;consultas;0;OK
00_INDICES;arquivo_memoria;relatorio_arquivamento.csv;3;ativo_vivo;WINM26;OK
00_INDICES;fractal;relatorio_consulta.csv;5;ativo;WIN;OK
00_INDICES;fractal;relatorio_consulta_ano.csv;2;ativo;WDO;OK
00_INDICES;data_hora;relatorio_correcoes.csv;2;arquivo;WIN_DIARIO_2017_2019.csv;OK
00_INDICES;arquivo;relatorio_higienizacao.csv;5;tipo_problema;HASH_DUPLICADO;OK
00_INDICES;arquivo;relatorio_integridade.csv;112;ativo;WIN;OK
00_INDICES;ativo;relatorio_memoria.csv;3;arquivos;53;OK
00_INDICES;data_hora;relatorio_movimentacoes.csv;108;fractal;10_SEMANAL;OK
00_INDICES;arquivo_memoria;relatorio_ponte_memoria.csv;4;ativo_vivo;WINM26;OK
00_INDICES;id;central_alertas.csv;1;ativo;ativo;OK
00_INDICES;ativo;estatisticas_biblioteca.csv;17;fractal;SEMANAL;OK
00_INDICES;id;hash_duplicados.csv;5;ativo;WIN;OK
00_INDICES;id;indice_geral.csv;112;ativo;WIN;OK
00_INDICES;id;indice_wdo.csv;54;ativo;WDO;OK
00_INDICES;id;indice_win.csv;59;ativo;WIN;OK
00_INDICES;;log_bernardo.csv;0;;;ERRO: Expected 3 fields in line 3, saw 6
00_INDICES;arquivo;memoria_uso.csv;112;consultas;0;OK
00_INDICES;arquivo;relatorio_integridade.csv;112;ativo;WIN;OK
00_INDICES;id;central_alertas.csv;1;ativo;ativo;OK
00_INDICES;ativo;estatisticas_biblioteca.csv;17;fractal;SEMANAL;OK
00_INDICES;id;hash_duplicados.csv;5;ativo;WIN;OK
00_INDICES;id;indice_geral.csv;112;ativo;WIN;OK
00_INDICES;id;indice_wdo.csv;54;ativo;WDO;OK
00_INDICES;id;indice_win.csv;59;ativo;WIN;OK
00_INDICES;;log_bernardo.csv;0;;;ERRO: Expected 3 fields in line 3, saw 6
00_INDICES;arquivo;memoria_uso.csv;112;consultas;0;OK
00_INDICES;arquivo;relatorio_integridade.csv;112;ativo;WIN;OK
00_INDICES;fractal_pasta;indice_geral_20260609_210146.csv;112;fractal_detectado;MENSAL;OK
00_INDICES;id;indice_geral_20260609_210857.csv;112;ativo;WIN;OK
00_INDICES;id;indice_geral_20260609_225550.csv;112;ativo;WIN;OK
00_INDICES;id;indice_geral_20260609_231918.csv;112;ativo;WIN;OK
00_INDICES;id;indice_geral_20260610_001232.csv;112;ativo;WIN;OK
01_1_MIN;WDOFUT;WDO_1min_2025_2026.csv;37436;30/12/2025;25/09/2025;OK
