codigo_fonte;arquivo;ativo;fractal;data_inicio;data_fim;linhas;qualidade;prioridade_mineracao;elegivel_para_historiador;observacao
REV_SRC_00001;WDO_1min_2025_2026.csv;WDO;1_MIN;25/09/2025;30/12/2025;37436;EXCELENTE;5;SIM;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00002;WDO_1min_2026_2026.csv;WDO;1_MIN;02/01/2026;05/06/2026;59604;EXCELENTE;5;SIM;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00003;WIN_1min_2026_2026.csv;WIN;1_MIN;21/01/2026;05/06/2026;51486;EXCELENTE;5;SIM;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00004;WIN_2min_2026_2026.csv;WIN;2_MIN;21/01/2026;05/06/2026;25801;EXCELENTE;5;SIM;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00005;WIN_3min_2026_2026.csv;WIN;3_MIN;21/01/2026;05/06/2026;17232;EXCELENTE;5;SIM;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00006;WDO_5min_2023_2024.csv;WDO;5_MIN;29/08/2023;28/12/2023;9151;EXCELENTE;4;SIM;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00007;WDO_5min_2024_2025.csv;WDO;5_MIN;02/01/2024;30/12/2024;28554;EXCELENTE;4;SIM;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00008;WDO_5min_2025_2026.csv;WDO;5_MIN;02/01/2025;30/12/2025;28451;EXCELENTE;4;SIM;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00009;WDO_5min_2026_2026.csv;WDO;5_MIN;02/01/2026;05/06/2026;11922;EXCELENTE;4;SIM;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00010;WIN_5min_2023_2024.csv;WIN;5_MIN;22/08/2023;28/12/2023;9612;EXCELENTE;4;SIM;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00011;WIN_5min_2024_2025.csv;WIN;5_MIN;02/01/2024;30/12/2024;28314;EXCELENTE;4;SIM;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00012;WIN_5min_2025_2026.csv;WIN;5_MIN;02/01/2025;30/12/2025;28176;EXCELENTE;4;SIM;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00013;WIN_5min_2026_2026.csv;WIN;5_MIN;02/01/2026;05/06/2026;11817;EXCELENTE;4;SIM;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00014;WDO_10min2022_2023.csv;WDO;10_MIN;11/11/2022;29/12/2022;1913;EXCELENTE;4;SIM;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00015;WDO_10min_2023_2024.csv;WDO;10_MIN;02/01/2023;28/12/2023;13622;EXCELENTE;4;SIM;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00016;WDO_10min_2024_2025.csv;WDO;10_MIN;02/01/2024;30/12/2024;14278;EXCELENTE;4;SIM;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00017;WDO_10min_2025_2026.csv;WDO;10_MIN;02/01/2025;30/12/2025;14226;EXCELENTE;4;SIM;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00018;WDO_10min_2026_2026.csv;WDO;10_MIN;02/01/2026;05/06/2026;5961;EXCELENTE;4;SIM;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00019;WIN_10min_2022_2023.csv;WIN;10_MIN;11/11/2022;29/12/2022;1919;EXCELENTE;4;SIM;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00020;WIN_10min_2023_2024.csv;WIN;10_MIN;02/01/2023;28/12/2023;13622;EXCELENTE;4;SIM;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00021;WIN_10min_2024_2025.csv;WIN;10_MIN;02/01/2024;30/12/2024;14283;EXCELENTE;4;SIM;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00022;WIN_10min_2025_2026.csv;WIN;10_MIN;02/01/2025;30/12/2025;14215;EXCELENTE;4;SIM;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00023;WIN_10min_2026_2026.csv;WIN;10_MIN;02/01/2026;05/06/2026;5961;EXCELENTE;4;SIM;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00024;WDO_15min_2020_2022.csv;WDO;15_MIN;24/09/2020;30/12/2021;11481;EXCELENTE;3;SIM;Fonte catalogada para futura mineracao de reversoes
