ativo;fractal;contexto;hora_inicio;hora_fim;arquivos_base;linhas_base;detalhe;status
WDO;10_MIN;ABERTURA;09:00;10:30;5;50000;Inicio do pregao e maior disputa de fluxo;PREPARADO_PARA_HISTORIADOR
WDO;10_MIN;MEIO_PREGAO;10:31;15:30;5;50000;Periodo de desenvolvimento do movimento;PREPARADO_PARA_HISTORIADOR
WDO;10_MIN;FECHAMENTO;15:31;18:00;5;50000;Ajustes finais e zeragens;PREPARADO_PARA_HISTORIADOR
WDO;10_MIN;ALTA_VOLATILIDADE;N/D;N/D;5;50000;Contexto marcado por range e volume acima da media;PREPARADO_PARA_HISTORIADOR
WDO;10_MIN;BAIXA_VOLATILIDADE;N/D;N/D;5;50000;Contexto marcado por compressao e baixa amplitude;PREPARADO_PARA_HISTORIADOR
WDO;15_MIN;ABERTURA;09:00;10:30;4;52696;Inicio do pregao e maior disputa de fluxo;PREPARADO_PARA_HISTORIADOR
WDO;15_MIN;MEIO_PREGAO;10:31;15:30;4;52696;Periodo de desenvolvimento do movimento;PREPARADO_PARA_HISTORIADOR
WDO;15_MIN;FECHAMENTO;15:31;18:00;4;52696;Ajustes finais e zeragens;PREPARADO_PARA_HISTORIADOR
WDO;15_MIN;ALTA_VOLATILIDADE;N/D;N/D;4;52696;Contexto marcado por range e volume acima da media;PREPARADO_PARA_HISTORIADOR
WDO;15_MIN;BAIXA_VOLATILIDADE;N/D;N/D;4;52696;Contexto marcado por compressao e baixa amplitude;PREPARADO_PARA_HISTORIADOR
WDO;1_MIN;ABERTURA;09:00;10:30;2;97040;Inicio do pregao e maior disputa de fluxo;PREPARADO_PARA_HISTORIADOR
WDO;1_MIN;MEIO_PREGAO;10:31;15:30;2;97040;Periodo de desenvolvimento do movimento;PREPARADO_PARA_HISTORIADOR
WDO;1_MIN;FECHAMENTO;15:31;18:00;2;97040;Ajustes finais e zeragens;PREPARADO_PARA_HISTORIADOR
WDO;1_MIN;ALTA_VOLATILIDADE;N/D;N/D;2;97040;Contexto marcado por range e volume acima da media;PREPARADO_PARA_HISTORIADOR
WDO;1_MIN;BAIXA_VOLATILIDADE;N/D;N/D;2;97040;Contexto marcado por compressao e baixa amplitude;PREPARADO_PARA_HISTORIADOR
WDO;30_MIN;ABERTURA;09:00;10:30;7;50000;Inicio do pregao e maior disputa de fluxo;PREPARADO_PARA_HISTORIADOR
WDO;30_MIN;MEIO_PREGAO;10:31;15:30;7;50000;Periodo de desenvolvimento do movimento;PREPARADO_PARA_HISTORIADOR
WDO;30_MIN;FECHAMENTO;15:31;18:00;7;50000;Ajustes finais e zeragens;PREPARADO_PARA_HISTORIADOR
WDO;30_MIN;ALTA_VOLATILIDADE;N/D;N/D;7;50000;Contexto marcado por range e volume acima da media;PREPARADO_PARA_HISTORIADOR
WDO;30_MIN;BAIXA_VOLATILIDADE;N/D;N/D;7;50000;Contexto marcado por compressao e baixa amplitude;PREPARADO_PARA_HISTORIADOR
WDO;5_MIN;ABERTURA;09:00;10:30;4;78078;Inicio do pregao e maior disputa de fluxo;PREPARADO_PARA_HISTORIADOR
WDO;5_MIN;MEIO_PREGAO;10:31;15:30;4;78078;Periodo de desenvolvimento do movimento;PREPARADO_PARA_HISTORIADOR
WDO;5_MIN;FECHAMENTO;15:31;18:00;4;78078;Ajustes finais e zeragens;PREPARADO_PARA_HISTORIADOR
WDO;5_MIN;ALTA_VOLATILIDADE;N/D;N/D;4;78078;Contexto marcado por range e volume acima da media;PREPARADO_PARA_HISTORIADOR
WDO;5_MIN;BAIXA_VOLATILIDADE;N/D;N/D;4;78078;Contexto marcado por compressao e baixa amplitude;PREPARADO_PARA_HISTORIADOR
WDO;60_MIN;ABERTURA;09:00;10:30;8;32648;Inicio do pregao e maior disputa de fluxo;PREPARADO_PARA_HISTORIADOR
WDO;60_MIN;MEIO_PREGAO;10:31;15:30;8;32648;Periodo de desenvolvimento do movimento;PREPARADO_PARA_HISTORIADOR
WDO;60_MIN;FECHAMENTO;15:31;18:00;8;32648;Ajustes finais e zeragens;PREPARADO_PARA_HISTORIADOR
WDO;60_MIN;ALTA_VOLATILIDADE;N/D;N/D;8;32648;Contexto marcado por range e volume acima da media;PREPARADO_PARA_HISTORIADOR
WDO;60_MIN;BAIXA_VOLATILIDADE;N/D;N/D;8;32648;Contexto marcado por compressao e baixa amplitude;PREPARADO_PARA_HISTORIADOR
WDO;DIARIO;ABERTURA;09:00;10:30;13;4970;Inicio do pregao e maior disputa de fluxo;PREPARADO_PARA_HISTORIADOR
WDO;DIARIO;MEIO_PREGAO;10:31;15:30;13;4970;Periodo de desenvolvimento do movimento;PREPARADO_PARA_HISTORIADOR
WDO;DIARIO;FECHAMENTO;15:31;18:00;13;4970;Ajustes finais e zeragens;PREPARADO_PARA_HISTORIADOR
WDO;DIARIO;ALTA_VOLATILIDADE;N/D;N/D;13;4970;Contexto marcado por range e volume acima da media;PREPARADO_PARA_HISTORIADOR
WDO;DIARIO;BAIXA_VOLATILIDADE;N/D;N/D;13;4970;Contexto marcado por compressao e baixa amplitude;PREPARADO_PARA_HISTORIADOR
