id;ativo;ativo_original;fractal;pasta;arquivo;caminho;linhas;colunas;data_inicio;data_fim;tamanho_mb;ultima_modificacao;hash_md5;origem;confiabilidade;tags;volume_medio;range_medio;preco_medio;status;observacao
WDO_1_MIN_WDO_1min_2025_2026.csv;WDO;WDOFUT;1_MIN;001_1_MIN;WDO_1min_2025_2026.csv;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\001_1_MIN\wdo\WDO_1min_2025_2026.csv;37436;9;25/09/2025;30/12/2025;2.736;07/06/2026 12:55:00;e58dfde613480aa6d57aa6ee75c8f9e3;PROFIT;100;WDO,1_MIN,PROFIT,MICRO_FRACTAL;250469959.87;2.08;5684.85;OK;
WDO_1_MIN_WDO_1min_2026_2026.csv;WDO;WDOFUT;1_MIN;001_1_MIN;WDO_1min_2026_2026.csv;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\001_1_MIN\wdo\WDO_1min_2026_2026.csv;59604;9;02/01/2026;05/06/2026;4.359;07/06/2026 12:56:39;1eabb9ad7b4560a7d680a04baac34be8;PROFIT;100;WDO,1_MIN,PROFIT,MICRO_FRACTAL;251627819.03;2.33;5280.22;OK;
WDO_5_MIN_WDO_5min_2023_2024.csv;WDO;WDOFUT;5_MIN;005_5_MIN;WDO_5min_2023_2024.csv;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\005_5_MIN\wdo\WDO_5min_2023_2024.csv;9151;9;29/08/2023;28/12/2023;0.684;07/06/2026 01:35:25;0e7dc4d3eb30b5c164ac1604cedcffc6;PROFIT;100;WDO,5_MIN,PROFIT;1511716963.43;5.39;5846.52;OK;
WDO_5_MIN_WDO_5min_2024_2025.csv;WDO;WDOFUT;5_MIN;005_5_MIN;WDO_5min_2024_2025.csv;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\005_5_MIN\wdo\WDO_5min_2024_2025.csv;28554;9;02/01/2024;30/12/2024;2.133;07/06/2026 01:37:19;27d88fd2d94a0dbb0df2cbcbe09b2171;PROFIT;100;WDO,5_MIN,PROFIT;1583282102.18;6.08;6200.58;OK;
WDO_5_MIN_WDO_5min_2025_2026.csv;WDO;WDOFUT;5_MIN;005_5_MIN;WDO_5min_2025_2026.csv;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\005_5_MIN\wdo\WDO_5min_2025_2026.csv;28451;9;02/01/2025;30/12/2025;2.124;07/06/2026 01:40:29;bf418685def82f1e952008c59e761a57;PROFIT;100;WDO,5_MIN,PROFIT;1454392578.64;5.62;6077.39;OK;
WDO_5_MIN_WDO_5min_2026_2026.csv;WDO;WDOFUT;5_MIN;005_5_MIN;WDO_5min_2026_2026.csv;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\005_5_MIN\wdo\WDO_5min_2026_2026.csv;11922;9;02/01/2026;05/06/2026;0.89;07/06/2026 01:42:12;29f6959b1d06b2e4583c65f4e52a5027;PROFIT;100;WDO,5_MIN,PROFIT;1258012458.09;5.06;5280.21;OK;
WDO_15_MIN_WDO_15min_2020_2022.csv;WDO;WDOFUT;15_MIN;00_DUPLICIDADES_FRACTAIS;WDO_15min_2020_2022.csv;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\00_DUPLICIDADES_FRACTAIS\008_15_MIN\wdo\WDO_15min_2020_2022.csv;11481;9;24/09/2020;30/12/2021;0.871;07/06/2026 01:08:19;08ee9f33306581a671e9bfd3ad745eb4;PROFIT;100;WDO,15_MIN,PROFIT;6839106551.26;19.07;7550.01;OK;
WDO_15_MIN_WDO_15min_2022_2024.csv;WDO;WDOFUT;15_MIN;00_DUPLICIDADES_FRACTAIS;WDO_15min_2022_2024.csv;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\00_DUPLICIDADES_FRACTAIS\008_15_MIN\wdo\WDO_15min_2022_2024.csv;18238;9;03/01/2022;28/12/2023;1.382;07/06/2026 01:10:02;0aafb5ca6fece3bd1eee1c81a9a56fc0;PROFIT;100;WDO,15_MIN,PROFIT;5528683315.2;14.08;6366.88;OK;
WDO_15_MIN_WDO_15min_2024_2026.csv;WDO;WDOFUT;15_MIN;00_DUPLICIDADES_FRACTAIS;WDO_15min_2024_2026.csv;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\00_DUPLICIDADES_FRACTAIS\008_15_MIN\wdo\WDO_15min_2024_2026.csv;19003;9;02/01/2024;30/12/2025;1.436;07/06/2026 01:12:12;57ccab68e60d8ce67644e5c686dda2a3;PROFIT;100;WDO,15_MIN,PROFIT;4556541619.76;10.1;6139.15;OK;
WDO_15_MIN_WDO_15min_2026_2026.csv;WDO;WDOFUT;15_MIN;00_DUPLICIDADES_FRACTAIS;WDO_15min_2026_2026.csv;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\00_DUPLICIDADES_FRACTAIS\008_15_MIN\wdo\WDO_15min_2026_2026.csv;3974;9;02/01/2026;05/06/2026;0.3;07/06/2026 01:14:07;2357d46ca77ecaccbabcdfa2941299c4;PROFIT;100;WDO,15_MIN,PROFIT;3774037374.27;8.65;5280.22;OK;
