ativo;fractal_origem;fractal_destino;relacao;razao_temporal;forca_relacao;peso_relacao
WDO;10_MIN;15_MIN;AGREGA_PARA;1.5;FORTE;0.9
WDO;10_MIN;1_MIN;DETALHA_DE;10.0;MEDIA;0.7
WDO;10_MIN;30_MIN;AGREGA_PARA;3.0;FORTE;0.9
WDO;10_MIN;5_MIN;DETALHA_DE;2.0;FORTE;0.9
WDO;10_MIN;60_MIN;AGREGA_PARA;6.0;MEDIA;0.7
WDO;10_MIN;DIARIO;AGREGA_PARA;144.0;FRACA;0.45
WDO;10_MIN;SEMANAL;AGREGA_PARA;1008.0;FRACA;0.45
WDO;15_MIN;10_MIN;DETALHA_DE;1.5;FORTE;0.9
WDO;15_MIN;1_MIN;DETALHA_DE;15.0;FRACA;0.45
WDO;15_MIN;30_MIN;AGREGA_PARA;2.0;FORTE;0.9
WDO;15_MIN;5_MIN;DETALHA_DE;3.0;FORTE;0.9
WDO;15_MIN;60_MIN;AGREGA_PARA;4.0;MEDIA;0.7
WDO;15_MIN;DIARIO;AGREGA_PARA;96.0;FRACA;0.45
WDO;15_MIN;SEMANAL;AGREGA_PARA;672.0;FRACA;0.45
WDO;1_MIN;10_MIN;AGREGA_PARA;10.0;MEDIA;0.7
WDO;1_MIN;15_MIN;AGREGA_PARA;15.0;FRACA;0.45
WDO;1_MIN;30_MIN;AGREGA_PARA;30.0;FRACA;0.45
WDO;1_MIN;5_MIN;AGREGA_PARA;5.0;MEDIA;0.7
WDO;1_MIN;60_MIN;AGREGA_PARA;60.0;FRACA;0.45
WDO;1_MIN;DIARIO;AGREGA_PARA;1440.0;FRACA;0.45
WDO;1_MIN;SEMANAL;AGREGA_PARA;10080.0;FRACA;0.45
WDO;30_MIN;10_MIN;DETALHA_DE;3.0;FORTE;0.9
WDO;30_MIN;15_MIN;DETALHA_DE;2.0;FORTE;0.9
WDO;30_MIN;1_MIN;DETALHA_DE;30.0;FRACA;0.45
WDO;30_MIN;5_MIN;DETALHA_DE;6.0;MEDIA;0.7
WDO;30_MIN;60_MIN;AGREGA_PARA;2.0;FORTE;0.9
WDO;30_MIN;DIARIO;AGREGA_PARA;48.0;FRACA;0.45
WDO;30_MIN;SEMANAL;AGREGA_PARA;336.0;FRACA;0.45
WDO;5_MIN;10_MIN;AGREGA_PARA;2.0;FORTE;0.9
WDO;5_MIN;15_MIN;AGREGA_PARA;3.0;FORTE;0.9
WDO;5_MIN;1_MIN;DETALHA_DE;5.0;MEDIA;0.7
WDO;5_MIN;30_MIN;AGREGA_PARA;6.0;MEDIA;0.7
WDO;5_MIN;60_MIN;AGREGA_PARA;12.0;MEDIA;0.7
WDO;5_MIN;DIARIO;AGREGA_PARA;288.0;FRACA;0.45
WDO;5_MIN;SEMANAL;AGREGA_PARA;2016.0;FRACA;0.45
WDO;60_MIN;10_MIN;DETALHA_DE;6.0;MEDIA;0.7
WDO;60_MIN;15_MIN;DETALHA_DE;4.0;MEDIA;0.7
WDO;60_MIN;1_MIN;DETALHA_DE;60.0;FRACA;0.45
WDO;60_MIN;30_MIN;DETALHA_DE;2.0;FORTE;0.9
WDO;60_MIN;5_MIN;DETALHA_DE;12.0;MEDIA;0.7
WDO;60_MIN;DIARIO;AGREGA_PARA;24.0;FRACA;0.45
WDO;60_MIN;SEMANAL;AGREGA_PARA;168.0;FRACA;0.45
WDO;DIARIO;10_MIN;DETALHA_DE;144.0;FRACA;0.45
WDO;DIARIO;15_MIN;DETALHA_DE;96.0;FRACA;0.45
WDO;DIARIO;1_MIN;DETALHA_DE;1440.0;FRACA;0.45
WDO;DIARIO;30_MIN;DETALHA_DE;48.0;FRACA;0.45
WDO;DIARIO;5_MIN;DETALHA_DE;288.0;FRACA;0.45
WDO;DIARIO;60_MIN;DETALHA_DE;24.0;FRACA;0.45
WDO;DIARIO;SEMANAL;AGREGA_PARA;7.0;MEDIA;0.7
WDO;SEMANAL;10_MIN;DETALHA_DE;1008.0;FRACA;0.45
WDO;SEMANAL;15_MIN;DETALHA_DE;672.0;FRACA;0.45
WDO;SEMANAL;1_MIN;DETALHA_DE;10080.0;FRACA;0.45
WDO;SEMANAL;30_MIN;DETALHA_DE;336.0;FRACA;0.45
WDO;SEMANAL;5_MIN;DETALHA_DE;2016.0;FRACA;0.45
WDO;SEMANAL;60_MIN;DETALHA_DE;168.0;FRACA;0.45
WDO;SEMANAL;DIARIO;DETALHA_DE;7.0;MEDIA;0.7
WIN;10_MIN;120_MIN;AGREGA_PARA;12.0;MEDIA;0.7
WIN;10_MIN;12_MIN;AGREGA_PARA;1.2;FORTE;0.9
WIN;10_MIN;15_MIN;AGREGA_PARA;1.5;FORTE;0.9
WIN;10_MIN;180_MIN;AGREGA_PARA;18.0;FRACA;0.45
WIN;10_MIN;1_MIN;DETALHA_DE;10.0;MEDIA;0.7
WIN;10_MIN;20_MIN;AGREGA_PARA;2.0;FORTE;0.9
WIN;10_MIN;240_MIN;AGREGA_PARA;24.0;FRACA;0.45
WIN;10_MIN;2_MIN;DETALHA_DE;5.0;MEDIA;0.7
WIN;10_MIN;30_MIN;AGREGA_PARA;3.0;FORTE;0.9
WIN;10_MIN;3_MIN;DETALHA_DE;3.33;MEDIA;0.7
WIN;10_MIN;45_MIN;AGREGA_PARA;4.5;MEDIA;0.7
WIN;10_MIN;4_MIN;DETALHA_DE;2.5;FORTE;0.9
WIN;10_MIN;5_MIN;DETALHA_DE;2.0;FORTE;0.9
WIN;10_MIN;60_MIN;AGREGA_PARA;6.0;MEDIA;0.7
WIN;10_MIN;6_MIN;DETALHA_DE;1.67;FORTE;0.9
WIN;10_MIN;7_MIN;DETALHA_DE;1.43;FORTE;0.9
WIN;10_MIN;8_MIN;DETALHA_DE;1.25;FORTE;0.9
WIN;10_MIN;90_MIN;AGREGA_PARA;9.0;MEDIA;0.7
WIN;10_MIN;9_MIN;DETALHA_DE;1.11;FORTE;0.9
WIN;10_MIN;DIARIO;AGREGA_PARA;144.0;FRACA;0.45
WIN;10_MIN;SEMANAL;AGREGA_PARA;1008.0;FRACA;0.45
WIN;120_MIN;10_MIN;DETALHA_DE;12.0;MEDIA;0.7
WIN;120_MIN;12_MIN;DETALHA_DE;10.0;MEDIA;0.7
WIN;120_MIN;15_MIN;DETALHA_DE;8.0;MEDIA;0.7
WIN;120_MIN;180_MIN;AGREGA_PARA;1.5;FORTE;0.9
WIN;120_MIN;1_MIN;DETALHA_DE;120.0;FRACA;0.45
WIN;120_MIN;20_MIN;DETALHA_DE;6.0;MEDIA;0.7
