arquivo;tipo_problema;gravidade;detalhe
auditoria_pastas_temporais_20260612_215249.csv;ATIVO_DESCONHECIDO;MEDIA;DATA_INVALIDA | ATIVO_DESCONHECIDO | FRACTAL_DESCONHECIDO
auditoria_pastas_temporais_20260612_215249.csv;FRACTAL_DESCONHECIDO;MEDIA;DATA_INVALIDA | ATIVO_DESCONHECIDO | FRACTAL_DESCONHECIDO
auditoria_pastas_temporais_20260612_215249.csv;STATUS_NAO_OK;MEDIA;DATA_INVALIDA | ATIVO_DESCONHECIDO | FRACTAL_DESCONHECIDO
auditoria_pastas_temporais_20260612_215249.csv;NOME_FORA_PADRAO_ATIVO;BAIXA;Nome nao contem WIN ou WDO
auditoria_pastas_temporais_20260612_215919.csv;ATIVO_DESCONHECIDO;MEDIA;DATA_INVALIDA | ATIVO_DESCONHECIDO | FRACTAL_DESCONHECIDO
auditoria_pastas_temporais_20260612_215919.csv;FRACTAL_DESCONHECIDO;MEDIA;DATA_INVALIDA | ATIVO_DESCONHECIDO | FRACTAL_DESCONHECIDO
auditoria_pastas_temporais_20260612_215919.csv;STATUS_NAO_OK;MEDIA;DATA_INVALIDA | ATIVO_DESCONHECIDO | FRACTAL_DESCONHECIDO
auditoria_pastas_temporais_20260612_215919.csv;NOME_FORA_PADRAO_ATIVO;BAIXA;Nome nao contem WIN ou WDO
duplicidades_fractais_20260612_200451.csv;ATIVO_DESCONHECIDO;MEDIA;DATA_INVALIDA | ATIVO_DESCONHECIDO | FRACTAL_DESCONHECIDO
duplicidades_fractais_20260612_200451.csv;FRACTAL_DESCONHECIDO;MEDIA;DATA_INVALIDA | ATIVO_DESCONHECIDO | FRACTAL_DESCONHECIDO
duplicidades_fractais_20260612_200451.csv;STATUS_NAO_OK;MEDIA;DATA_INVALIDA | ATIVO_DESCONHECIDO | FRACTAL_DESCONHECIDO
duplicidades_fractais_20260612_200451.csv;NOME_FORA_PADRAO_ATIVO;BAIXA;Nome nao contem WIN ou WDO
duplicidades_fractais_20260612_200734.csv;ATIVO_DESCONHECIDO;MEDIA;DATA_INVALIDA | ATIVO_DESCONHECIDO | FRACTAL_DESCONHECIDO
duplicidades_fractais_20260612_200734.csv;FRACTAL_DESCONHECIDO;MEDIA;DATA_INVALIDA | ATIVO_DESCONHECIDO | FRACTAL_DESCONHECIDO
duplicidades_fractais_20260612_200734.csv;STATUS_NAO_OK;MEDIA;DATA_INVALIDA | ATIVO_DESCONHECIDO | FRACTAL_DESCONHECIDO
duplicidades_fractais_20260612_200734.csv;NOME_FORA_PADRAO_ATIVO;BAIXA;Nome nao contem WIN ou WDO
duplicidades_fractais_20260612_203011.csv;ATIVO_DESCONHECIDO;MEDIA;DATA_INVALIDA | ATIVO_DESCONHECIDO | FRACTAL_DESCONHECIDO
duplicidades_fractais_20260612_203011.csv;FRACTAL_DESCONHECIDO;MEDIA;DATA_INVALIDA | ATIVO_DESCONHECIDO | FRACTAL_DESCONHECIDO
duplicidades_fractais_20260612_203011.csv;STATUS_NAO_OK;MEDIA;DATA_INVALIDA | ATIVO_DESCONHECIDO | FRACTAL_DESCONHECIDO
duplicidades_fractais_20260612_203011.csv;NOME_FORA_PADRAO_ATIVO;BAIXA;Nome nao contem WIN ou WDO
duplicidades_fractais_20260612_204049.csv;ATIVO_DESCONHECIDO;MEDIA;DATA_INVALIDA | ATIVO_DESCONHECIDO | FRACTAL_DESCONHECIDO
duplicidades_fractais_20260612_204049.csv;FRACTAL_DESCONHECIDO;MEDIA;DATA_INVALIDA | ATIVO_DESCONHECIDO | FRACTAL_DESCONHECIDO
duplicidades_fractais_20260612_204049.csv;STATUS_NAO_OK;MEDIA;DATA_INVALIDA | ATIVO_DESCONHECIDO | FRACTAL_DESCONHECIDO
duplicidades_fractais_20260612_204049.csv;NOME_FORA_PADRAO_ATIVO;BAIXA;Nome nao contem WIN ou WDO
duplicidades_fractais_20260612_204345.csv;ATIVO_DESCONHECIDO;MEDIA;DATA_INVALIDA | ATIVO_DESCONHECIDO | FRACTAL_DESCONHECIDO
duplicidades_fractais_20260612_204345.csv;FRACTAL_DESCONHECIDO;MEDIA;DATA_INVALIDA | ATIVO_DESCONHECIDO | FRACTAL_DESCONHECIDO
duplicidades_fractais_20260612_204345.csv;STATUS_NAO_OK;MEDIA;DATA_INVALIDA | ATIVO_DESCONHECIDO | FRACTAL_DESCONHECIDO
duplicidades_fractais_20260612_204345.csv;NOME_FORA_PADRAO_ATIVO;BAIXA;Nome nao contem WIN ou WDO
duplicidades_fractais_20260612_210109.csv;ATIVO_DESCONHECIDO;MEDIA;DATA_INVALIDA | ATIVO_DESCONHECIDO | FRACTAL_DESCONHECIDO
duplicidades_fractais_20260612_210109.csv;FRACTAL_DESCONHECIDO;MEDIA;DATA_INVALIDA | ATIVO_DESCONHECIDO | FRACTAL_DESCONHECIDO
duplicidades_fractais_20260612_210109.csv;STATUS_NAO_OK;MEDIA;DATA_INVALIDA | ATIVO_DESCONHECIDO | FRACTAL_DESCONHECIDO
duplicidades_fractais_20260612_210109.csv;NOME_FORA_PADRAO_ATIVO;BAIXA;Nome nao contem WIN ou WDO
duplicidades_fractais_20260612_210609.csv;ATIVO_DESCONHECIDO;MEDIA;DATA_INVALIDA | ATIVO_DESCONHECIDO | FRACTAL_DESCONHECIDO
duplicidades_fractais_20260612_210609.csv;FRACTAL_DESCONHECIDO;MEDIA;DATA_INVALIDA | ATIVO_DESCONHECIDO | FRACTAL_DESCONHECIDO
duplicidades_fractais_20260612_210609.csv;STATUS_NAO_OK;MEDIA;DATA_INVALIDA | ATIVO_DESCONHECIDO | FRACTAL_DESCONHECIDO
duplicidades_fractais_20260612_210609.csv;NOME_FORA_PADRAO_ATIVO;BAIXA;Nome nao contem WIN ou WDO
WIN_120min_2026_2026_AUDITOR_SESSOES.csv;STATUS_NAO_OK;MEDIA;DATA_INVALIDA
WIN_180min_2026_2026_AUDITOR_SESSOES.csv;STATUS_NAO_OK;MEDIA;DATA_INVALIDA
WIN_240min_2026_2026_AUDITOR_SESSOES.csv;STATUS_NAO_OK;MEDIA;DATA_INVALIDA
WIN_7min_2026_2026_AUDITOR_SESSOES.csv;STATUS_NAO_OK;MEDIA;DATA_INVALIDA
