arquivo;ativo;fractal;nota_qualidade;classificacao;linhas;colunas;status;motivos
WDO_1min_2025_2026.csv;WDO;1_MIN;100;EXCELENTE;37436;9;OK;OK
WDO_1min_2026_2026.csv;WDO;1_MIN;100;EXCELENTE;59604;9;OK;OK
WIN_1min_2026_2026.csv;WIN;1_MIN;100;EXCELENTE;51486;9;OK;OK
WIN_2min_2026_2026.csv;WIN;2_MIN;100;EXCELENTE;25801;15;OK;OK
WIN_3min_2026_2026.csv;WIN;3_MIN;100;EXCELENTE;17232;15;OK;OK
WIN_4min_2026_2026.csv;WIN;4_MIN;100;EXCELENTE;12930;21;OK;OK
WDO_5min_2023_2024.csv;WDO;5_MIN;100;EXCELENTE;9151;9;OK;OK
WDO_5min_2024_2025.csv;WDO;5_MIN;100;EXCELENTE;28554;9;OK;OK
WDO_5min_2025_2026.csv;WDO;5_MIN;100;EXCELENTE;28451;9;OK;OK
WDO_5min_2026_2026.csv;WDO;5_MIN;100;EXCELENTE;11922;9;OK;OK
WIN_5min_2023_2024.csv;WIN;5_MIN;100;EXCELENTE;9612;9;OK;OK
WIN_5min_2024_2025.csv;WIN;5_MIN;100;EXCELENTE;28314;9;OK;OK
WIN_5min_2025_2026.csv;WIN;5_MIN;100;EXCELENTE;28176;9;OK;OK
WIN_5min_2026_2026 (2).csv;WIN;5_MIN;100;EXCELENTE;11817;9;OK;OK
WIN_5min_2026_2026.csv;WIN;5_MIN;100;EXCELENTE;10316;21;OK;OK
WIN_6min_2026_2026.csv;WIN;6_MIN;100;EXCELENTE;8640;21;OK;OK
WIN_7min_2026_2026.csv;WIN;7_MIN;100;EXCELENTE;7395;21;OK;OK
WIN_8min_2026_2026.csv;WIN;8_MIN;100;EXCELENTE;6482;21;OK;OK
WIN_9min_2026_2026.csv;WIN;9_MIN;100;EXCELENTE;5753;21;OK;OK
auditoria_pastas_temporais_20260612_215249.csv;DESCONHECIDO;DESCONHECIDO;20;CRITICA;25;7;ALERTA;STATUS_ALERTA | ATIVO_DESCONHECIDO | FRACTAL_DESCONHECIDO | DATA_INVALIDA
auditoria_pastas_temporais_20260612_215919.csv;DESCONHECIDO;DESCONHECIDO;20;CRITICA;24;7;ALERTA;STATUS_ALERTA | ATIVO_DESCONHECIDO | FRACTAL_DESCONHECIDO | DATA_INVALIDA
duplicidades_fractais_20260612_200451.csv;DESCONHECIDO;DESCONHECIDO;20;CRITICA;40;5;ALERTA;STATUS_ALERTA | ATIVO_DESCONHECIDO | FRACTAL_DESCONHECIDO | DATA_INVALIDA
duplicidades_fractais_20260612_200734.csv;DESCONHECIDO;DESCONHECIDO;20;CRITICA;21;5;ALERTA;STATUS_ALERTA | ATIVO_DESCONHECIDO | FRACTAL_DESCONHECIDO | DATA_INVALIDA
duplicidades_fractais_20260612_203011.csv;DESCONHECIDO;DESCONHECIDO;20;CRITICA;21;5;ALERTA;STATUS_ALERTA | ATIVO_DESCONHECIDO | FRACTAL_DESCONHECIDO | DATA_INVALIDA
duplicidades_fractais_20260612_204049.csv;DESCONHECIDO;DESCONHECIDO;20;CRITICA;21;5;ALERTA;STATUS_ALERTA | ATIVO_DESCONHECIDO | FRACTAL_DESCONHECIDO | DATA_INVALIDA
duplicidades_fractais_20260612_204345.csv;DESCONHECIDO;DESCONHECIDO;20;CRITICA;21;5;ALERTA;STATUS_ALERTA | ATIVO_DESCONHECIDO | FRACTAL_DESCONHECIDO | DATA_INVALIDA
