origem;destino;relacao_semantica;peso_semantico;status
VWAP;REVERSAO;SUPORTA_ANALISE_DE;0.9;ATIVA
VWAP;ABSORCAO;CONTEXTO_DE_VALOR_PARA;0.82;ATIVA
DELTA;ROMPIMENTO;CONFIRMA_OU_NEGA;0.88;ATIVA
DELTA;SCALPING;SINALIZA_EXPLOSAO_PARA;0.86;ATIVA
SALDO;CONTEXTO;INDICA_DOMINIO_DE;0.76;ATIVA
ABSORCAO;REVERSAO;PODE_ANTECEDER;0.84;ATIVA
ROMPIMENTO;SCALPING;PODE_OFERECER;0.78;ATIVA
CONTEXTO;SCALPING;MODULA_RISCO_DE;0.74;ATIVA
CONTEXTO;ROMPIMENTO;ALTERA_PROBABILIDADE_DE;0.72;ATIVA
R001;REVERSAO;PERTENCE_A_ASSUNTO;0.8;PADRAO_REVERSAO
R002;REVERSAO;PERTENCE_A_ASSUNTO;0.8;PADRAO_REVERSAO
R003;ROMPIMENTO;PERTENCE_A_ASSUNTO;0.8;PADRAO_REVERSAO
R004;ABSORCAO;PERTENCE_A_ASSUNTO;0.8;PADRAO_REVERSAO
R005;ABSORCAO;PERTENCE_A_ASSUNTO;0.8;PADRAO_REVERSAO
R006;REVERSAO;PERTENCE_A_ASSUNTO;0.8;PADRAO_REVERSAO
R007;REVERSAO;PERTENCE_A_ASSUNTO;0.8;PADRAO_REVERSAO
R008;ROMPIMENTO;PERTENCE_A_ASSUNTO;0.8;PADRAO_REVERSAO
R009;CONTEXTO;PERTENCE_A_ASSUNTO;0.8;PADRAO_REVERSAO
R010;CONTEXTO;PERTENCE_A_ASSUNTO;0.8;PADRAO_REVERSAO
S001;SCALPING;PERTENCE_A_ASSUNTO;0.8;PADRAO_SCALPING
S002;SCALPING;PERTENCE_A_ASSUNTO;0.8;PADRAO_SCALPING
C001;CONTEXTO;PERTENCE_A_ASSUNTO;0.8;PADRAO_CONTEXTO
C002;CONTEXTO;PERTENCE_A_ASSUNTO;0.8;PADRAO_CONTEXTO
