arquivo;ativo;fractal;linhas;colunas;status;observacao;confiabilidade;tags
WDO_1min_2025_2026.csv;WDO;1_MIN;37436;9;OK;;100;WDO,1_MIN,PROFIT,MICRO_FRACTAL
WDO_1min_2026_2026.csv;WDO;1_MIN;59604;9;OK;;100;WDO,1_MIN,PROFIT,MICRO_FRACTAL
WIN_1min_2026_2026.csv;WIN;1_MIN;51486;9;OK;;100;WIN,1_MIN,PROFIT,MICRO_FRACTAL
WIN_2min_2026_2026.csv;WIN;2_MIN;25801;15;OK;;98;WIN,2_MIN,ZE_DO_EUCRAZIO,MICRO_FRACTAL
WIN_3min_2026_2026.csv;WIN;3_MIN;17232;15;OK;;98;WIN,3_MIN,ZE_DO_EUCRAZIO,MICRO_FRACTAL
WIN_4min_2026_2026.csv;WIN;4_MIN;12930;21;OK;;98;WIN,4_MIN,ZE_DO_EUCRAZIO
WDO_5min_2023_2024.csv;WDO;5_MIN;9151;9;OK;;100;WDO,5_MIN,PROFIT
WDO_5min_2024_2025.csv;WDO;5_MIN;28554;9;OK;;100;WDO,5_MIN,PROFIT
WDO_5min_2025_2026.csv;WDO;5_MIN;28451;9;OK;;100;WDO,5_MIN,PROFIT
WDO_5min_2026_2026.csv;WDO;5_MIN;11922;9;OK;;100;WDO,5_MIN,PROFIT
WIN_5min_2023_2024.csv;WIN;5_MIN;9612;9;OK;;100;WIN,5_MIN,PROFIT
WIN_5min_2024_2025.csv;WIN;5_MIN;28314;9;OK;;100;WIN,5_MIN,PROFIT
WIN_5min_2025_2026.csv;WIN;5_MIN;28176;9;OK;;100;WIN,5_MIN,PROFIT
WIN_5min_2026_2026 (2).csv;WIN;5_MIN;11817;9;OK;;100;WIN,5_MIN,PROFIT
WIN_5min_2026_2026.csv;WIN;5_MIN;10316;21;OK;;100;WIN,5_MIN,PROFIT
WIN_6min_2026_2026.csv;WIN;6_MIN;8640;21;OK;;98;WIN,6_MIN,ZE_DO_EUCRAZIO
WIN_7min_2026_2026.csv;WIN;7_MIN;7395;21;OK;;98;WIN,7_MIN,ZE_DO_EUCRAZIO
WIN_8min_2026_2026.csv;WIN;8_MIN;6482;21;OK;;98;WIN,8_MIN,ZE_DO_EUCRAZIO
WIN_9min_2026_2026.csv;WIN;9_MIN;5753;21;OK;;98;WIN,9_MIN,ZE_DO_EUCRAZIO
auditoria_pastas_temporais_20260612_215249.csv;DESCONHECIDO;DESCONHECIDO;25;7;ALERTA;DATA_INVALIDA | ATIVO_DESCONHECIDO | FRACTAL_DESCONHECIDO;70;ZE_DO_EUCRAZIO,ALERTA
auditoria_pastas_temporais_20260612_215919.csv;DESCONHECIDO;DESCONHECIDO;24;7;ALERTA;DATA_INVALIDA | ATIVO_DESCONHECIDO | FRACTAL_DESCONHECIDO;70;ZE_DO_EUCRAZIO,ALERTA
auditoria_pastas_temporais_20260613_211018.csv;DESCONHECIDO;DESCONHECIDO;24;7;ALERTA;DATA_INVALIDA | ATIVO_DESCONHECIDO | FRACTAL_DESCONHECIDO;70;ZE_DO_EUCRAZIO,ALERTA
duplicidades_fractais_20260612_200451.csv;DESCONHECIDO;DESCONHECIDO;40;5;ALERTA;DATA_INVALIDA | ATIVO_DESCONHECIDO | FRACTAL_DESCONHECIDO;70;ZE_DO_EUCRAZIO,ALERTA
duplicidades_fractais_20260612_200734.csv;DESCONHECIDO;DESCONHECIDO;21;5;ALERTA;DATA_INVALIDA | ATIVO_DESCONHECIDO | FRACTAL_DESCONHECIDO;70;ZE_DO_EUCRAZIO,ALERTA
