codigo_fonte;arquivo;ativo;fractal;data_inicio;data_fim;linhas;qualidade;prioridade_mineracao;elegivel_para_historiador;observacao
REV_SRC_00001;WDO_1min_2025_2026.csv;WDO;1_MIN;25/09/2025;30/12/2025;37436;EXCELENTE;5;SIM;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00002;WDO_1min_2026_2026.csv;WDO;1_MIN;02/01/2026;05/06/2026;59604;EXCELENTE;5;SIM;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00003;WIN_1min_2026_2026.csv;WIN;1_MIN;21/01/2026;05/06/2026;51486;EXCELENTE;5;SIM;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00004;WIN_2min_2026_2026.csv;WIN;2_MIN;21/01/2026;05/06/2026;25801;EXCELENTE;5;SIM;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00005;WIN_3min_2026_2026.csv;WIN;3_MIN;21/01/2026;05/06/2026;17232;EXCELENTE;5;SIM;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00006;WIN_4min_2026_2026.csv;WIN;4_MIN;21/01/2026;05/06/2026;12930;EXCELENTE;0;SIM;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00007;WDO_5min_2023_2024.csv;WDO;5_MIN;29/08/2023;28/12/2023;9151;EXCELENTE;4;SIM;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00008;WDO_5min_2024_2025.csv;WDO;5_MIN;02/01/2024;30/12/2024;28554;EXCELENTE;4;SIM;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00009;WDO_5min_2025_2026.csv;WDO;5_MIN;02/01/2025;30/12/2025;28451;EXCELENTE;4;SIM;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00010;WDO_5min_2026_2026.csv;WDO;5_MIN;02/01/2026;05/06/2026;11922;EXCELENTE;4;SIM;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00011;WIN_5min_2023_2024.csv;WIN;5_MIN;22/08/2023;28/12/2023;9612;EXCELENTE;4;SIM;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00012;WIN_5min_2024_2025.csv;WIN;5_MIN;02/01/2024;30/12/2024;28314;EXCELENTE;4;SIM;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00013;WIN_5min_2025_2026.csv;WIN;5_MIN;02/01/2025;30/12/2025;28176;EXCELENTE;4;SIM;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00014;WIN_5min_2026_2026 (2).csv;WIN;5_MIN;02/01/2026;05/06/2026;11817;EXCELENTE;4;SIM;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00015;WIN_5min_2026_2026.csv;WIN;5_MIN;21/01/2026;05/06/2026;10316;EXCELENTE;4;SIM;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00016;WIN_6min_2026_2026.csv;WIN;6_MIN;21/01/2026;05/06/2026;8640;EXCELENTE;0;SIM;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00017;WIN_7min_2026_2026.csv;WIN;7_MIN;21/01/2026;05/06/2026;7395;EXCELENTE;0;SIM;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00018;WIN_8min_2026_2026.csv;WIN;8_MIN;21/01/2026;05/06/2026;6482;EXCELENTE;0;SIM;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00019;WIN_9min_2026_2026.csv;WIN;9_MIN;21/01/2026;05/06/2026;5753;EXCELENTE;0;SIM;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00020;auditoria_pastas_temporais_20260612_215249.csv;DESCONHECIDO;DESCONHECIDO;N/D;N/D;25;CRITICA;0;NAO;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00021;auditoria_pastas_temporais_20260612_215919.csv;DESCONHECIDO;DESCONHECIDO;N/D;N/D;24;CRITICA;0;NAO;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00022;auditoria_pastas_temporais_20260613_211018.csv;DESCONHECIDO;DESCONHECIDO;N/D;N/D;24;CRITICA;0;NAO;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00023;duplicidades_fractais_20260612_200451.csv;DESCONHECIDO;DESCONHECIDO;N/D;N/D;40;CRITICA;0;NAO;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00024;duplicidades_fractais_20260612_200734.csv;DESCONHECIDO;DESCONHECIDO;N/D;N/D;21;CRITICA;0;NAO;Fonte catalogada para futura mineracao de reversoes
