ativo;fractal;arquivo;linhas;tamanho_mb
DESCONHECIDO;DESCONHECIDO;27;1082;0.177
WDO;10_MIN;5;50000;3.763
WDO;15_MIN;4;52696;3.989
WDO;1_MIN;2;97040;7.095000000000001
WDO;30_MIN;7;50000;3.788
WDO;5_MIN;4;78078;5.831
WDO;60_MIN;8;32648;2.471
WDO;DIARIO;13;4970;0.333
WDO;SEMANAL;10;890;0.061
WIN;10_MIN;7;55297;5.171
WIN;120_MIN;4;1102;0.191
WIN;12_MIN;2;4442;0.809
WIN;15_MIN;6;59584;5.383
WIN;180_MIN;4;918;0.15700000000000003
WIN;1_MIN;1;51486;4.244
WIN;20_MIN;2;2741;0.501
WIN;240_MIN;4;736;0.123
WIN;2_MIN;1;25801;2.878
WIN;30_MIN;9;55312;4.796
WIN;3_MIN;1;17232;1.927
WIN;45_MIN;2;1281;0.235
WIN;4_MIN;2;13022;2.332
WIN;5_MIN;6;88270;8.368
WIN;60_MIN;10;33552;2.9210000000000003
WIN;6_MIN;2;8732;1.568
WIN;7_MIN;3;7580;1.35
WIN;8_MIN;2;6575;1.1829999999999998
WIN;90_MIN;2;733;0.135
WIN;9_MIN;2;5846;1.053
WIN;DIARIO;14;5463;0.41
WIN;SEMANAL;13;1184;0.088
