arquivo;ativo;fractal;origem;linhas;tamanho_mb;qualidade;confiabilidade;score_importancia;classe_importancia;status
WDO_1min_2026_2026.csv;WDO;1_MIN;PROFIT;59604;4.359;100.0;100.0;100.0;ESSENCIAL;OK
WIN_1min_2026_2026.csv;WIN;1_MIN;PROFIT;51486;4.244;100.0;100.0;100.0;ESSENCIAL;OK
WDO_1min_2025_2026.csv;WDO;1_MIN;PROFIT;37436;2.736;100.0;100.0;91.84;ESSENCIAL;OK
WIN_5min_2024_2025.csv;WIN;5_MIN;PROFIT;28314;2.366;100.0;100.0;87.93;ALTA;OK
WIN_5min_2025_2026.csv;WIN;5_MIN;PROFIT;28176;2.351;100.0;100.0;87.85;ALTA;OK
WDO_5min_2024_2025.csv;WDO;5_MIN;PROFIT;28554;2.133;100.0;100.0;87.47;ALTA;OK
WDO_5min_2025_2026.csv;WDO;5_MIN;PROFIT;28451;2.124;100.0;100.0;87.42;ALTA;OK
WIN_2min_2026_2026.csv;WIN;2_MIN;ZE_DO_EUCRAZIO;25801;2.878;100.0;98.0;86.76;ALTA;OK
WIN_3min_2026_2026.csv;WIN;3_MIN;ZE_DO_EUCRAZIO;17232;1.927;100.0;98.0;81.7;ALTA;OK
WIN_5min_2026_2026.csv;WIN;5_MIN;PROFIT;10316;1.851;100.0;100.0;80.71;ALTA;OK
WIN_5min_2026_2026 (2).csv;WIN;5_MIN;PROFIT;11817;0.99;100.0;100.0;79.24;ALTA;OK
WDO_5min_2026_2026.csv;WDO;5_MIN;PROFIT;11922;0.89;100.0;100.0;79.04;ALTA;OK
WIN_5min_2023_2024.csv;WIN;5_MIN;PROFIT;9612;0.804;100.0;100.0;78.07;ALTA;OK
WDO_5min_2023_2024.csv;WDO;5_MIN;PROFIT;9151;0.684;100.0;100.0;77.64;ALTA;OK
WINFUT_F_0_1min.csv;WIN;1_MIN;PROFIT;1691;0.14;100.0;100.0;73.89;MEDIA;OK
WIN_4min_2026_2026.csv;WIN;4_MIN;ZE_DO_EUCRAZIO;12930;2.316;100.0;98.0;73.15;MEDIA;OK
WIN_10min_2024_2025.csv;WIN;10_MIN;PROFIT;14283;1.201;100.0;100.0;72.55;MEDIA;OK
WIN_10min_2025_2026.csv;WIN;10_MIN;PROFIT;14215;1.194;100.0;100.0;72.51;MEDIA;OK
WDO_10min_2024_2025.csv;WDO;10_MIN;PROFIT;14278;1.075;100.0;100.0;72.26;MEDIA;OK
WDO_10min_2025_2026.csv;WDO;10_MIN;PROFIT;14226;1.07;100.0;100.0;72.23;MEDIA;OK
WIN_10min_2023_2024.csv;WIN;10_MIN;PROFIT;13622;1.146;100.0;100.0;72.2;MEDIA;OK
WDO_10min_2023_2024.csv;WDO;10_MIN;PROFIT;13622;1.026;100.0;100.0;71.92;MEDIA;OK
WIN_SEMANAL_2009_2011.csv;WIN;SEMANAL;PROFIT;104;0.007;100.0;100.0;70.05;MEDIA;OK
WDO_SEMANAL_2024_2026.csv;WDO;SEMANAL;PROFIT;105;0.007;100.0;100.0;70.05;MEDIA;OK
WDO_SEMANAL_2020_2022.csv;WDO;SEMANAL;PROFIT;104;0.007;100.0;100.0;70.05;MEDIA;OK
WDO_SEMANAL_2011_2013.csv;WDO;SEMANAL;PROFIT;104;0.007;100.0;100.0;70.05;MEDIA;OK
WDO_SEMANAL_2013_2015.csv;WDO;SEMANAL;PROFIT;105;0.007;100.0;100.0;70.05;MEDIA;OK
WDO_SEMANAL_2015_2017.csv;WDO;SEMANAL;PROFIT;104;0.007;100.0;100.0;70.05;MEDIA;OK
WDO_SEMANAL_2017_2019.csv;WDO;SEMANAL;PROFIT;104;0.007;100.0;100.0;70.05;MEDIA;OK
WDO_SEMANAL_2009_2011.csv;WDO;SEMANAL;PROFIT;104;0.007;100.0;100.0;70.05;MEDIA;OK
WIN_SEMANAL_2020_2022.csv;WIN;SEMANAL;PROFIT;104;0.008;100.0;100.0;70.05;MEDIA;OK
WIN_SEMANAL_2022_2024.csv;WIN;SEMANAL;PROFIT;104;0.008;100.0;100.0;70.05;MEDIA;OK
WIN_SEMANAL_2024_2026.csv;WIN;SEMANAL;PROFIT;105;0.008;100.0;100.0;70.05;MEDIA;OK
WIN_SEMANAL_2013_2015.csv;WIN;SEMANAL;PROFIT;105;0.008;100.0;100.0;70.05;MEDIA;OK
WIN_SEMANAL_2015_2017.csv;WIN;SEMANAL;PROFIT;104;0.008;100.0;100.0;70.05;MEDIA;OK
WIN_SEMANAL_2017_2019.csv;WIN;SEMANAL;PROFIT;104;0.008;100.0;100.0;70.05;MEDIA;OK
WIN_SEMANAL_2011_2013.csv;WIN;SEMANAL;PROFIT;104;0.007;100.0;100.0;70.05;MEDIA;OK
WIN_SEMANAL_2007_2009.csv;WIN;SEMANAL;PROFIT;105;0.008;100.0;100.0;70.05;MEDIA;OK
WDOFUT_F_0_Semanal.csv;WDO;SEMANAL;PROFIT;85;0.006;100.0;100.0;70.04;MEDIA;OK
WIN_Semanal_2005_2007.csv;WIN;SEMANAL;PROFIT;85;0.006;100.0;100.0;70.04;MEDIA;OK
WINFUT_F_0_Semanal.csv;WIN;SEMANAL;PROFIT;85;0.006;100.0;100.0;70.04;MEDIA;OK
WIN_SEMANAL_2018_2020.csv;WIN;SEMANAL;PROFIT;53;0.004;100.0;100.0;70.03;MEDIA;OK
WDO_SEMANAL_2019_2020.csv;WDO;SEMANAL;PROFIT;53;0.004;100.0;100.0;70.03;MEDIA;OK
WDO_SEMANAL_2026_2026.csv;WDO;SEMANAL;PROFIT;22;0.002;100.0;100.0;70.01;MEDIA;OK
WIN_SEMANAL_2026_2026.csv;WIN;SEMANAL;PROFIT;22;0.002;100.0;100.0;70.01;MEDIA;OK
WIN_6min_2026_2026.csv;WIN;6_MIN;ZE_DO_EUCRAZIO;8640;1.552;100.0;98.0;69.96;MEDIA;OK
WDO_30min_2024_2026.csv;WDO;30_MIN;PROFIT;9502;0.724;100.0;100.0;69.85;MEDIA;OK
WIN_30min_2022_2024.csv;WIN;30_MIN;PROFIT;9119;0.775;100.0;100.0;69.84;MEDIA;OK
WIN_30min_2020_2022.csv;WIN;30_MIN;PROFIT;9081;0.772;100.0;100.0;69.82;MEDIA;OK
WIN_30min_2018_2020.csv;WIN;30_MIN;PROFIT;9022;0.758;100.0;100.0;69.77;MEDIA;OK
WDO_30min_2022_2024.csv;WDO;30_MIN;PROFIT;9119;0.697;100.0;100.0;69.66;MEDIA;OK
WDO_30min_2020_2022.csv;WDO;30_MIN;PROFIT;9080;0.694;100.0;100.0;69.64;MEDIA;OK
WIN_30min_2014_2016.csv;WIN;30_MIN;PROFIT;8860;0.725;100.0;100.0;69.64;MEDIA;OK
WDO_30min_2018_2020.csv;WDO;30_MIN;PROFIT;9022;0.681;100.0;100.0;69.59;MEDIA;OK
WIN_30min_2016_2018.csv;WIN;30_MIN;PROFIT;8646;0.711;100.0;100.0;69.53;MEDIA;OK
WIN_7min_2026_2026.csv;WIN;7_MIN;ZE_DO_EUCRAZIO;7395;1.33;100.0;98.0;69.03;MEDIA;OK
WIN_10min_2026_2026 (2).csv;WIN;10_MIN;PROFIT;5204;0.948;100.0;100.0;68.92;MEDIA;OK
WDO_30min_2016_2018.csv;WDO;30_MIN;PROFIT;7624;0.57;100.0;100.0;68.87;MEDIA;OK
WIN_DIARIO_2022_2024.csv;WIN;DIARIO;ZE_DO_EUCRAZIO;498;0.039;100.0;98.0;68.76;MEDIA;OK
WIN_DIARIO_2024_2026.csv;WIN;DIARIO;ZE_DO_EUCRAZIO;501;0.039;100.0;98.0;68.76;MEDIA;OK
WIN_DIARIO_2011_2013.csv;WIN;DIARIO;ZE_DO_EUCRAZIO;495;0.037;100.0;98.0;68.75;MEDIA;OK
WDO_DIARIO_2024_2026.csv;WDO;DIARIO;ZE_DO_EUCRAZIO;501;0.035;100.0;98.0;68.75;MEDIA;OK
WIN_DIARIO_2015_2017.csv;WIN;DIARIO;ZE_DO_EUCRAZIO;495;0.037;100.0;98.0;68.75;MEDIA;OK
WDO_DIARIO_2022_2024.csv;WDO;DIARIO;ZE_DO_EUCRAZIO;498;0.035;100.0;98.0;68.75;MEDIA;OK
WIN_DIARIO_2013_2015.csv;WIN;DIARIO;ZE_DO_EUCRAZIO;496;0.037;100.0;98.0;68.75;MEDIA;OK
