id;ativo;ativo_original;fractal;pasta;arquivo;caminho;linhas;colunas;data_inicio;data_fim;tamanho_mb;ultima_modificacao;hash_md5;origem;confiabilidade;tags;volume_medio;range_medio;preco_medio;status;observacao
WIN_10_MIN_WIN_10min_2023_2024.csv;WIN;WINFUT;10_MIN;010_10_MIN;WIN_10min_2023_2024.csv;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\010_10_MIN\win\WIN_10min_2023_2024.csv;13622;9;02/01/2023;28/12/2023;1.146;07/06/2026 01:25:36;d5a2832b35a93b420fe7e88b9ab6ce2e;PROFIT;100;WIN,10_MIN,PROFIT;8836820782.9;319.62;158079.89;OK;
WIN_10_MIN_WIN_10min_2024_2025.csv;WIN;WINFUT;10_MIN;010_10_MIN;WIN_10min_2024_2025.csv;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\010_10_MIN\win\WIN_10min_2024_2025.csv;14283;9;02/01/2024;30/12/2024;1.201;07/06/2026 01:28:00;5f0d11c68ce83bb49edd2f943a7b4a6c;PROFIT;100;WIN,10_MIN,PROFIT;8853384044.14;238.75;160398.26;OK;
WIN_10_MIN_WIN_10min_2025_2026.csv;WIN;WINFUT;10_MIN;010_10_MIN;WIN_10min_2025_2026.csv;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\010_10_MIN\win\WIN_10min_2025_2026.csv;14215;9;02/01/2025;30/12/2025;1.194;07/06/2026 01:29:28;b02d3f72e20441e34b46f743ef6ecb4c;PROFIT;100;WIN,10_MIN,PROFIT;7907126421.1;260.33;155287.45;OK;
WIN_10_MIN_WIN_10min_2026_2026.csv;WIN;WINFUT;10_MIN;010_10_MIN;WIN_10min_2026_2026.csv;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\010_10_MIN\win\WIN_10min_2026_2026.csv;5961;9;02/01/2026;05/06/2026;0.503;07/06/2026 01:30:58;27263af4b0cf382fe81f20822d5d435f;PROFIT;100;WIN,10_MIN,PROFIT;12133112338.78;401.93;186922.57;OK;
WIN_10_MIN_WIN_10min_2022_2023.csv;WIN;WINFUT;10_MIN;010_10_MIN;WIN_10min_2022_2023.csv;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\010_10_MIN\win\WIN_10min_2022_2023.csv;1919;9;11/11/2022;29/12/2022;0.162;07/06/2026 01:22:57;786cd6454de71892d127868afe80b168;PROFIT;100;WIN,10_MIN,PROFIT;8913907390.15;486.85;160254.5;OK;
WIN_10_MIN_WIN_10min_2026_2026_CANDLES_PARCIAIS.csv;WIN;ativo;10_MIN;00_RELATORIOS;WIN_10min_2026_2026_CANDLES_PARCIAIS.csv;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\00_RELATORIOS\ze_do_eucrazio\WIN_10min_2026_2026_CANDLES_PARCIAIS.csv;93;21;21/01/2026;05/06/2026;0.017;11/06/2026 23:19:12;56673125033876f1a0459fee7ca69153;ZE_DO_EUCRAZIO;98;WIN,10_MIN,ZE_DO_EUCRAZIO;;;10.0;OK;
WIN_10_MIN_WIN_10min_2026_2026 (2).csv;WIN;ativo;10_MIN;010_10_MIN;WIN_10min_2026_2026 (2).csv;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\010_10_MIN\win\WIN_10min_2026_2026 (2).csv;5204;21;21/01/2026;05/06/2026;0.948;11/06/2026 23:19:12;ea3b3aed1f19622d9ce5bf81545d00e0;PROFIT;100;WIN,10_MIN,PROFIT;;;10.0;OK;
WIN_120_MIN_WIN_120min_2026_2026.csv;WIN;ativo;120_MIN;00_DUPLICIDADES_FRACTAIS;WIN_120min_2026_2026.csv;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\00_DUPLICIDADES_FRACTAIS\0120_120_MIN\win\WIN_120min_2026_2026.csv;458;21;21/01/2026;05/06/2026;0.085;11/06/2026 23:19:34;015d34105ebe5e880e89f78a31cb62c1;ZE_DO_EUCRAZIO;98;WIN,120_MIN,ZE_DO_EUCRAZIO;;;120.0;OK;
WIN_120_MIN_WIN_120min_2026_2026_CANDLES_PARCIAIS.csv;WIN;ativo;120_MIN;00_RELATORIOS;WIN_120min_2026_2026_CANDLES_PARCIAIS.csv;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\00_RELATORIOS\ze_do_eucrazio\WIN_120min_2026_2026_CANDLES_PARCIAIS.csv;93;21;21/01/2026;05/06/2026;0.017;12/06/2026 21:06:19;43cc76c1cecf8ba8c509d89f8ef474c1;ZE_DO_EUCRAZIO;98;WIN,120_MIN,ZE_DO_EUCRAZIO;;;120.0;OK;
WIN_120_MIN_WIN_120min_2026_2026.csv;WIN;ativo;120_MIN;120_120_MIN;WIN_120min_2026_2026.csv;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\120_120_MIN\win\WIN_120min_2026_2026.csv;458;21;21/01/2026;05/06/2026;0.085;12/06/2026 21:06:19;015d34105ebe5e880e89f78a31cb62c1;ZE_DO_EUCRAZIO;98;WIN,120_MIN,ZE_DO_EUCRAZIO;;;120.0;OK;
WIN_120_MIN_WIN_120min_2026_2026_AUDITOR_SESSOES.csv;WIN;sessao;120_MIN;00_AUDITORIA;WIN_120min_2026_2026_AUDITOR_SESSOES.csv;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\00_AUDITORIA\ze_do_eucrazio\WIN_120min_2026_2026_AUDITOR_SESSOES.csv;93;7;N/D;N/D;0.004;12/06/2026 21:06:19;57de274a882a5a0817fc14fbf6637c02;ZE_DO_EUCRAZIO;70;WIN,120_MIN,ZE_DO_EUCRAZIO,ALERTA;N/D;N/D;N/D;ALERTA;DATA_INVALIDA
WIN_12_MIN_WIN_12min_2026_2026_CANDLES_PARCIAIS.csv;WIN;ativo;12_MIN;00_RELATORIOS;WIN_12min_2026_2026_CANDLES_PARCIAIS.csv;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\00_RELATORIOS\ze_do_eucrazio\WIN_12min_2026_2026_CANDLES_PARCIAIS.csv;92;21;21/01/2026;05/06/2026;0.016;11/06/2026 23:19:18;dc39c08e7aa96caa2038135e05ba8052;ZE_DO_EUCRAZIO;98;WIN,12_MIN,ZE_DO_EUCRAZIO;;;12.0;OK;
WIN_12_MIN_WIN_12min_2026_2026.csv;WIN;ativo;12_MIN;012_12_MIN;WIN_12min_2026_2026.csv;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\012_12_MIN\win\WIN_12min_2026_2026.csv;4350;21;21/01/2026;05/06/2026;0.793;11/06/2026 23:19:18;40aa1da2fa42dfe4ce50e431df435649;ZE_DO_EUCRAZIO;98;WIN,12_MIN,ZE_DO_EUCRAZIO;;;12.0;OK;
WIN_15_MIN_WIN_15min_2024_2026.csv;WIN;WINFUT;15_MIN;00_DUPLICIDADES_FRACTAIS;WIN_15min_2024_2026.csv;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\00_DUPLICIDADES_FRACTAIS\008_15_MIN\win\WIN_15min_2024_2026.csv;19001;9;02/01/2024;30/12/2025;1.603;07/06/2026 01:12:12;d5173157bb80529359a82ffc45249345;PROFIT;100;WIN,15_MIN,PROFIT;12570532412.93;306.62;157847.97;OK;
WIN_15_MIN_WIN_15min_2026_2026.csv;WIN;WINFUT;15_MIN;00_DUPLICIDADES_FRACTAIS;WIN_15min_2026_2026.csv;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\00_DUPLICIDADES_FRACTAIS\008_15_MIN\win\WIN_15min_2026_2026.csv;3974;9;02/01/2026;05/06/2026;0.336;07/06/2026 01:14:07;a0c1cadd02031f0ac71f537df41b250b;PROFIT;100;WIN,15_MIN,PROFIT;18199668508.3;491.33;186921.98;OK;
WIN_15_MIN_WIN_15min_2022_2024.csv;WIN;WINFUT;15_MIN;00_DUPLICIDADES_FRACTAIS;WIN_15min_2022_2024.csv;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\00_DUPLICIDADES_FRACTAIS\008_15_MIN\win\WIN_15min_2022_2024.csv;18238;9;03/01/2022;28/12/2023;1.541;07/06/2026 01:10:02;82d2caf0c4a3b5dcd97fb714489a0d16;PROFIT;100;WIN,15_MIN,PROFIT;14247488399.2;455.25;163851.42;OK;
WIN_15_MIN_WIN_15min_2020_2022.csv;WIN;WINFUT;15_MIN;00_DUPLICIDADES_FRACTAIS;WIN_15min_2020_2022.csv;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\00_DUPLICIDADES_FRACTAIS\008_15_MIN\win\WIN_15min_2020_2022.csv;14808;9;15/05/2020;30/12/2021;1.252;07/06/2026 01:08:19;b1f960e91fda8c5248a61217ea1d2f54;PROFIT;100;WIN,15_MIN,PROFIT;16722386892.38;581.21;185674.44;OK;
WIN_15_MIN_WIN_15min_2026_2026_CANDLES_PARCIAIS.csv;WIN;ativo;15_MIN;00_RELATORIOS;WIN_15min_2026_2026_CANDLES_PARCIAIS.csv;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\00_RELATORIOS\ze_do_eucrazio\WIN_15min_2026_2026_CANDLES_PARCIAIS.csv;93;21;21/01/2026;05/06/2026;0.017;11/06/2026 23:19:22;7c6d909ad76d64a0cc291496e2db43f6;ZE_DO_EUCRAZIO;98;WIN,15_MIN,ZE_DO_EUCRAZIO;;;15.0;OK;
WIN_15_MIN_WIN_15min_2026_2026.csv;WIN;ativo;15_MIN;015_15_MIN;WIN_15min_2026_2026.csv;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\015_15_MIN\win\WIN_15min_2026_2026.csv;3470;21;21/01/2026;05/06/2026;0.634;11/06/2026 23:19:22;389c1d2ac59f250cd75db45366fb47f3;PROFIT;100;WIN,15_MIN,PROFIT;;;15.0;OK;
WIN_180_MIN_WIN_180min_2026_2026.csv;WIN;ativo;180_MIN;00_DUPLICIDADES_FRACTAIS;WIN_180min_2026_2026.csv;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\00_DUPLICIDADES_FRACTAIS\0180_180_MIN\win\WIN_180min_2026_2026.csv;366;21;21/01/2026;05/06/2026;0.068;11/06/2026 23:19:35;e2e0ba42c36bf423e09681c2a33df556;ZE_DO_EUCRAZIO;98;WIN,180_MIN,ZE_DO_EUCRAZIO;;;180.0;OK;
WIN_180_MIN_WIN_180min_2026_2026_CANDLES_PARCIAIS.csv;WIN;ativo;180_MIN;00_RELATORIOS;WIN_180min_2026_2026_CANDLES_PARCIAIS.csv;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\00_RELATORIOS\ze_do_eucrazio\WIN_180min_2026_2026_CANDLES_PARCIAIS.csv;93;21;21/01/2026;05/06/2026;0.017;12/06/2026 21:06:20;d96850192b8b549e8ccef7d709887f9c;ZE_DO_EUCRAZIO;98;WIN,180_MIN,ZE_DO_EUCRAZIO;;;180.0;OK;
WIN_180_MIN_WIN_180min_2026_2026.csv;WIN;ativo;180_MIN;180_180_MIN;WIN_180min_2026_2026.csv;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\180_180_MIN\win\WIN_180min_2026_2026.csv;366;21;21/01/2026;05/06/2026;0.068;12/06/2026 21:06:20;e2e0ba42c36bf423e09681c2a33df556;ZE_DO_EUCRAZIO;98;WIN,180_MIN,ZE_DO_EUCRAZIO;;;180.0;OK;
WIN_180_MIN_WIN_180min_2026_2026_AUDITOR_SESSOES.csv;WIN;sessao;180_MIN;00_AUDITORIA;WIN_180min_2026_2026_AUDITOR_SESSOES.csv;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\00_AUDITORIA\ze_do_eucrazio\WIN_180min_2026_2026_AUDITOR_SESSOES.csv;93;7;N/D;N/D;0.004;12/06/2026 21:06:20;15fe49664db33d0da608564e7defcc4a;ZE_DO_EUCRAZIO;70;WIN,180_MIN,ZE_DO_EUCRAZIO,ALERTA;N/D;N/D;N/D;ALERTA;DATA_INVALIDA
WIN_1_MIN_WIN_1min_2026_2026.csv;WIN;WINFUT;1_MIN;001_1_MIN;WIN_1min_2026_2026.csv;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\001_1_MIN\win\WIN_1min_2026_2026.csv;51486;9;21/01/2026;05/06/2026;4.244;07/06/2026 12:56:39;33293dfed8a5f463f58a2bbd7ded9d7b;PROFIT;100;WIN,1_MIN,PROFIT,MICRO_FRACTAL;1260530854.0;135.34;189030.15;OK;
WIN_20_MIN_WIN_20min_2026_2026_CANDLES_PARCIAIS.csv;WIN;ativo;20_MIN;00_RELATORIOS;WIN_20min_2026_2026_CANDLES_PARCIAIS.csv;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\00_RELATORIOS\ze_do_eucrazio\WIN_20min_2026_2026_CANDLES_PARCIAIS.csv;93;21;21/01/2026;05/06/2026;0.017;11/06/2026 23:19:26;68e3ed5b7859f6750ae90b24e74c5df3;ZE_DO_EUCRAZIO;98;WIN,20_MIN,ZE_DO_EUCRAZIO;;;20.0;OK;
