ativo;contexto;tipo;impacto_esperado;detalhe;acao;status
WDO;COPOM;MACRO_EVENTO;ALTO;"Evento de politica monetaria; pode alterar volatilidade e direcao";Marcar no calendario operacional quando ocorrer;CATALOGADO
WDO;PAYROLL;MACRO_EVENTO;ALTO;"Dado de emprego americano; pode afetar dolar, indice e fluxo externo";Marcar no calendario operacional quando ocorrer;CATALOGADO
WDO;VENCIMENTO;MACRO_EVENTO;ALTO;"Vencimento de contrato; pode distorcer volume e rolagem";Marcar no calendario operacional quando ocorrer;CATALOGADO
WDO;ROLAGEM;MACRO_EVENTO;MEDIO;"Periodo de transicao de contrato; exige cuidado com historico";Marcar no calendario operacional quando ocorrer;CATALOGADO
WDO;FERIADO;MACRO_EVENTO;MEDIO;Liquidez atipica e menor confiabilidade estatistica;Marcar no calendario operacional quando ocorrer;CATALOGADO
WDO;ABERTURA_EUA;MACRO_EVENTO;MEDIO;"Abertura do mercado americano; pode mudar regime de fluxo";Marcar no calendario operacional quando ocorrer;CATALOGADO
WDO;NOTICIA_RELEVANTE;MACRO_EVENTO;MEDIO;"Evento extraordinario; contexto deve ser marcado manualmente";Marcar no calendario operacional quando ocorrer;CATALOGADO
WIN;COPOM;MACRO_EVENTO;ALTO;"Evento de politica monetaria; pode alterar volatilidade e direcao";Marcar no calendario operacional quando ocorrer;CATALOGADO
WIN;PAYROLL;MACRO_EVENTO;ALTO;"Dado de emprego americano; pode afetar dolar, indice e fluxo externo";Marcar no calendario operacional quando ocorrer;CATALOGADO
WIN;VENCIMENTO;MACRO_EVENTO;ALTO;"Vencimento de contrato; pode distorcer volume e rolagem";Marcar no calendario operacional quando ocorrer;CATALOGADO
WIN;ROLAGEM;MACRO_EVENTO;MEDIO;"Periodo de transicao de contrato; exige cuidado com historico";Marcar no calendario operacional quando ocorrer;CATALOGADO
WIN;FERIADO;MACRO_EVENTO;MEDIO;Liquidez atipica e menor confiabilidade estatistica;Marcar no calendario operacional quando ocorrer;CATALOGADO
WIN;ABERTURA_EUA;MACRO_EVENTO;MEDIO;"Abertura do mercado americano; pode mudar regime de fluxo";Marcar no calendario operacional quando ocorrer;CATALOGADO
WIN;NOTICIA_RELEVANTE;MACRO_EVENTO;MEDIO;"Evento extraordinario; contexto deve ser marcado manualmente";Marcar no calendario operacional quando ocorrer;CATALOGADO
