fractal;existe_na_biblioteca;acao_recomendada;base_recomendada;versao_bernardo;id_execucao_bernardo;hash_indice_bernardo;status_autoinspecao_bernardo;manifesto_rastreabilidade
1_MIN;SIM;MANTER_INDEXADO;1_MIN;4.0;BERNARDO-20260713-110316;35772cdb413a03d4b65419b0ae19c6c017f0076f2f248b45afc6b59f42c658bb;APROVADA;manifesto_pacote_ze_bernardo.json
2_MIN;SIM;MANTER_INDEXADO;1_MIN;4.0;BERNARDO-20260713-110316;35772cdb413a03d4b65419b0ae19c6c017f0076f2f248b45afc6b59f42c658bb;APROVADA;manifesto_pacote_ze_bernardo.json
3_MIN;SIM;MANTER_INDEXADO;1_MIN;4.0;BERNARDO-20260713-110316;35772cdb413a03d4b65419b0ae19c6c017f0076f2f248b45afc6b59f42c658bb;APROVADA;manifesto_pacote_ze_bernardo.json
4_MIN;SIM;MANTER_INDEXADO;1_MIN;4.0;BERNARDO-20260713-110316;35772cdb413a03d4b65419b0ae19c6c017f0076f2f248b45afc6b59f42c658bb;APROVADA;manifesto_pacote_ze_bernardo.json
5_MIN;SIM;MANTER_INDEXADO;1_MIN;4.0;BERNARDO-20260713-110316;35772cdb413a03d4b65419b0ae19c6c017f0076f2f248b45afc6b59f42c658bb;APROVADA;manifesto_pacote_ze_bernardo.json
6_MIN;SIM;MANTER_INDEXADO;1_MIN;4.0;BERNARDO-20260713-110316;35772cdb413a03d4b65419b0ae19c6c017f0076f2f248b45afc6b59f42c658bb;APROVADA;manifesto_pacote_ze_bernardo.json
7_MIN;SIM;MANTER_INDEXADO;1_MIN;4.0;BERNARDO-20260713-110316;35772cdb413a03d4b65419b0ae19c6c017f0076f2f248b45afc6b59f42c658bb;APROVADA;manifesto_pacote_ze_bernardo.json
8_MIN;SIM;MANTER_INDEXADO;1_MIN;4.0;BERNARDO-20260713-110316;35772cdb413a03d4b65419b0ae19c6c017f0076f2f248b45afc6b59f42c658bb;APROVADA;manifesto_pacote_ze_bernardo.json
9_MIN;SIM;MANTER_INDEXADO;1_MIN;4.0;BERNARDO-20260713-110316;35772cdb413a03d4b65419b0ae19c6c017f0076f2f248b45afc6b59f42c658bb;APROVADA;manifesto_pacote_ze_bernardo.json
10_MIN;SIM;MANTER_INDEXADO;1_MIN;4.0;BERNARDO-20260713-110316;35772cdb413a03d4b65419b0ae19c6c017f0076f2f248b45afc6b59f42c658bb;APROVADA;manifesto_pacote_ze_bernardo.json
12_MIN;SIM;MANTER_INDEXADO;1_MIN;4.0;BERNARDO-20260713-110316;35772cdb413a03d4b65419b0ae19c6c017f0076f2f248b45afc6b59f42c658bb;APROVADA;manifesto_pacote_ze_bernardo.json
15_MIN;SIM;MANTER_INDEXADO;1_MIN;4.0;BERNARDO-20260713-110316;35772cdb413a03d4b65419b0ae19c6c017f0076f2f248b45afc6b59f42c658bb;APROVADA;manifesto_pacote_ze_bernardo.json
20_MIN;SIM;MANTER_INDEXADO;1_MIN;4.0;BERNARDO-20260713-110316;35772cdb413a03d4b65419b0ae19c6c017f0076f2f248b45afc6b59f42c658bb;APROVADA;manifesto_pacote_ze_bernardo.json
30_MIN;SIM;MANTER_INDEXADO;1_MIN;4.0;BERNARDO-20260713-110316;35772cdb413a03d4b65419b0ae19c6c017f0076f2f248b45afc6b59f42c658bb;APROVADA;manifesto_pacote_ze_bernardo.json
45_MIN;SIM;MANTER_INDEXADO;1_MIN;4.0;BERNARDO-20260713-110316;35772cdb413a03d4b65419b0ae19c6c017f0076f2f248b45afc6b59f42c658bb;APROVADA;manifesto_pacote_ze_bernardo.json
60_MIN;SIM;MANTER_INDEXADO;1_MIN;4.0;BERNARDO-20260713-110316;35772cdb413a03d4b65419b0ae19c6c017f0076f2f248b45afc6b59f42c658bb;APROVADA;manifesto_pacote_ze_bernardo.json
90_MIN;SIM;MANTER_INDEXADO;1_MIN;4.0;BERNARDO-20260713-110316;35772cdb413a03d4b65419b0ae19c6c017f0076f2f248b45afc6b59f42c658bb;APROVADA;manifesto_pacote_ze_bernardo.json
120_MIN;SIM;MANTER_INDEXADO;1_MIN;4.0;BERNARDO-20260713-110316;35772cdb413a03d4b65419b0ae19c6c017f0076f2f248b45afc6b59f42c658bb;APROVADA;manifesto_pacote_ze_bernardo.json
180_MIN;SIM;MANTER_INDEXADO;1_MIN;4.0;BERNARDO-20260713-110316;35772cdb413a03d4b65419b0ae19c6c017f0076f2f248b45afc6b59f42c658bb;APROVADA;manifesto_pacote_ze_bernardo.json
240_MIN;SIM;MANTER_INDEXADO;1_MIN;4.0;BERNARDO-20260713-110316;35772cdb413a03d4b65419b0ae19c6c017f0076f2f248b45afc6b59f42c658bb;APROVADA;manifesto_pacote_ze_bernardo.json
DIARIO;SIM;MANTER_INDEXADO;1_MIN;4.0;BERNARDO-20260713-110316;35772cdb413a03d4b65419b0ae19c6c017f0076f2f248b45afc6b59f42c658bb;APROVADA;manifesto_pacote_ze_bernardo.json
SEMANAL;SIM;MANTER_INDEXADO;1_MIN;4.0;BERNARDO-20260713-110316;35772cdb413a03d4b65419b0ae19c6c017f0076f2f248b45afc6b59f42c658bb;APROVADA;manifesto_pacote_ze_bernardo.json
MENSAL;NAO;GERAR_COM_ZE_DO_EUCRAZIO;1_MIN;4.0;BERNARDO-20260713-110316;35772cdb413a03d4b65419b0ae19c6c017f0076f2f248b45afc6b59f42c658bb;APROVADA;manifesto_pacote_ze_bernardo.json
