item;situacao;detalhe
STATUS_BIBLIOTECA;SAUDAVEL;Nenhuma acao critica necessaria
TOTAL_ARQUIVOS;121;Total de arquivos catalogados
ALERTAS;0;Quantidade de arquivos em alerta
ERROS;0;Quantidade de arquivos com erro
QUALIDADE_EXCELENTE;121;Arquivos classificados como EXCELENTE
PROBLEMAS_HIGIENIZACAO;4;Ocorrencias encontradas na higienizacao
FRACTAIS_AUSENTES;NENHUM;Fractais esperados ainda nao encontrados
ATIVOS_AUSENTES;NENHUM;Ativos esperados ainda nao encontrados
COBERTURA_WDO_10_MIN;5 arquivos / 50000 linhas;Cobertura estatistica por ativo e fractal
COBERTURA_WDO_1_MIN;2 arquivos / 97040 linhas;Cobertura estatistica por ativo e fractal
COBERTURA_WDO_30_MIN;7 arquivos / 50000 linhas;Cobertura estatistica por ativo e fractal
COBERTURA_WDO_5_MIN;4 arquivos / 78078 linhas;Cobertura estatistica por ativo e fractal
COBERTURA_WDO_60_MIN;8 arquivos / 32648 linhas;Cobertura estatistica por ativo e fractal
COBERTURA_WDO_DIARIO;13 arquivos / 4970 linhas;Cobertura estatistica por ativo e fractal
COBERTURA_WDO_SEMANAL;10 arquivos / 890 linhas;Cobertura estatistica por ativo e fractal
COBERTURA_WIN_10_MIN;6 arquivos / 55204 linhas;Cobertura estatistica por ativo e fractal
COBERTURA_WIN_120_MIN;1 arquivos / 458 linhas;Cobertura estatistica por ativo e fractal
COBERTURA_WIN_12_MIN;1 arquivos / 4350 linhas;Cobertura estatistica por ativo e fractal
COBERTURA_WIN_15_MIN;1 arquivos / 3470 linhas;Cobertura estatistica por ativo e fractal
COBERTURA_WIN_180_MIN;1 arquivos / 366 linhas;Cobertura estatistica por ativo e fractal
COBERTURA_WIN_1_MIN;2 arquivos / 53177 linhas;Cobertura estatistica por ativo e fractal
COBERTURA_WIN_20_MIN;1 arquivos / 2648 linhas;Cobertura estatistica por ativo e fractal
COBERTURA_WIN_240_MIN;1 arquivos / 275 linhas;Cobertura estatistica por ativo e fractal
COBERTURA_WIN_2_MIN;1 arquivos / 25801 linhas;Cobertura estatistica por ativo e fractal
COBERTURA_WIN_30_MIN;8 arquivos / 55219 linhas;Cobertura estatistica por ativo e fractal
COBERTURA_WIN_3_MIN;1 arquivos / 17232 linhas;Cobertura estatistica por ativo e fractal
COBERTURA_WIN_45_MIN;1 arquivos / 1188 linhas;Cobertura estatistica por ativo e fractal
COBERTURA_WIN_4_MIN;1 arquivos / 12930 linhas;Cobertura estatistica por ativo e fractal
COBERTURA_WIN_5_MIN;5 arquivos / 88235 linhas;Cobertura estatistica por ativo e fractal
COBERTURA_WIN_60_MIN;9 arquivos / 33459 linhas;Cobertura estatistica por ativo e fractal
COBERTURA_WIN_6_MIN;1 arquivos / 8640 linhas;Cobertura estatistica por ativo e fractal
COBERTURA_WIN_7_MIN;1 arquivos / 7395 linhas;Cobertura estatistica por ativo e fractal
COBERTURA_WIN_8_MIN;1 arquivos / 6482 linhas;Cobertura estatistica por ativo e fractal
COBERTURA_WIN_90_MIN;1 arquivos / 640 linhas;Cobertura estatistica por ativo e fractal
COBERTURA_WIN_9_MIN;1 arquivos / 5753 linhas;Cobertura estatistica por ativo e fractal
COBERTURA_WIN_DIARIO;14 arquivos / 5463 linhas;Cobertura estatistica por ativo e fractal
COBERTURA_WIN_SEMANAL;13 arquivos / 1184 linhas;Cobertura estatistica por ativo e fractal
