data_hora;arquivo;fractal;pasta_atual;ativo_detectado;caminho_atual;destino_sugerido;acao;motivo
16/06/2026 22:55:14;WDO_1min_2025_2026.csv;001_1_MIN;wdo;WDO;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\001_1_MIN\wdo\WDO_1min_2025_2026.csv;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\001_1_MIN\wdo\WDO_1min_2025_2026.csv;OK;Arquivo ja esta na pasta correta
16/06/2026 22:55:15;WDO_1min_2026_2026.csv;001_1_MIN;wdo;WDO;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\001_1_MIN\wdo\WDO_1min_2026_2026.csv;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\001_1_MIN\wdo\WDO_1min_2026_2026.csv;OK;Arquivo ja esta na pasta correta
16/06/2026 22:55:15;WIN_1min_2026_2026.csv;001_1_MIN;win;WIN;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\001_1_MIN\win\WIN_1min_2026_2026.csv;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\001_1_MIN\win\WIN_1min_2026_2026.csv;OK;Arquivo ja esta na pasta correta
16/06/2026 22:55:15;WIN_2min_2026_2026.csv;002_2_MIN;win;WIN;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\002_2_MIN\win\WIN_2min_2026_2026.csv;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\002_2_MIN\win\WIN_2min_2026_2026.csv;OK;Arquivo ja esta na pasta correta
16/06/2026 22:55:15;WIN_3min_2026_2026.csv;003_3_MIN;win;WIN;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\003_3_MIN\win\WIN_3min_2026_2026.csv;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\003_3_MIN\win\WIN_3min_2026_2026.csv;OK;Arquivo ja esta na pasta correta
16/06/2026 22:55:15;WIN_4min_2026_2026.csv;004_4_MIN;win;DESCONHECIDO;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\004_4_MIN\win\WIN_4min_2026_2026.csv;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\004_4_MIN\win\WIN_4min_2026_2026.csv;VERIFICAR;Ativo nao identificado pelo conteudo
16/06/2026 22:55:15;WDO_5min_2023_2024.csv;005_5_MIN;wdo;WDO;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\005_5_MIN\wdo\WDO_5min_2023_2024.csv;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\005_5_MIN\wdo\WDO_5min_2023_2024.csv;OK;Arquivo ja esta na pasta correta
16/06/2026 22:55:16;WDO_5min_2024_2025.csv;005_5_MIN;wdo;WDO;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\005_5_MIN\wdo\WDO_5min_2024_2025.csv;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\005_5_MIN\wdo\WDO_5min_2024_2025.csv;OK;Arquivo ja esta na pasta correta
16/06/2026 22:55:16;WDO_5min_2025_2026.csv;005_5_MIN;wdo;WDO;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\005_5_MIN\wdo\WDO_5min_2025_2026.csv;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\005_5_MIN\wdo\WDO_5min_2025_2026.csv;OK;Arquivo ja esta na pasta correta
16/06/2026 22:55:16;WDO_5min_2026_2026.csv;005_5_MIN;wdo;WDO;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\005_5_MIN\wdo\WDO_5min_2026_2026.csv;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\005_5_MIN\wdo\WDO_5min_2026_2026.csv;OK;Arquivo ja esta na pasta correta
16/06/2026 22:55:16;WIN_5min_2023_2024.csv;005_5_MIN;win;WIN;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\005_5_MIN\win\WIN_5min_2023_2024.csv;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\005_5_MIN\win\WIN_5min_2023_2024.csv;OK;Arquivo ja esta na pasta correta
